timestep,chunk,coord,ncount,temperature
400000,1,0.0125,0.0,
400000,2,0.0375,89.319,319.618
400000,3,0.0625,70.774,319.935
400000,4,0.0875,88.224,312.677
400000,5,0.1125,71.8575,309.454
400000,6,0.1375,87.9825,308.644
400000,7,0.1625,72.1175,308.152
400000,8,0.1875,88.234,305.083
400000,9,0.2125,71.818,303.53
400000,10,0.2375,88.0175,304.128
400000,11,0.2625,72.074,303.51
400000,12,0.2875,88.1615,304.209
400000,13,0.3125,71.778,301.503
400000,14,0.3375,88.1785,303.725
400000,15,0.3625,71.917,301.327
400000,16,0.3875,88.034,300.023
400000,17,0.4125,72.095,301.24
400000,18,0.4375,88.1015,299.008
400000,19,0.4625,71.8225,298.514
400000,20,0.4875,87.958,295.804
400000,21,0.5125,72.0285,295.965
400000,22,0.5375,88.263,294.444
400000,23,0.5625,71.662,295.704
400000,24,0.5875,88.2635,296.288
400000,25,0.6125,72.0385,295.935
400000,26,0.6375,87.9125,296.826
400000,27,0.6625,71.7115,298.495
400000,28,0.6875,88.6235,294.528
400000,29,0.7125,71.55,292.306
400000,30,0.7375,88.2635,292.778
400000,31,0.7625,71.5425,294.807
400000,32,0.7875,89.0775,292.92
400000,33,0.8125,70.8375,292.13
400000,34,0.8375,88.907,290.712
400000,35,0.8625,71.032,290.186
400000,36,0.8875,89.038,290.251
400000,37,0.9125,70.8775,286.65
400000,38,0.9375,90.3145,281.069
400000,39,0.9625,69.593,278.678
400000,40,0.9875,0.0,
800000,1,0.0125,0.0,
800000,2,0.0375,90.6825,319.184
800000,3,0.0625,69.5315,319.395
800000,4,0.0875,87.964,311.355
800000,5,0.1125,72.1685,306.574
800000,6,0.1375,88.2155,305.753
800000,7,0.1625,71.9255,305.503
800000,8,0.1875,88.092,305.938
800000,9,0.2125,72.0295,305.887
800000,10,0.2375,87.17,302.948
800000,11,0.2625,72.9805,304.238
800000,12,0.2875,87.9875,303.997
800000,13,0.3125,72.222,301.81
800000,14,0.3375,87.0165,301.576
800000,15,0.3625,72.711,299.515
800000,16,0.3875,88.0115,299.151
800000,17,0.4125,72.1435,297.689
800000,18,0.4375,87.183,297.914
800000,19,0.4625,72.929,295.511
800000,20,0.4875,88.0385,297.435
800000,21,0.5125,71.819,298.163
800000,22,0.5375,87.757,298.452
800000,23,0.5625,72.2025,295.708
800000,24,0.5875,88.206,296.593
800000,25,0.6125,71.91,293.363
800000,26,0.6375,87.9555,293.375
800000,27,0.6625,71.788,293.87
800000,28,0.6875,88.167,293.284
800000,29,0.7125,71.739,292.118
800000,30,0.7375,88.442,294.963
800000,31,0.7625,71.409,290.705
800000,32,0.7875,88.617,292.268
800000,33,0.8125,71.2685,291.185
800000,34,0.8375,88.7745,291.002
800000,35,0.8625,71.1095,290.645
800000,36,0.8875,88.475,289.203
800000,37,0.9125,71.3905,286.881
800000,38,0.9375,90.462,280.634
800000,39,0.9625,69.506,279.278
800000,40,0.9875,0.0,
1200000,1,0.0125,0.0,
1200000,2,0.0375,89.7085,320.637
1200000,3,0.0625,70.4095,318.791
1200000,4,0.0875,88.1505,309.719
1200000,5,0.1125,71.9065,307.653
1200000,6,0.1375,88.352,307.871
1200000,7,0.1625,71.7385,308.248
1200000,8,0.1875,87.998,306.666
1200000,9,0.2125,72.1725,305.52
1200000,10,0.2375,87.528,304.327
1200000,11,0.2625,72.6715,303.487
1200000,12,0.2875,87.608,300.294
1200000,13,0.3125,72.504,302.085
1200000,14,0.3375,87.176,303.246
1200000,15,0.3625,72.708,301.974
1200000,16,0.3875,87.7405,299.845
1200000,17,0.4125,72.5805,301.424
1200000,18,0.4375,86.9675,300.346
1200000,19,0.4625,72.8715,300.307
1200000,20,0.4875,87.819,297.053
1200000,21,0.5125,72.296,296.13
1200000,22,0.5375,87.39,296.035
1200000,23,0.5625,72.389,300.879
1200000,24,0.5875,88.116,301.887
1200000,25,0.6125,71.988,300.669
1200000,26,0.6375,87.5895,300.673
1200000,27,0.6625,72.2835,299.122
1200000,28,0.6875,88.223,298.193
1200000,29,0.7125,71.5705,298.44
1200000,30,0.7375,88.158,298.48
1200000,31,0.7625,71.7465,298.414
1200000,32,0.7875,88.404,294.966
1200000,33,0.8125,71.4815,293.632
1200000,34,0.8375,88.889,295.486
1200000,35,0.8625,71.0215,292.769
1200000,36,0.8875,88.195,288.533
1200000,37,0.9125,71.683,286.073
1200000,38,0.9375,90.561,281.145
1200000,39,0.9625,69.4045,279.129
1200000,40,0.9875,0.0,
1600000,1,0.0125,0.0,
1600000,2,0.0375,88.858,320.362
1600000,3,0.0625,71.2025,318.501
1600000,4,0.0875,87.8655,313.795
1600000,5,0.1125,72.1495,307.446
1600000,6,0.1375,88.065,306.876
1600000,7,0.1625,71.9805,306.759
1600000,8,0.1875,88.1055,305.523
1600000,9,0.2125,71.993,303.748
1600000,10,0.2375,87.625,304.355
1600000,11,0.2625,72.432,305.887
1600000,12,0.2875,88.041,307.342
1600000,13,0.3125,72.0935,303.277
1600000,14,0.3375,87.6835,302.433
1600000,15,0.3625,72.4675,303.5
1600000,16,0.3875,87.8975,301.313
1600000,17,0.4125,72.1475,299.146
1600000,18,0.4375,87.656,300.117
1600000,19,0.4625,72.353,299.876
1600000,20,0.4875,87.8105,297.943
1600000,21,0.5125,72.3005,298.737
1600000,22,0.5375,87.644,298.483
1600000,23,0.5625,72.1925,298.906
1600000,24,0.5875,87.861,298.826
1600000,25,0.6125,72.244,297.172
1600000,26,0.6375,87.857,295.457
1600000,27,0.6625,71.9985,295.078
1600000,28,0.6875,88.147,295.67
1600000,29,0.7125,71.779,296.11
