run_index,run_id,material,status,potential,structure,configuration,seed,start_time,end_time,duration_sec,exit_code,avg_gpu_usage_pct,avg_cpu_usage_pct,avg_gpu_temp_c,avg_cpu_temp_c,avg_ram_usage_pct
1,RUN-0001-20260901032147,BlackPhosphorus,OK,bp.sw,bp_ac_W16_L33.data,in.bp_armchair,1,2026-09-01T03:21:47,2026-09-01T03:37:59,972.15,0,,19.54,,53.15,70.12
2,RUN-0002-20260901033759,BlackPhosphorus,OK,bp.sw,bp_ac_W16_L50.data,in.bp_armchair,1,2026-09-01T03:37:59,2026-09-01T04:02:54,1494.24,0,,21.96,,53.96,69.65
3,[FAILED]-RUN-0003-20260901040254,WS2,FAILED,ws2.sw,bilayer_th00p00_zz.data,in.nemd,1,2026-09-01T04:02:54,2026-09-01T04:02:55,1.0,1,,0.0,,51.6,68.5
4,[FAILED]-RUN-0004-20260901040255,WS2,FAILED,ws2.sw,bilayer_th06p59_zz.data,in.nemd,1,2026-09-01T04:02:55,2026-09-01T04:02:56,1.0,1,,50.0,,51.13,68.5
5,[FAILED]-RUN-0005-20260901040256,WS2,FAILED,ws2.sw,bilayer_th12p52_zz.data,in.nemd,1,2026-09-01T04:02:56,2026-09-01T04:02:57,1.0,1,,0.0,,51.13,68.5
6,[FAILED]-RUN-0006-20260901040257,WS2,FAILED,ws2.sw,bilayer_th22p85_zz.data,in.nemd,1,2026-09-01T04:02:57,2026-09-01T04:02:58,1.0,1,,0.0,,50.67,68.5
7,[FAILED]-RUN-0007-20260901040258,WS2,FAILED,ws2.sw,bilayer_th30p00_zz.data,in.nemd,1,2026-09-01T04:02:58,2026-09-01T04:02:59,1.0,1,,100.0,,50.8,68.5
8,[FAILED]-RUN-0008-20260901040259,WS2,FAILED,ws2.sw,bilayer_th00p00_zz.data,in.nemd_smoke,1,2026-09-01T04:02:59,2026-09-01T04:03:00,1.0,1,,100.0,,51.87,68.6
9,[FAILED]-RUN-0009-20260901040300,WS2,FAILED,ws2.sw,bilayer_th06p59_zz.data,in.nemd_smoke,1,2026-09-01T04:03:00,2026-09-01T04:03:01,1.0,1,,0.0,,51.33,69.1
10,[FAILED]-RUN-0010-20260901040301,WS2,FAILED,ws2.sw,bilayer_th12p52_zz.data,in.nemd_smoke,1,2026-09-01T04:03:01,2026-09-01T04:03:02,1.0,1,,0.0,,51.2,69.2
11,[FAILED]-RUN-0011-20260901040302,WS2,FAILED,ws2.sw,bilayer_th22p85_zz.data,in.nemd_smoke,1,2026-09-01T04:03:02,2026-09-01T04:03:03,1.0,1,,0.0,,50.27,69.2
12,[FAILED]-RUN-0012-20260901040303,WS2,FAILED,ws2.sw,bilayer_th30p00_zz.data,in.nemd_smoke,1,2026-09-01T04:03:03,2026-09-01T04:03:04,1.0,1,,0.0,,51.4,69.2
13,[FAILED]-RUN-0013-20260901040304,WS2,FAILED,ws2.sw,bilayer_th00p00_zz.data,in.relax,1,2026-09-01T04:03:04,2026-09-01T04:03:05,1.0,1,,0.0,,54.4,69.2
14,[FAILED]-RUN-0014-20260901040305,WS2,FAILED,ws2.sw,bilayer_th06p59_zz.data,in.relax,1,2026-09-01T04:03:05,2026-09-01T04:03:06,1.0,1,,0.0,,54.87,69.1
15,[FAILED]-RUN-0015-20260901040306,WS2,FAILED,ws2.sw,bilayer_th12p52_zz.data,in.relax,1,2026-09-01T04:03:06,2026-09-01T04:03:07,1.0,1,,0.0,,54.53,69.1
16,[FAILED]-RUN-0016-20260901040307,WS2,FAILED,ws2.sw,bilayer_th22p85_zz.data,in.relax,1,2026-09-01T04:03:07,2026-09-01T04:03:08,1.0,1,,0.0,,54.4,69.1
17,[FAILED]-RUN-0017-20260901040308,WS2,FAILED,ws2.sw,bilayer_th30p00_zz.data,in.relax,1,2026-09-01T04:03:08,2026-09-01T04:03:09,1.0,1,,0.0,,50.53,69.0
18,[FAILED]-RUN-0018-20260901040309,WS2,FAILED,ws2.sw,bilayer_th00p00_zz.data,in.vacf,1,2026-09-01T04:03:09,2026-09-01T04:03:10,1.0,1,,50.0,,50.27,69.0
19,[FAILED]-RUN-0019-20260901040310,WS2,FAILED,ws2.sw,bilayer_th06p59_zz.data,in.vacf,1,2026-09-01T04:03:10,2026-09-01T04:03:11,1.0,1,,0.0,,50.27,68.8
20,[FAILED]-RUN-0020-20260901040311,WS2,FAILED,ws2.sw,bilayer_th12p52_zz.data,in.vacf,1,2026-09-01T04:03:11,2026-09-01T04:03:12,1.0,1,,0.0,,49.93,68.7
21,[FAILED]-RUN-0021-20260901040312,WS2,FAILED,ws2.sw,bilayer_th22p85_zz.data,in.vacf,1,2026-09-01T04:03:12,2026-09-01T04:03:13,1.0,1,,0.0,,51.27,68.7
22,[FAILED]-RUN-0022-20260901040313,WS2,FAILED,ws2.sw,bilayer_th30p00_zz.data,in.vacf,1,2026-09-01T04:03:13,2026-09-01T04:03:14,1.0,1,,0.0,,50.13,68.8
23,[FAILED]-RUN-0023-20260901040314,ZincOxide,FAILED,none,zno_L20.data,in.zno_kappa,1,2026-09-01T04:03:14,2026-09-01T04:03:17,3.0,1,,0.0,,50.13,68.7
24,[FAILED]-RUN-0024-20260901040317,ZincOxide,FAILED,none,zno_L30.data,in.zno_kappa,1,2026-09-01T04:03:17,2026-09-01T04:03:20,3.0,1,,0.0,,49.47,68.7
25,[FAILED]-RUN-0025-20260901040320,ZincOxide,FAILED,none,zno_L40.data,in.zno_kappa,1,2026-09-01T04:03:20,2026-09-01T04:03:22,2.0,1,,0.0,,49.0,68.6
