timestep,chunk,coord,ncount,temperature
400000,1,0.0125,0.0,
400000,2,0.0375,32.0,319.364
400000,3,0.0625,52.511,321.038
400000,4,0.0875,45.4,319.303
400000,5,0.1125,62.0865,316.713
400000,6,0.1375,49.51,309.06
400000,7,0.1625,47.3635,305.81
400000,8,0.1875,63.0915,307.405
400000,9,0.2125,48.3625,302.572
400000,10,0.2375,47.886,300.545
400000,11,0.2625,63.426,301.334
400000,12,0.2875,47.517,301.997
400000,13,0.3125,48.916,299.833
400000,14,0.3375,62.056,298.842
400000,15,0.3625,47.2055,297.028
400000,16,0.3875,50.677,297.906
400000,17,0.4125,59.7265,298.882
400000,18,0.4375,46.392,299.31
400000,19,0.4625,53.873,298.285
400000,20,0.4875,56.612,299.238
400000,21,0.5125,46.575,301.325
400000,22,0.5375,56.812,301.602
400000,23,0.5625,53.5515,298.891
400000,24,0.5875,46.092,296.242
400000,25,0.6125,60.301,298.139
400000,26,0.6375,50.3935,296.819
400000,27,0.6625,46.937,297.698
400000,28,0.6875,62.6705,296.858
400000,29,0.7125,48.4995,299.047
400000,30,0.7375,47.76,297.084
400000,31,0.7625,63.531,296.213
400000,32,0.7875,47.725,295.608
400000,33,0.8125,48.563,294.466
400000,34,0.8375,62.96,292.485
400000,35,0.8625,47.6245,289.796
400000,36,0.8875,49.3925,283.744
400000,37,0.9125,62.52,280.669
400000,38,0.9375,44.975,279.481
400000,39,0.9625,20.505,281.288
400000,40,0.9875,0.0,
800000,1,0.0125,0.0,
800000,2,0.0375,32.0,318.361
800000,3,0.0625,52.881,320.568
800000,4,0.0875,45.1235,319.408
800000,5,0.1125,61.995,316.609
800000,6,0.1375,49.4785,306.611
800000,7,0.1625,47.227,303.946
800000,8,0.1875,63.2755,305.445
800000,9,0.2125,48.231,302.302
800000,10,0.2375,48.0505,304.411
800000,11,0.2625,63.422,303.221
800000,12,0.2875,47.8475,303.963
800000,13,0.3125,48.5005,302.923
800000,14,0.3375,62.5605,305.079
800000,15,0.3625,47.3065,303.631
800000,16,0.3875,50.107,302.933
800000,17,0.4125,60.756,299.954
800000,18,0.4375,45.527,296.903
800000,19,0.4625,53.711,295.914
800000,20,0.4875,56.4695,297.704
800000,21,0.5125,46.345,298.764
800000,22,0.5375,57.185,300.038
800000,23,0.5625,53.1365,299.138
800000,24,0.5875,45.7185,298.925
800000,25,0.6125,61.129,299.997
800000,26,0.6375,49.772,297.449
800000,27,0.6625,47.248,297.178
800000,28,0.6875,62.9565,296.356
800000,29,0.7125,48.26,296.719
800000,30,0.7375,47.9885,297.05
800000,31,0.7625,63.5405,296.563
800000,32,0.7875,47.885,293.449
800000,33,0.8125,48.3725,292.738
800000,34,0.8375,62.9585,292.797
800000,35,0.8625,47.764,289.973
800000,36,0.8875,49.271,284.51
800000,37,0.9125,62.6315,281.188
800000,38,0.9375,44.223,281.517
800000,39,0.9625,21.1455,280.394
800000,40,0.9875,0.0,
1200000,1,0.0125,0.0,
1200000,2,0.0375,32.0,317.969
1200000,3,0.0625,52.2105,317.999
1200000,4,0.0875,45.83,319.502
1200000,5,0.1125,61.956,316.157
1200000,6,0.1375,49.517,308.714
1200000,7,0.1625,47.367,305.056
1200000,8,0.1875,63.0655,305.263
1200000,9,0.2125,48.4985,302.279
1200000,10,0.2375,47.825,302.184
1200000,11,0.2625,63.476,305.506
1200000,12,0.2875,47.5645,302.977
1200000,13,0.3125,48.7365,303.412
1200000,14,0.3375,62.31,303.326
1200000,15,0.3625,47.3105,302.844
1200000,16,0.3875,50.342,301.813
1200000,17,0.4125,60.2135,300.054
1200000,18,0.4375,45.9575,297.443
1200000,19,0.4625,53.823,296.657
1200000,20,0.4875,56.4075,302.436
1200000,21,0.5125,46.38,300.886
1200000,22,0.5375,57.2095,300.513
1200000,23,0.5625,53.0865,298.225
1200000,24,0.5875,46.1,299.695
1200000,25,0.6125,60.7985,299.367
1200000,26,0.6375,49.89,299.838
1200000,27,0.6625,47.2115,299.445
1200000,28,0.6875,62.7985,297.817
1200000,29,0.7125,48.4615,294.624
1200000,30,0.7375,47.8295,295.612
1200000,31,0.7625,63.555,296.526
1200000,32,0.7875,47.48,294.726
1200000,33,0.8125,48.8035,295.403
1200000,34,0.8375,62.743,292.943
1200000,35,0.8625,47.7595,290.656
1200000,36,0.8875,49.483,283.329
1200000,37,0.9125,62.4145,281.367
1200000,38,0.9375,44.7415,278.573
1200000,39,0.9625,20.844,279.929
1200000,40,0.9875,0.0,
1600000,1,0.0125,0.0,
1600000,2,0.0375,32.0,319.77
1600000,3,0.0625,52.0625,319.832
1600000,4,0.0875,45.4335,320.458
1600000,5,0.1125,62.5035,315.009
1600000,6,0.1375,49.1075,306.558
1600000,7,0.1625,47.558,308.261
1600000,8,0.1875,63.2875,305.419
1600000,9,0.2125,48.3095,305.15
1600000,10,0.2375,47.936,307.109
1600000,11,0.2625,63.423,305.182
1600000,12,0.2875,47.666,304.025
1600000,13,0.3125,48.7375,306.049
1600000,14,0.3375,62.2265,304.293
1600000,15,0.3625,47.077,303.063
1600000,16,0.3875,50.6795,303.842
1600000,17,0.4125,60.027,304.653
1600000,18,0.4375,45.357,304.799
1600000,19,0.4625,54.6135,299.194
1600000,20,0.4875,55.778,300.188
1600000,21,0.5125,47.163,300.529
1600000,22,0.5375,57.0535,298.775
1600000,23,0.5625,53.261,296.413
1600000,24,0.5875,46.0455,298.992
1600000,25,0.6125,60.683,295.291
1600000,26,0.6375,50.062,293.981
1600000,27,0.6625,47.22,294.72
1600000,28,0.6875,62.678,293.645
1600000,29,0.7125,48.472,293.165
1600000,30,0.7375,47.776,294.89
1600000,31,0.7625,63.5305,294.485
1600000,32,0.7875,47.7755,290.836
1600000,33,0.8125,48.537,292.743
1600000,34,0.8375,63.0585,292.072
1600000,35,0.8625,47.596,288.195
1600000,36,0.8875,49.3055,282.861
1600000,37,0.9125,62.5495,280.822
1600000,38,0.9375,45.0525,279.322
1600000,39,0.9625,20.398,279.594
1600000,40,0.9875,0.0,
2000000,1,0.0125,0.0,
2000000,2,0.0375,32.0,322.156
2000000,3,0.0625,52.115,318.684
2000000,4,0.0875,45.6895,319.571
2000000,5,0.1125,62.195,315.484
2000000,6,0.1375,49.117,309.028
2000000,7,0.1625,47.658,304.023
2000000,8,0.1875,63.2045,307.132
2000000,9,0.2125,48.301,307.29
2000000,10,0.2375,47.852,304.815
2000000,11,0.2625,63.6365,305.878
2000000,12,0.2875,47.822,304.175
2000000,13,0.3125,48.425,303.78
2000000,14,0.3375,62.938,302.806
2000000,15,0.3625,47.1365,302.615
2000000,16,0.3875,49.9125,300.646
2000000,17,0.4125,60.707,302.032
2000000,18,0.4375,46.205,297.595
2000000,19,0.4625,53.0855,299.806
2000000,20,0.4875,56.914,296.791
2000000,21,0.5125,45.583,297.736
2000000,22,0.5375,57.503,298.927
