# Chunk-averaged data for fix fp and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_tatom
400000 40 1951.9999999999995
  1 0.0125 0 0
  2 0.0375 32 319.364
  3 0.0625 52.511 321.038
  4 0.0875 45.4 319.303
  5 0.1125 62.0865 316.713
  6 0.1375 49.51 309.06
  7 0.1625 47.3635 305.81
  8 0.1875 63.0915 307.405
  9 0.2125 48.3625 302.572
  10 0.2375 47.886 300.545
  11 0.2625 63.426 301.334
  12 0.2875 47.517 301.997
  13 0.3125 48.916 299.833
  14 0.3375 62.056 298.842
  15 0.3625 47.2055 297.028
  16 0.3875 50.677 297.906
  17 0.4125 59.7265 298.882
  18 0.4375 46.392 299.31
  19 0.4625 53.873 298.285
  20 0.4875 56.612 299.238
  21 0.5125 46.575 301.325
  22 0.5375 56.812 301.602
  23 0.5625 53.5515 298.891
  24 0.5875 46.092 296.242
  25 0.6125 60.301 298.139
  26 0.6375 50.3935 296.819
  27 0.6625 46.937 297.698
  28 0.6875 62.6705 296.858
  29 0.7125 48.4995 299.047
  30 0.7375 47.76 297.084
  31 0.7625 63.531 296.213
  32 0.7875 47.725 295.608
  33 0.8125 48.563 294.466
  34 0.8375 62.96 292.485
  35 0.8625 47.6245 289.796
  36 0.8875 49.3925 283.744
  37 0.9125 62.52 280.669
  38 0.9375 44.975 279.481
  39 0.9625 20.505 281.288
  40 0.9875 0 0
800000 40 1951.9999999999995
  1 0.0125 0 0
  2 0.0375 32 318.361
  3 0.0625 52.881 320.568
  4 0.0875 45.1235 319.408
  5 0.1125 61.995 316.609
  6 0.1375 49.4785 306.611
  7 0.1625 47.227 303.946
  8 0.1875 63.2755 305.445
  9 0.2125 48.231 302.302
  10 0.2375 48.0505 304.411
  11 0.2625 63.422 303.221
  12 0.2875 47.8475 303.963
  13 0.3125 48.5005 302.923
  14 0.3375 62.5605 305.079
  15 0.3625 47.3065 303.631
  16 0.3875 50.107 302.933
  17 0.4125 60.756 299.954
  18 0.4375 45.527 296.903
  19 0.4625 53.711 295.914
  20 0.4875 56.4695 297.704
  21 0.5125 46.345 298.764
  22 0.5375 57.185 300.038
  23 0.5625 53.1365 299.138
  24 0.5875 45.7185 298.925
  25 0.6125 61.129 299.997
  26 0.6375 49.772 297.449
  27 0.6625 47.248 297.178
  28 0.6875 62.9565 296.356
  29 0.7125 48.26 296.719
  30 0.7375 47.9885 297.05
  31 0.7625 63.5405 296.563
  32 0.7875 47.885 293.449
  33 0.8125 48.3725 292.738
  34 0.8375 62.9585 292.797
  35 0.8625 47.764 289.973
  36 0.8875 49.271 284.51
  37 0.9125 62.6315 281.188
  38 0.9375 44.223 281.517
  39 0.9625 21.1455 280.394
  40 0.9875 0 0
1200000 40 1952.0000000000005
  1 0.0125 0 0
  2 0.0375 32 317.969
  3 0.0625 52.2105 317.999
  4 0.0875 45.83 319.502
  5 0.1125 61.956 316.157
  6 0.1375 49.517 308.714
  7 0.1625 47.367 305.056
  8 0.1875 63.0655 305.263
  9 0.2125 48.4985 302.279
  10 0.2375 47.825 302.184
  11 0.2625 63.476 305.506
  12 0.2875 47.5645 302.977
  13 0.3125 48.7365 303.412
  14 0.3375 62.31 303.326
  15 0.3625 47.3105 302.844
  16 0.3875 50.342 301.813
  17 0.4125 60.2135 300.054
  18 0.4375 45.9575 297.443
  19 0.4625 53.823 296.657
  20 0.4875 56.4075 302.436
  21 0.5125 46.38 300.886
  22 0.5375 57.2095 300.513
  23 0.5625 53.0865 298.225
  24 0.5875 46.1 299.695
  25 0.6125 60.7985 299.367
  26 0.6375 49.89 299.838
  27 0.6625 47.2115 299.445
  28 0.6875 62.7985 297.817
  29 0.7125 48.4615 294.624
  30 0.7375 47.8295 295.612
  31 0.7625 63.555 296.526
  32 0.7875 47.48 294.726
  33 0.8125 48.8035 295.403
  34 0.8375 62.743 292.943
  35 0.8625 47.7595 290.656
  36 0.8875 49.483 283.329
  37 0.9125 62.4145 281.367
  38 0.9375 44.7415 278.573
  39 0.9625 20.844 279.929
  40 0.9875 0 0
1600000 40 1951.9999999999998
  1 0.0125 0 0
  2 0.0375 32 319.77
  3 0.0625 52.0625 319.832
  4 0.0875 45.4335 320.458
  5 0.1125 62.5035 315.009
  6 0.1375 49.1075 306.558
  7 0.1625 47.558 308.261
  8 0.1875 63.2875 305.419
  9 0.2125 48.3095 305.15
  10 0.2375 47.936 307.109
  11 0.2625 63.423 305.182
  12 0.2875 47.666 304.025
  13 0.3125 48.7375 306.049
  14 0.3375 62.2265 304.293
  15 0.3625 47.077 303.063
  16 0.3875 50.6795 303.842
  17 0.4125 60.027 304.653
  18 0.4375 45.357 304.799
  19 0.4625 54.6135 299.194
  20 0.4875 55.778 300.188
  21 0.5125 47.163 300.529
  22 0.5375 57.0535 298.775
  23 0.5625 53.261 296.413
  24 0.5875 46.0455 298.992
  25 0.6125 60.683 295.291
  26 0.6375 50.062 293.981
  27 0.6625 47.22 294.72
  28 0.6875 62.678 293.645
  29 0.7125 48.472 293.165
  30 0.7375 47.776 294.89
  31 0.7625 63.5305 294.485
  32 0.7875 47.7755 290.836
  33 0.8125 48.537 292.743
  34 0.8375 63.0585 292.072
  35 0.8625 47.596 288.195
  36 0.8875 49.3055 282.861
  37 0.9125 62.5495 280.822
  38 0.9375 45.0525 279.322
  39 0.9625 20.398 279.594
  40 0.9875 0 0
2000000 40 1952
  1 0.0125 0 0
  2 0.0375 32 322.156
  3 0.0625 52.115 318.684
  4 0.0875 45.6895 319.571
  5 0.1125 62.195 315.484
  6 0.1375 49.117 309.028
  7 0.1625 47.658 304.023
  8 0.1875 63.2045 307.132
  9 0.2125 48.301 307.29
  10 0.2375 47.852 304.815
  11 0.2625 63.6365 305.878
  12 0.2875 47.822 304.175
  13 0.3125 48.425 303.78
  14 0.3375 62.938 302.806
  15 0.3625 47.1365 302.615
  16 0.3875 49.9125 300.646
  17 0.4125 60.707 302.032
  18 0.4375 46.205 297.595
  19 0.4625 53.0855 299.806
  20 0.4875 56.914 296.791
  21 0.5125 45.583 297.736
  22 0.5375 57.503 298.927
  23 0.5625 52.7805 300.469
  24 0.5875 46.3065 297.728
  25 0.6125 60.912 296.782
  26 0.6375 49.815 296.276
  27 0.6625 47.2315 298.781
  28 0.6875 62.937 295.693
  29 0.7125 48.373 294.251
  30 0.7375 47.826 295.957
  31 0.7625 63.5895 293.022
  32 0.7875 47.9985 290.165
  33 0.8125 48.2585 290.843
  34 0.8375 63.457 292.287
  35 0.8625 46.9025 289.856
  36 0.8875 49.6125 283.529
  37 0.9125 61.9495 280.297
  38 0.9375 46.959 280.718
  39 0.9625 19.0915 278.302
  40 0.9875 0 0
2400000 40 1952
  1 0.0125 0 0
  2 0.0375 32 321.312
  3 0.0625 52.083 321.135
  4 0.0875 46.0285 320.399
  5 0.1125 61.8865 315.011
  6 0.1375 49.496 309.772
  7 0.1625 47.2775 308.121
  8 0.1875 63.1655 307.565
  9 0.2125 48.3525 304.334
  10 0.2375 47.9545 304.005
  11 0.2625 63.423 303.41
  12 0.2875 47.574 301.363
  13 0.3125 48.786 301.389
  14 0.3375 62.258 303.179
  15 0.3625 47.094 303.514
  16 0.3875 50.6275 302.798
  17 0.4125 59.9615 298.677
  18 0.4375 46.076 302.784
  19 0.4625 53.9575 302.708
  20 0.4875 56.4165 301.84
  21 0.5125 46.4465 300.729
  22 0.5375 57.1345 299.802
  23 0.5625 53.157 298.613
  24 0.5875 46.129 300.203
  25 0.6125 60.694 297.232
  26 0.6375 49.958 299.701
  27 0.6625 47.24 300.786
  28 0.6875 62.773 298.141
  29 0.7125 48.356 295.357
  30 0.7375 47.881 295.295
  31 0.7625 63.502 295.055
  32 0.7875 47.7805 293.279
  33 0.8125 48.5475 287.831
  34 0.8375 62.896 288.402
  35 0.8625 47.7275 287.857
  36 0.8875 49.3595 283.264
  37 0.9125 62.431 280.16
  38 0.9375 45.0765 280.383
  39 0.9625 20.4925 278.494
  40 0.9875 0 0
