run_index,run_id,material,status,potential,structure,configuration,seed,start_time,end_time,duration_sec,exit_code,avg_gpu_usage_pct,avg_cpu_usage_pct,avg_gpu_temp_c,avg_cpu_temp_c,avg_ram_usage_pct
1,[FAILED]-RUN-0001-20260901072214Z,WS2,FAILED,ws2.sw,bilayer_th00p00_zz.data,in.nemd,1,2026-09-01T13:22:14,2026-09-01T13:22:15,1.0,1,,50.0,,45.67,67.0
2,[FAILED]-RUN-0002-20260901072215Z,WS2,FAILED,ws2.sw,bilayer_th06p59_zz.data,in.nemd,1,2026-09-01T13:22:15,2026-09-01T13:22:16,1.0,1,,0.0,,47.0,66.9
3,[FAILED]-RUN-0003-20260901072216Z,WS2,FAILED,ws2.sw,bilayer_th12p52_zz.data,in.nemd,1,2026-09-01T13:22:16,2026-09-01T13:22:17,1.0,1,,0.0,,45.27,67.0
4,[FAILED]-RUN-0004-20260901072217Z,WS2,FAILED,ws2.sw,bilayer_th22p85_zz.data,in.nemd,1,2026-09-01T13:22:17,2026-09-01T13:22:18,1.0,1,,0.0,,47.8,67.1
5,[FAILED]-RUN-0005-20260901072218Z,WS2,FAILED,ws2.sw,bilayer_th30p00_zz.data,in.nemd,1,2026-09-01T13:22:18,2026-09-01T13:22:19,1.0,1,,0.0,,46.6,67.1
6,[FAILED]-RUN-0006-20260901072219Z,WS2,FAILED,ws2.sw,bilayer_th00p00_zz.data,in.nemd_smoke,1,2026-09-01T13:22:19,2026-09-01T13:22:20,1.0,1,,50.0,,48.2,67.0
7,[FAILED]-RUN-0007-20260901072220Z,WS2,FAILED,ws2.sw,bilayer_th06p59_zz.data,in.nemd_smoke,1,2026-09-01T13:22:20,2026-09-01T13:22:21,1.0,1,,0.0,,45.4,67.0
8,[FAILED]-RUN-0008-20260901072221Z,WS2,FAILED,ws2.sw,bilayer_th12p52_zz.data,in.nemd_smoke,1,2026-09-01T13:22:21,2026-09-01T13:22:22,1.0,1,,0.0,,45.4,67.0
9,[FAILED]-RUN-0009-20260901072222Z,WS2,FAILED,ws2.sw,bilayer_th22p85_zz.data,in.nemd_smoke,1,2026-09-01T13:22:22,2026-09-01T13:22:23,1.0,1,,50.0,,47.07,67.0
10,[FAILED]-RUN-0010-20260901072223Z,WS2,FAILED,ws2.sw,bilayer_th30p00_zz.data,in.nemd_smoke,1,2026-09-01T13:22:23,2026-09-01T13:22:24,1.0,1,,0.0,,47.07,67.0
11,[FAILED]-RUN-0011-20260901072224Z,WS2,FAILED,ws2.sw,bilayer_th00p00_zz.data,in.relax,1,2026-09-01T13:22:24,2026-09-01T13:22:25,1.0,1,,0.0,,47.07,67.0
12,[FAILED]-RUN-0012-20260901072225Z,WS2,FAILED,ws2.sw,bilayer_th06p59_zz.data,in.relax,1,2026-09-01T13:22:25,2026-09-01T13:22:26,1.0,1,,0.0,,46.2,66.9
13,[FAILED]-RUN-0013-20260901072226Z,WS2,FAILED,ws2.sw,bilayer_th12p52_zz.data,in.relax,1,2026-09-01T13:22:26,2026-09-01T13:22:27,1.0,1,,0.0,,47.07,67.0
14,[FAILED]-RUN-0014-20260901072227Z,WS2,FAILED,ws2.sw,bilayer_th22p85_zz.data,in.relax,1,2026-09-01T13:22:27,2026-09-01T13:22:28,1.0,1,,100.0,,49.73,67.0
15,[FAILED]-RUN-0015-20260901072228Z,WS2,FAILED,ws2.sw,bilayer_th30p00_zz.data,in.relax,1,2026-09-01T13:22:28,2026-09-01T13:22:29,1.0,1,,0.0,,51.6,67.0
16,[FAILED]-RUN-0016-20260901072229Z,WS2,FAILED,ws2.sw,bilayer_th00p00_zz.data,in.vacf,1,2026-09-01T13:22:29,2026-09-01T13:22:30,1.0,1,,0.0,,51.6,67.1
17,[FAILED]-RUN-0017-20260901072230Z,WS2,FAILED,ws2.sw,bilayer_th06p59_zz.data,in.vacf,1,2026-09-01T13:22:30,2026-09-01T13:22:31,1.0,1,,0.0,,46.93,67.1
18,[FAILED]-RUN-0018-20260901072231Z,WS2,FAILED,ws2.sw,bilayer_th12p52_zz.data,in.vacf,1,2026-09-01T13:22:31,2026-09-01T13:22:32,1.0,1,,0.0,,46.67,67.1
19,[FAILED]-RUN-0019-20260901072232Z,WS2,FAILED,ws2.sw,bilayer_th22p85_zz.data,in.vacf,1,2026-09-01T13:22:32,2026-09-01T13:22:33,1.0,1,,0.0,,45.33,67.1
20,[FAILED]-RUN-0020-20260901072233Z,WS2,FAILED,ws2.sw,bilayer_th30p00_zz.data,in.vacf,1,2026-09-01T13:22:33,2026-09-01T13:22:34,1.0,1,,0.0,,49.8,67.1
21,[ABORTED]-RUN-0021-20260901072234Z,ZincOxide,ABORTED_EARLY,none,zno_L20.data,in.zno_kappa,1,2026-09-01T13:22:34,2026-09-01T13:23:38,64.03,ABORTED_EARLY,,11.05,,51.17,67.25
