t_ps E_hot_eV E_cold_eV
0 0 0
10 -3.1955558573454 4.95339660888348
20 -6.9685578611316 6.39962188749689
30 -9.92579271467134 12.9063815708749
40 -11.7739974229261 13.8631586439169
50 -16.4139157559104 13.7966936699867
60 -17.7357698803041 17.898345234248
70 -18.5616922237978 20.7316461630373
80 -22.0966449123768 23.3399356906493
90 -20.9860071496068 25.4657681754136
100 -23.4048719023845 27.6365941982309
110 -27.3273724703406 29.9857365574661
120 -28.8395614624112 31.0958974370806
130 -32.9937595421567 33.3516142631738
140 -33.3398781465945 33.5326944207107
150 -34.4370736151184 35.986373484599
160 -36.0650200629165 39.8861145067847
170 -40.9010096515531 43.3677534728097
180 -43.2761991418255 45.5973252389504
190 -45.0634880134901 48.3315712621263
200 -47.8653785867447 51.0233220286732
210 -50.3246150279837 54.3845909883348
220 -53.0889036118999 53.241269697532
230 -54.8576366332159 54.5980384366762
240 -57.7201576963181 57.2337052953908
250 -62.5158984780539 61.1537071783789
260 -65.9421970868277 63.6054283866033
270 -65.7562510290817 63.8221555216961
280 -69.4302364326613 68.3798560239546
290 -71.9669693309209 73.4803900879654
300 -76.397062119817 75.6268044013206
310 -77.288134984093 76.9721052864131
320 -82.0820179195825 83.3423844649341
330 -83.0332150502578 88.2379184679362
340 -86.1787972918498 91.5011555423418
350 -91.278770498646 94.7630755676772
360 -95.7565050068622 95.7425159093673
370 -96.4335634840953 98.8333771726638
380 -102.116099087556 103.636424816603
390 -107.664782787316 105.511498684685
400 -108.512143080591 108.551477965875
410 -109.717615221234 112.102303538345
420 -111.249457604117 115.20342575239
430 -116.193986250053 117.839942312873
440 -120.65520290212 121.339844482482
450 -122.477973446606 124.71535529008
460 -126.444342175637 128.902358933261
470 -129.026785529646 131.321252797222
480 -132.999812116115 132.328357170172
490 -132.706023762715 136.53619117433
500 -136.182187560727 137.028609603448
510 -138.183643472601 137.870013009093
520 -140.330742658603 140.20773951047
530 -146.327726771985 142.416787887095
540 -147.651512656962 147.064039401113
550 -150.077047588304 150.121103026828
560 -151.770269339922 152.138992983159
570 -153.84266905688 153.536731407287
580 -153.42946994727 156.842334572112
590 -155.23970758105 159.903047795342
600 -157.842970355451 161.238392768809
610 -161.3205633845 164.219511074934
620 -162.582934400573 165.83337243025
630 -165.158167545322 166.641784259761
640 -169.174244231095 168.450211499706
650 -173.312074491877 170.007301074778
660 -174.837611335802 174.54568607372
670 -179.320406205954 177.927886637928
680 -181.508376495927 179.241502512722
690 -182.9753119636 179.713076974855
700 -186.906834437231 184.204550543271
710 -189.186493057826 188.269961713465
720 -191.397994742269 189.087412902361
730 -191.227305075638 193.787400519413
740 -193.364033316566 195.072465496102
750 -190.411501134093 197.254443373892
760 -196.56401155373 199.303381731244
770 -198.10703657563 200.775181591304
780 -198.29326691061 203.115939067576
790 -201.500376372601 203.821353102726
800 -204.812530143953 206.301039266364
810 -207.916197808903 205.802148390014
820 -208.32039675118 208.191991589296
830 -208.343983030585 209.570680890801
840 -212.172356470069 212.705724051639
850 -213.308006792755 214.993960182525
860 -216.544718852217 219.453991722228
870 -216.775246860905 220.909987150989
880 -219.102472177573 222.204546309941
890 -221.034459267849 223.497335623108
900 -223.460021812235 226.036517120204
910 -225.849989783055 229.702212627636
920 -228.569574969083 233.460196939393
930 -231.196942286084 236.739400087723
940 -232.931466472845 238.910578739853
950 -239.255024846098 238.867705848602
960 -241.762237384239 240.735852958989
970 -243.742472780945 246.532410923266
980 -244.281756271952 247.15074248
990 -248.566229186341 249.325742497907
1000 -251.972271018906 253.44893869739
1010 -254.501895261607 253.580296253452
