t_ps E_hot_eV E_cold_eV
0 0 0
10 -4.01830398554142 5.0730164110572
20 -7.62706270259213 8.93804875934479
30 -9.26172505355176 11.1976761633367
40 -10.1976106544079 14.5000600766209
50 -10.0447483291648 13.6922171049209
60 -12.8455855494523 17.6997702058488
70 -15.4303724477263 18.5720941658026
80 -19.910711851491 22.3234140261518
90 -25.380530226723 23.3075932286669
100 -25.8355301552156 25.3764210541296
110 -28.3345145774166 27.8333489746553
120 -30.5054317565016 30.9352472786668
130 -31.0651862773267 34.34960060312
140 -35.913152454304 35.2432542281264
150 -35.1521674099407 36.2541586328235
160 -36.6911254669313 38.4752418685075
170 -39.3279962342691 40.9129614010857
180 -40.8780973152249 42.9881657781836
190 -40.5866580654075 44.3027048128358
200 -42.6298566558754 45.1014513884245
210 -44.5121512460593 47.7443947107694
220 -44.6965471752943 51.256219847092
230 -46.5219164290019 52.9349458144793
240 -49.7070489123617 54.633595192598
250 -52.6104154535021 56.142436999974
260 -53.9567639575356 58.6342601165872
270 -55.8135136993523 61.0487671320856
280 -56.665591303204 63.8039062060033
290 -58.3452669834299 66.9379366619337
300 -62.7029291249098 70.1751239527109
310 -64.9295110902638 74.0331549357471
320 -66.6132475663073 74.7354066181133
330 -65.7609802704728 76.3292065436062
340 -70.0571263789424 77.2585979514784
350 -72.3160046701387 79.847355140554
360 -76.2128963101439 83.8042842134722
370 -78.6266898375044 85.3100761303565
380 -81.5349961961083 88.1292778384061
390 -84.6533552189942 90.6240379128174
400 -88.0916742832431 90.4989898083277
410 -87.1897150652196 91.8685106630265
420 -91.3902885901885 91.5775793791587
430 -94.5974009575917 95.2547632789116
440 -95.6961750067381 97.1356989497545
450 -97.8498290936483 95.7163575859198
460 -98.1876318388067 97.8540454830644
470 -101.205218994998 100.136784091675
480 -106.069018510481 104.436311444296
490 -107.256448797308 107.774552797153
500 -107.303783697112 112.490969886998
510 -110.22444732509 113.971408973867
520 -113.689141605726 115.83381870722
530 -115.307930644899 115.95498403096
540 -116.54669272475 119.367427494492
550 -120.663040108556 123.879560777614
560 -122.39339329552 126.699121467246
570 -123.764312035429 131.813031027319
580 -126.16776276189 132.977493945055
590 -129.075515583379 135.129795910914
600 -135.800008159007 135.914876462521
610 -138.083708809848 137.092903796691
620 -139.813735968824 141.872712482459
630 -141.626411847209 142.691436175817
640 -143.718173209004 146.886128568711
650 -144.439314255999 147.464707328048
660 -145.639242981076 150.977867395896
670 -146.662148850007 152.606276015553
680 -147.681649987386 152.679690655304
690 -149.217267195026 152.765567659326
700 -153.169043755745 154.934490987664
710 -153.092073329818 156.622917676169
720 -155.263081020999 161.795103323145
730 -156.131285329861 165.059878979672
740 -158.565492288502 165.759996345216
750 -161.322420590328 168.758656705694
760 -164.821402405634 170.771653281474
770 -168.888780395447 174.585773732861
780 -171.319757356022 175.440016917919
790 -173.949382067769 179.61285558865
800 -177.93046836633 181.398793880923
810 -181.639725595763 185.351872101797
820 -183.991914700056 187.709296453989
830 -186.843037306322 190.793510325159
840 -189.132944348669 195.038454049663
850 -192.923433706621 198.545357456782
860 -195.871892015371 200.375606588927
870 -197.668045357175 202.418115328595
880 -198.633236802307 204.631427362776
890 -200.695529710562 208.293753423898
900 -200.338633599106 210.51293089513
910 -203.807853758582 214.384002069955
920 -207.574387459488 215.850936348975
930 -211.168042638134 218.636296013476
940 -213.074443491775 219.325091987286
950 -215.113360327314 220.351431468426
960 -220.815481956173 222.862219779544
970 -222.570216811396 224.230968946016
980 -225.826835244488 225.277847728945
990 -230.120316008024 229.70997028693
1000 -231.769432159016 233.140307918341
1010 -236.449114343493 237.318359547971
1020 -240.556243992313 240.413115617088
1030 -243.462971208732 242.775634065918
1040 -245.201990292332 245.101313936929
1050 -247.425540113932 248.471454910776
1060 -251.175600233519 250.241380114553
1070 -250.9649755239 250.740159509183
1080 -254.711385942459 253.321140033301
1090 -256.409949614319 257.522128141045
1100 -260.901936512465 258.979809090684
1110 -260.652286216426 262.356261859347
1120 -263.361810135466 266.224574188375
1130 -266.33546261134 269.233491088779
