t_ps E_hot_eV E_cold_eV
0 0 0
10 -7.63614072750967 5.19006273419479
20 -17.2323268495626 13.4516481204726
30 -23.0460166834528 20.6975629610514
40 -31.5784696431681 28.5056243305366
50 -39.6031465563545 34.9778412646175
60 -45.2306767102572 43.7405400200595
70 -51.5677310584715 52.6561848520156
80 -57.2176963345794 58.9683947620024
90 -66.7587597040175 67.8272652405278
100 -78.8738083469477 76.6472050381319
110 -85.2970371485309 82.931168856662
120 -91.7079353464757 92.3674287512086
130 -103.727940458901 96.6181382764064
140 -110.883956644867 103.883512147347
150 -119.834902670034 113.515734206663
160 -126.107380795673 118.636691725893
170 -130.043544238108 128.60584233491
180 -137.480771600912 134.839005857662
190 -142.678241521328 141.453067099218
200 -149.98901035842 150.803354358152
210 -156.760929977574 158.662668450748
220 -161.055033045874 162.449745980937
230 -167.968123499873 168.602188195288
240 -178.2785826233 174.555359610056
250 -186.08690869438 183.714563792333
260 -191.366189343557 190.267625096442
270 -198.76404942218 196.300951927518
280 -205.521107272152 205.056975706945
290 -210.136775608321 213.002583322854
300 -218.401667022003 219.085360876916
310 -225.61628509981 223.025033795755
320 -234.7972799089 232.693700920247
330 -240.726641731076 239.775922121743
340 -249.118923701249 246.362213416553
350 -254.569371320513 255.562845372853
360 -263.934760354382 261.634991444209
370 -264.6902930661 265.177003054329
380 -274.269272211914 271.499791101926
390 -284.262498076858 280.142533115312
400 -288.477584128926 289.060427571134
410 -294.748380013703 294.531334296032
420 -300.881616212536 300.553319266492
430 -307.926737915286 308.703310912968
440 -315.200771043743 314.5385986934
450 -323.704682685526 322.410518370955
460 -328.583759446801 328.212090872292
470 -334.689490554866 332.349326013807
480 -341.054662034234 341.280110739537
490 -349.117016530709 347.932454819487
500 -358.309456137295 357.385660818151
510 -364.375871972873 363.631169725394
520 -372.299332165175 371.327358423453
530 -376.743075428008 375.443908169661
540 -385.443439034798 380.609557180934
550 -392.258567259689 390.941620217053
560 -401.509646748909 398.679671793437
570 -409.626393168857 404.27696539276
580 -416.185454792192 412.1600246602
590 -421.912764645319 417.071328541681
600 -426.301118273082 425.423532266133
610 -431.334307024433 431.523391741775
620 -441.934102841826 439.868841017184
630 -449.24264518255 448.056657802974
640 -455.757701820643 453.946315200667
650 -465.609570839744 461.914053670806
660 -472.114233770487 469.614489162576
670 -476.936492685755 478.29427345864
680 -488.197204896053 486.220580839723
690 -496.817403107006 490.803112693248
700 -500.034040535821 497.938767085126
710 -506.97818227677 504.955723056512
720 -512.955121539201 510.321744672863
730 -517.503458235986 520.181890156973
740 -524.992096261374 525.767426495943
750 -531.200174300494 531.405215243851
760 -539.977060179121 533.946236786898
770 -545.572905237536 541.968269368355
780 -553.155970288111 550.446310333916
790 -559.18781461187 556.158294713462
800 -565.668590707312 561.892290765013
810 -571.822989995952 567.619861353891
820 -580.945459145311 576.198822623665
830 -589.479601868488 583.475235451378
840 -598.593126354167 590.963301813853
850 -601.668255937675 597.59688688177
860 -606.034283600651 603.078089170859
870 -609.081127140406 610.15879716142
880 -618.434126352256 616.160441483222
890 -624.112737737864 622.076155254957
900 -632.602172307403 628.999666555807
910 -640.37527876636 634.956994412048
920 -645.835803903915 643.474634361009
930 -650.951560714634 653.309229423286
940 -660.308453139161 660.688740458942
950 -665.662668275234 666.750659008773
960 -672.532008018667 671.445964186745
970 -675.836234246498 674.693512543853
980 -684.421906917487 683.920010259613
990 -691.701059242557 689.600243760117
1000 -693.485993009559 693.808229655588
1010 -702.097850722338 700.004014162333
1020 -707.562412807772 705.332568100858
1030 -714.400152730351 713.529707093381
1040 -721.738619293717 716.77322925468
1050 -724.260269068982 728.913179226096
1060 -728.769526749351 733.041228605443
1070 -736.585427025895 739.208107205395
1080 -744.281989574779 744.171855767645
1090 -749.604919467621 749.663070314821
1100 -755.762485826263 756.296281776009
1110 -759.697686294101 765.238193627185
1120 -766.211760239977 766.175355325293
1130 -772.698848383102 771.933058552563
1140 -778.867439358057 776.230314766966
1150 -784.910523258994 783.718193769695
1160 -794.588735331047 794.032067867798
1170 -801.875680951338 802.461780377555
1180 -808.091349316255 806.360335788535
1190 -816.140644643221 814.134273457613
1200 -819.229900363081 822.471766496616
1210 -830.141403455195 828.23284163825
1220 -834.488428637338 835.018921506493
1230 -842.348630716746 841.416043402724
1240 -850.546622265315 844.709291552964
1250 -857.288231583785 852.957289408498
1260 -862.608898773578 859.318473030373
1270 -867.101238358112 866.002216730637
1280 -875.288485318867 872.441784296545
1290 -880.224458085871 879.17915625054
1300 -885.674737037948 882.063928212854
1310 -890.579927282385 891.444605140877
1320 -894.562993287926 894.223838127335
1330 -901.159694060918 897.402514771891
1340 -908.668167667934 906.048309155228
1350 -917.806455313745 915.482474577622
1360 -926.953152489163 923.579936742132
1370 -933.514280277084 931.532920170587
1380 -942.839045140465 936.93968308098
1390 -948.11036772234 941.141081402891
1400 -949.127438120462 949.405771568497
1410 -955.486976276696 955.879683753642
1420 -961.930212246732 965.025591475594
1430 -970.683057959962 971.548825178076
1440 -976.801363901067 975.339830467409
1450 -985.458508190826 981.728881774816
1460 -992.686396489859 992.513043253037
1470 -997.17675515691 997.927159036938
1480 -1003.39293256789 1002.22305608996
1490 -1011.11901434831 1011.90207748804
1500 -1015.71853570302 1015.59513662617
1510 -1021.58724997794 1021.66533778214
1520 -1026.54123588297 1027.24469172131
1530 -1032.48013452192 1033.22429140093
1540 -1036.79730365459 1037.61245619564
1550 -1045.5571000201 1043.8746284687
1560 -1052.42584859079 1050.746413992
1570 -1058.81269123385 1059.16592886281
