t_ps E_hot_eV E_cold_eV
0 0 0
10 -7.72834689973925 3.33844541877127
20 -12.1827681676759 12.1849276486665
30 -19.0369929338791 17.2775041939658
40 -26.6258157988052 25.1834911002679
50 -30.1750748480076 30.4181322087411
60 -39.7980934534146 35.49980607371
70 -44.7937583714723 43.5639952982177
80 -50.9880480524752 46.964522863033
90 -56.4649746130487 53.5623491811089
100 -61.7123084769193 61.9593854069607
110 -69.5607393136106 66.6990810062748
120 -74.0830904376929 73.36997874224
130 -80.8367110421301 79.0981968125574
140 -88.7355689622393 86.4449458057761
150 -93.6282004557891 93.4154634749653
160 -99.4041793478426 100.186953316415
170 -105.037169588038 107.470189857212
180 -114.677950001098 110.615623273254
190 -122.025204112426 117.554924990017
200 -128.193365151218 122.406073550179
210 -134.959411603847 127.43850584086
220 -138.990865281749 136.208103515494
230 -146.919643030906 145.324535525299
240 -154.661002239069 151.846091649527
250 -160.333973284865 160.675439606247
260 -168.056946959546 163.57872383269
270 -174.445597422836 172.050298250897
280 -179.568582237206 180.220705915568
290 -187.836888705472 183.441237535906
300 -196.203754101491 192.754218615756
310 -200.583090741437 197.633299917352
320 -204.061588906286 202.54926522691
330 -208.740767823152 208.274422042854
340 -214.931465921447 215.309486183474
350 -221.288322689841 221.953739911271
360 -231.872915915174 227.203787875283
370 -236.135602703029 231.123653890203
380 -241.721956437758 235.373291622643
390 -247.859872029756 243.290022644574
400 -254.540317292559 250.139636737308
410 -262.366478955158 257.238885615646
420 -265.957718824685 264.678171633064
430 -271.615526594452 270.833289052221
440 -279.765529642598 277.702796705368
450 -286.459023941846 282.553395522079
460 -292.757508470152 288.571517098482
470 -299.579258622953 292.215981294805
480 -307.819330734791 298.683387155365
490 -313.501167236481 307.430513796489
500 -321.202667543393 315.037856831038
510 -325.473679248598 321.269710983062
520 -334.606236161203 328.795301919655
530 -344.375438025929 337.328140770886
540 -348.911951156993 345.551270491101
550 -356.242942504858 352.989248827108
560 -364.511445321625 358.213673253473
570 -373.143947190804 362.785939724155
580 -374.536604078878 369.625590240587
590 -378.049688586973 373.596968677346
600 -382.896603968114 376.76628780291
610 -386.556259536918 382.314494809165
620 -392.372656788008 388.642525595377
630 -398.974502588148 392.977542729965
640 -402.855657448414 395.660225458788
650 -407.372732830151 404.631721171344
660 -413.678003898021 409.767234986224
670 -421.037139219743 419.052249544443
680 -426.897286127378 427.863911774921
690 -436.660839263694 433.111754918557
700 -443.137139801714 438.135245317721
710 -447.389984893396 444.545145595523
720 -455.049800211607 450.985786820912
730 -462.958607133226 457.374994847154
740 -469.270969581029 465.733919536596
750 -474.89644834775 470.880643330137
760 -478.152696068035 477.615673523107
770 -485.872381072744 482.569574470952
780 -494.165150064804 490.258715132425
790 -501.526875759858 496.314039091644
800 -506.150271250427 504.668358577129
810 -514.892999084674 510.909130331391
820 -523.96704021366 518.261508365432
830 -533.727130773673 524.9855779272
840 -539.316795268939 532.611179020721
850 -541.868502804593 537.376109236131
860 -546.467278072678 544.694872889186
870 -552.637862820598 548.6867561793
880 -558.915235795641 557.270719271861
890 -564.415901804987 565.421528386461
900 -571.214804864563 568.225948092727
910 -577.961266862625 574.219640724203
920 -584.003151389396 581.274436831091
930 -589.827964785408 587.384899913488
940 -594.517253453093 594.328635135931
950 -596.934559393301 599.152687090825
960 -605.68727688109 605.949557850112
970 -609.671220642434 612.906772060283
980 -616.752820062396 616.17511093725
990 -626.676213643018 618.436657171038
1000 -628.172541227369 623.936761244074
1010 -629.6025704422 625.333589266927
1020 -633.556772302568 634.095112050075
1030 -639.471284001968 638.239693343092
1040 -647.478499221121 642.343542250808
1050 -654.463281904163 651.628825321088
1060 -662.278196318657 659.639885940107
1070 -665.836171140329 663.884363207436
1080 -669.644101091751 668.408544311272
1090 -676.790987741181 671.535778941467
1100 -686.925518707509 681.031727303431
1110 -692.838803446492 685.252900982529
1120 -701.751370998357 692.453349045485
1130 -704.02565573453 702.773362272773
1140 -712.489305886618 712.465898518891
1150 -718.251222579149 718.372805885762
1160 -730.031059979765 726.742306342148
1170 -730.890310394199 734.398372016185
1180 -739.383176043399 737.382905268626
1190 -745.623648357726 744.373526405583
1200 -748.245737942503 749.62986969179
1210 -752.583863853995 753.201484942811
1220 -760.324412532039 759.025512885986
1230 -766.5935852685 763.211525943087
1240 -772.486785154531 771.209642768115
1250 -775.901225975353 776.990934342246
1260 -781.349132991534 779.847618659481
1270 -786.801411266549 786.766954887807
1280 -790.968092145984 792.243519693946
1290 -799.585068637794 794.446747079805
1300 -805.375295615299 800.746996861797
1310 -812.16094074093 807.727749125785
1320 -819.568624646865 815.124960427066
1330 -824.460892337039 819.70784321313
1340 -832.124716601242 825.950918282068
1350 -839.411206137012 832.777548148195
1360 -843.577684429594 837.861080678062
1370 -847.969783311786 842.62722784456
