# Chunk-averaged data for fix fp and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_tatom
400000 40 3040
  1 0.0125 0 0
  2 0.0375 89.0255 320.433
  3 0.0625 71.037 318.916
  4 0.0875 88.5805 314.052
  5 0.1125 71.48 312.028
  6 0.1375 88.3605 312.798
  7 0.1625 71.6565 308.902
  8 0.1875 88.6195 309.682
  9 0.2125 71.418 310.245
  10 0.2375 88.343 308.567
  11 0.2625 71.628 306.266
  12 0.2875 88.614 303.969
  13 0.3125 71.4945 301.128
  14 0.3375 88.1855 301.295
  15 0.3625 71.772 295.619
  16 0.3875 88.403 297.402
  17 0.4125 71.708 298.284
  18 0.4375 88.0975 299.89
  19 0.4625 71.922 298.218
  20 0.4875 88.2525 299.691
  21 0.5125 71.6875 297.634
  22 0.5375 87.8945 296.181
  23 0.5625 72.1615 293.87
  24 0.5875 88.0855 293.272
  25 0.6125 71.9265 293.269
  26 0.6375 87.993 292.826
  27 0.6625 71.903 290.64
  28 0.6875 88.326 291.57
  29 0.7125 71.657 292.493
  30 0.7375 88.1245 292.388
  31 0.7625 71.9175 289.143
  32 0.7875 88.442 287.91
  33 0.8125 71.4265 289.069
  34 0.8375 88.5525 288.474
  35 0.8625 71.409 289.332
  36 0.8875 88.032 285.83
  37 0.9125 71.92 286.245
  38 0.9375 90.0935 280.062
  39 0.9625 69.8505 279.343
  40 0.9875 0 0
800000 40 3040.0000000000005
  1 0.0125 0 0
  2 0.0375 90.854 320.954
  3 0.0625 69.417 321.052
  4 0.0875 88.1205 311.879
  5 0.1125 71.8615 308.674
  6 0.1375 88.738 306.977
  7 0.1625 71.374 307.873
  8 0.1875 88.2905 306.255
  9 0.2125 71.9595 307.588
  10 0.2375 87.699 308.206
  11 0.2625 72.2255 306.605
  12 0.2875 88.135 305.64
  13 0.3125 72.193 306.57
  14 0.3375 87.2165 304.636
  15 0.3625 72.7015 304.19
  16 0.3875 87.836 300.381
  17 0.4125 72.392 305.132
  18 0.4375 87.285 300.037
  19 0.4625 72.4335 298.032
  20 0.4875 88.164 298.411
  21 0.5125 72.0885 296.475
  22 0.5375 87.813 296.093
  23 0.5625 71.919 296.493
  24 0.5875 88.532 295.459
  25 0.6125 71.5895 295.098
  26 0.6375 88.253 294.616
  27 0.6625 71.4565 292.647
  28 0.6875 88.8385 292.77
  29 0.7125 71.1425 291.738
  30 0.7375 88.549 290.748
  31 0.7625 71.3515 292.25
  32 0.7875 88.889 292.656
  33 0.8125 70.942 291.511
  34 0.8375 89.1795 291.002
  35 0.8625 70.783 288.377
  36 0.8875 88.4555 287.442
  37 0.9125 71.3845 286.716
  38 0.9375 90.6555 280.734
  39 0.9625 69.282 281.165
  40 0.9875 0 0
1200000 40 3039.9999999999995
  1 0.0125 0 0
  2 0.0375 89.4475 319.405
  3 0.0625 70.6375 319.482
  4 0.0875 88.2905 310.448
  5 0.1125 71.744 307.938
  6 0.1375 88.2555 305.945
  7 0.1625 72.0095 301.965
  8 0.1875 88.064 304.329
  9 0.2125 72.3945 307.176
  10 0.2375 87.173 306.623
  11 0.2625 72.987 305.023
  12 0.2875 87.223 305.855
  13 0.3125 73.1625 305.174
  14 0.3375 86.734 304.222
  15 0.3625 73.5695 300.95
  16 0.3875 86.758 302.424
  17 0.4125 73.366 300.668
  18 0.4375 86.386 301.645
  19 0.4625 73.5155 299.175
  20 0.4875 86.91 298.015
  21 0.5125 73.3485 297.968
  22 0.5375 86.706 295.914
  23 0.5625 72.932 297.016
  24 0.5875 87.3185 297.075
  25 0.6125 72.719 295.225
  26 0.6375 87.2835 294.529
  27 0.6625 72.4805 293.607
  28 0.6875 87.9525 294.196
  29 0.7125 71.777 294.266
  30 0.7375 88.113 288.84
  31 0.7625 71.4235 289.576
  32 0.7875 88.729 289.476
  33 0.8125 71.0465 290.829
  34 0.8375 88.946 290.782
  35 0.8625 70.916 289.142
  36 0.8875 88.8905 287.226
  37 0.9125 70.865 285.923
  38 0.9375 90.463 280.431
  39 0.9625 69.4625 280.242
  40 0.9875 0 0
1600000 40 3039.999999999999
  1 0.0125 0 0
  2 0.0375 89.16 319.625
  3 0.0625 70.934 320.012
  4 0.0875 87.725 313.345
  5 0.1125 72.3245 309.966
  6 0.1375 88.1355 308.305
  7 0.1625 71.8905 304.853
  8 0.1875 87.9885 305.225
  9 0.2125 71.9605 303.444
  10 0.2375 87.972 303.574
  11 0.2625 72.117 304.991
  12 0.2875 88.2635 305.959
  13 0.3125 71.7745 303.277
  14 0.3375 87.8655 302.894
  15 0.3625 72.25 304.637
  16 0.3875 88.044 304.616
  17 0.4125 71.9025 302.479
  18 0.4375 88.0275 302.789
  19 0.4625 72.036 300.462
