# Chunk-averaged data for fix fp and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_tatom
400000 40 4063.9999999999995
  1 0.0125 32 320.204
  2 0.0375 97.7565 319.62
  3 0.0625 111.742 314.787
  4 0.0875 110.46 311.86
  5 0.1125 96.4315 312.278
  6 0.1375 110.814 311.132
  7 0.1625 110.567 311.37
  8 0.1875 98.2425 309.134
  9 0.2125 105.156 310.123
  10 0.2375 110.785 307.709
  11 0.2625 104.039 308.642
  12 0.2875 99.945 306.892
  13 0.3125 110.829 307.272
  14 0.3375 108.591 307.249
  15 0.3625 97.66 308.275
  16 0.3875 109.569 307.373
  17 0.4125 110.653 305.646
  18 0.4375 98.958 305.384
  19 0.4625 105.508 303.7
  20 0.4875 110.816 302.799
  21 0.5125 103.421 302.884
  22 0.5375 101.09 302.504
  23 0.5625 110.728 304.112
  24 0.5875 107.766 304.101
  25 0.6125 98.067 301.646
  26 0.6375 109.388 301.104
  27 0.6625 110.287 299.188
  28 0.6875 98.865 299.738
  29 0.7125 106.315 297.42
  30 0.7375 110.797 298.214
  31 0.7625 102.746 298.176
  32 0.7875 100.402 297.999
  33 0.8125 110.392 296.446
  34 0.8375 109.112 293.98
  35 0.8625 96.4635 292.259
  36 0.8875 111.069 291.326
  37 0.9125 111.662 288.397
  38 0.9375 96.904 284.27
  39 0.9625 107.219 280.156
  40 0.9875 20.7815 279.682
800000 40 4063.9999999999995
  1 0.0125 32 320.878
  2 0.0375 97.635 320.86
  3 0.0625 111.867 314.467
  4 0.0875 110.469 309.87
  5 0.1125 96.3255 307.498
  6 0.1375 111.038 306.402
  7 0.1625 111.15 306.483
  8 0.1875 97.5275 304.767
  9 0.2125 106.195 305.653
  10 0.2375 110.439 302.816
  11 0.2625 103.338 302.801
  12 0.2875 99.917 303.299
  13 0.3125 110.609 301.161
  14 0.3375 109.118 300.468
  15 0.3625 97.2145 298.86
  16 0.3875 110.296 300.696
  17 0.4125 110.772 299.944
  18 0.4375 98.1355 298.475
  19 0.4625 106.231 297.909
  20 0.4875 110.739 298.902
  21 0.5125 102.977 298.397
  22 0.5375 100.707 298.155
  23 0.5625 110.536 295.084
  24 0.5875 108.263 293.819
  25 0.6125 97.4295 296.159
  26 0.6375 110.095 292.944
  27 0.6625 110.764 293.829
  28 0.6875 98.3095 291.907
  29 0.7125 106.031 293.721
  30 0.7375 110.541 291.901
  31 0.7625 103.334 293.454
  32 0.7875 99.484 293.612
  33 0.8125 110.796 292.678
  34 0.8375 109.694 290.208
  35 0.8625 96.275 289.062
  36 0.8875 111.455 287.113
  37 0.9125 111.558 288.56
  38 0.9375 96.7375 285.381
  39 0.9625 107.334 280.05
  40 0.9875 20.666 281.018
1200000 40 4064.0000000000005
  1 0.0125 32 319.359
  2 0.0375 97.559 319.024
  3 0.0625 111.667 314.518
  4 0.0875 110.712 306.881
  5 0.1125 96.265 310.979
  6 0.1375 110.837 309
  7 0.1625 110.909 308.186
  8 0.1875 98.054 312.752
  9 0.2125 105.508 310.151
  10 0.2375 110.583 308.329
  11 0.2625 103.892 304.206
  12 0.2875 99.995 304.849
  13 0.3125 110.847 306.747
  14 0.3375 108.614 306.921
  15 0.3625 97.6765 306.295
  16 0.3875 109.469 308.346
  17 0.4125 110.534 305.917
  18 0.4375 98.979 304.493
  19 0.4625 105.763 300.761
  20 0.4875 110.679 300.445
  21 0.5125 103.433 299.362
  22 0.5375 100.957 300.628
  23 0.5625 110.802 300.861
  24 0.5875 107.892 300.16
  25 0.6125 97.7135 299.61
  26 0.6375 109.677 298.943
  27 0.6625 110.356 298.964
  28 0.6875 98.7415 298.247
  29 0.7125 105.824 296.101
  30 0.7375 110.871 296.997
  31 0.7625 103.192 294.789
  32 0.7875 100.16 297.604
  33 0.8125 110.553 297.757
  34 0.8375 109.245 295.339
  35 0.8625 96.3555 294.177
  36 0.8875 111.102 290.574
  37 0.9125 111.558 287.002
  38 0.9375 97.026 285.661
  39 0.9625 107.316 280.47
  40 0.9875 20.684 282.475
1600000 40 4063.999999999999
  1 0.0125 32 321.772
  2 0.0375 97.4815 320.053
  3 0.0625 111.725 315.392
  4 0.0875 110.728 308.18
  5 0.1125 96.276 306.71
  6 0.1375 110.707 308.138
  7 0.1625 110.769 308.417
  8 0.1875 98.349 308.129
  9 0.2125 104.775 304.631
  10 0.2375 110.633 307.044
  11 0.2625 104.536 304.939
  12 0.2875 99.7225 302.108
  13 0.3125 111.108 302.701
  14 0.3375 108.588 302.206
  15 0.3625 97.708 302.055
  16 0.3875 109.261 302.867
  17 0.4125 110.192 304.434
  18 0.4375 99.638 302.727
  19 0.4625 105.244 301.418
  20 0.4875 110.775 301.828
  21 0.5125 103.722 302.677
  22 0.5375 100.878 302.16
  23 0.5625 110.482 299.893
  24 0.5875 107.713 296.385
  25 0.6125 98.4375 300.233
  26 0.6375 108.868 297.397
  27 0.6625 110.427 297.782
  28 0.6875 99.368 296.993
  29 0.7125 105.57 294.902
  30 0.7375 111.027 296.662
  31 0.7625 103.259 296.67
  32 0.7875 100.202 292.833
  33 0.8125 110.59 292.466
  34 0.8375 109.135 293.595
  35 0.8625 96.489 290.413
  36 0.8875 110.903 293.449
  37 0.9125 111.557 292.338
  38 0.9375 97.156 287.523
  39 0.9625 107.278 279.927
  40 0.9875 20.721 279.268
2000000 40 4064
  1 0.0125 32 320.12
  2 0.0375 97.5325 320.013
  3 0.0625 111.675 314.491
  4 0.0875 110.77 307.749
  5 0.1125 96.312 306.774
  6 0.1375 111.269 305.414
  7 0.1625 110.958 303.611
  8 0.1875 97.4915 301.969
  9 0.2125 105.924 302.193
  10 0.2375 110.463 304.776
  11 0.2625 103.604 306.587
  12 0.2875 99.7755 307.072
  13 0.3125 110.844 305.749
  14 0.3375 109.228 305.746
  15 0.3625 96.76 303.184
  16 0.3875 110.05 302.081
  17 0.4125 110.996 303.706
  18 0.4375 98.3575 302.126
  19 0.4625 105.785 301.645
  20 0.4875 110.724 300.393
  21 0.5125 103.457 297.677
  22 0.5375 100.338 297.694
  23 0.5625 110.639 299.187
  24 0.5875 108.665 298.032
  25 0.6125 96.9605 296.839
  26 0.6375 110.242 295.123
  27 0.6625 111.099 294.855
  28 0.6875 98.1035 294.62
  29 0.7125 106.126 292.34
  30 0.7375 110.362 294.016
  31 0.7625 103.484 296.164
  32 0.7875 99.3595 293.722
  33 0.8125 110.631 293.298
  34 0.8375 109.963 294.082
  35 0.8625 96.1805 292.078
  36 0.8875 111.402 289.018
  37 0.9125 111.666 290.645
  38 0.9375 96.801 285.927
  39 0.9625 107.219 280.028
  40 0.9875 20.781 279.308
2400000 40 4064.0000000000005
  1 0.0125 32 321.628
  2 0.0375 97.7045 320.766
  3 0.0625 111.525 314.985
  4 0.0875 110.733 310.55
  5 0.1125 96.246 309.466
  6 0.1375 110.672 310.106
  7 0.1625 110.994 309.18
  8 0.1875 98.14 310.319
  9 0.2125 105.676 309.872
  10 0.2375 110.299 310.193
  11 0.2625 104.008 310.957
  12 0.2875 99.1055 309.524
  13 0.3125 110.94 305.236
  14 0.3375 109.829 305.696
  15 0.3625 96.4895 303.855
  16 0.3875 110.706 306.208
  17 0.4125 111.07 307.464
  18 0.4375 97.8705 306.965
  19 0.4625 106.222 306.394
  20 0.4875 110.766 305.169
  21 0.5125 103.001 301.824
  22 0.5375 100.323 301.86
  23 0.5625 110.648 302.255
  24 0.5875 108.831 305.438
  25 0.6125 96.886 303.85
  26 0.6375 110.541 297.028
  27 0.6625 111.021 299.657
  28 0.6875 97.792 295.327
  29 0.7125 106.859 296.377
  30 0.7375 110.525 294.897
  31 0.7625 102.572 291.083
  32 0.7875 100.441 291.411
  33 0.8125 110.523 291.915
  34 0.8375 108.953 290.961
  35 0.8625 96.4765 290.664
  36 0.8875 110.934 290.703
  37 0.9125 111.684 288.121
  38 0.9375 96.992 284.801
  39 0.9625 107.301 279.218
  40 0.9875 20.699 282.924
2800000 40 4063.9999999999995
