# Chunk-averaged data for fix fp and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_tatom
400000 40 4560
  1 0.0125 0 0
  2 0.0375 134.857 319.886
  3 0.0625 105.269 318.38
  4 0.0875 132.391 313.214
  5 0.1125 107.611 311.085
  6 0.1375 133.016 311.293
  7 0.1625 107.151 310.671
  8 0.1875 132.584 309.933
  9 0.2125 107.401 306.453
  10 0.2375 132.365 306.912
  11 0.2625 107.674 304.653
  12 0.2875 132.375 305.207
  13 0.3125 107.834 303.823
  14 0.3375 131.887 303.722
  15 0.3625 108.048 304.253
  16 0.3875 132.243 302.233
  17 0.4125 107.963 302.018
  18 0.4375 131.864 302.791
  19 0.4625 107.912 303.66
  20 0.4875 132.545 302.869
  21 0.5125 107.656 301.34
  22 0.5375 132.512 299.493
  23 0.5625 107.265 296.642
  24 0.5875 132.815 295.516
  25 0.6125 107.361 294.953
  26 0.6375 132.483 295.458
  27 0.6625 107.428 294.084
  28 0.6875 132.935 295.304
  29 0.7125 106.969 297.058
  30 0.7375 132.523 295.144
  31 0.7625 107.355 297.347
  32 0.7875 133.071 295.414
  33 0.8125 106.939 295.517
  34 0.8375 132.489 294.211
  35 0.8625 107.42 294.539
  36 0.8875 133.249 291.827
  37 0.9125 106.613 289.476
  38 0.9375 134.736 281.147
  39 0.9625 105.19 279.911
  40 0.9875 0 0
800000 40 4560
  1 0.0125 0 0
  2 0.0375 134.561 319.782
  3 0.0625 105.527 319.038
  4 0.0875 131.817 311.118
  5 0.1125 108.251 308.303
  6 0.1375 132.321 305.656
  7 0.1625 107.764 304.214
  8 0.1875 132.277 304.586
  9 0.2125 107.781 304.312
  10 0.2375 132.169 305.766
  11 0.2625 107.826 303.855
  12 0.2875 132.331 304.097
  13 0.3125 107.844 303.392
  14 0.3375 131.762 303.151
  15 0.3625 108.077 303.659
  16 0.3875 132.699 302.527
  17 0.4125 107.583 299.701
  18 0.4375 131.931 301.411
  19 0.4625 107.93 300.311
  20 0.4875 132.808 300.762
  21 0.5125 107.269 302.549
  22 0.5375 131.968 300.659
  23 0.5625 108.08 298.494
  24 0.5875 132.884 300.129
  25 0.6125 107.166 297.765
  26 0.6375 132.256 294.621
  27 0.6625 107.632 296.747
  28 0.6875 133.208 295.787
  29 0.7125 106.71 293.972
  30 0.7375 132.904 293.171
  31 0.7625 107.123 293.796
  32 0.7875 133.061 292.241
  33 0.8125 106.672 292.294
  34 0.8375 133.899 291.684
  35 0.8625 106.087 292.085
  36 0.8875 133.053 289.759
  37 0.9125 106.826 289.09
  38 0.9375 135.636 281.901
  39 0.9625 104.306 281.109
  40 0.9875 0 0
1200000 40 4560
  1 0.0125 0 0
  2 0.0375 136.657 320.779
  3 0.0625 103.621 319.076
  4 0.0875 132.648 312.954
  5 0.1125 107.254 310.798
  6 0.1375 133.582 310.584
  7 0.1625 106.625 310.166
  8 0.1875 133.333 306.981
  9 0.2125 106.678 305.268
  10 0.2375 132.353 304.825
  11 0.2625 107.665 305.629
  12 0.2875 133.024 302.811
  13 0.3125 107.147 301.653
  14 0.3375 132.326 302.884
  15 0.3625 107.459 301.861
  16 0.3875 133.005 301.232
  17 0.4125 107.305 299.852
  18 0.4375 132.241 299.877
  19 0.4625 107.564 300.86
  20 0.4875 133.206 301.143
  21 0.5125 106.913 301.746
  22 0.5375 132.352 301.321
  23 0.5625 107.519 300.496
  24 0.5875 133.309 297.429
  25 0.6125 106.695 297.91
  26 0.6375 132.474 296.856
  27 0.6625 107.418 295.531
  28 0.6875 133.639 294.445
  29 0.7125 106.33 295.063
  30 0.7375 132.773 293.227
  31 0.7625 107.125 294.561
  32 0.7875 133.563 292.087
  33 0.8125 106.42 291.067
  34 0.8375 133.026 289.858
  35 0.8625 106.93 288.568
  36 0.8875 132.653 289.247
  37 0.9125 107.243 287.311
  38 0.9375 135.629 280.938
  39 0.9625 104.296 279.486
  40 0.9875 0 0
1600000 40 4559.999999999999
  1 0.0125 0 0
  2 0.0375 134.327 320.403
  3 0.0625 105.829 318.382
  4 0.0875 131.868 310.876
  5 0.1125 108.105 307.247
  6 0.1375 132.916 307.058
  7 0.1625 107.263 307.119
  8 0.1875 132.344 307.939
  9 0.2125 107.654 307.795
  10 0.2375 132.245 306.907
  11 0.2625 107.697 306.925
  12 0.2875 132.504 304.957
  13 0.3125 107.775 303.992
  14 0.3375 132.212 303.222
  15 0.3625 107.6 302.675
  16 0.3875 133.06 302.794
  17 0.4125 107.073 302.223
  18 0.4375 132.578 301.976
  19 0.4625 107.344 299.645
  20 0.4875 133.069 299.61
  21 0.5125 107.035 299.255
  22 0.5375 132.169 298.676
  23 0.5625 107.727 298.405
  24 0.5875 133.207 297.993
  25 0.6125 106.852 297.089
  26 0.6375 132.232 295.586
  27 0.6625 107.704 294.262
  28 0.6875 133.686 294.023
  29 0.7125 106.285 296.189
  30 0.7375 133.04 291.889
  31 0.7625 106.951 290.622
  32 0.7875 133.5 290.545
  33 0.8125 106.433 293.393
  34 0.8375 133.821 292.388
  35 0.8625 106.115 290.074
  36 0.8875 133.525 290.504
  37 0.9125 106.34 286.832
  38 0.9375 135.382 281.331
  39 0.9625 104.531 278.637
  40 0.9875 0 0
2000000 40 4560
  1 0.0125 0 0
  2 0.0375 133.715 319.427
  3 0.0625 106.609 319.797
  4 0.0875 132.023 312.286
  5 0.1125 107.781 308.973
  6 0.1375 132.625 309.141
  7 0.1625 107.579 309.73
  8 0.1875 132.389 308.472
  9 0.2125 107.645 309.612
  10 0.2375 132.504 304.56
  11 0.2625 107.43 303.326
  12 0.2875 132.703 305.585
  13 0.3125 107.511 302.636
  14 0.3375 132.315 302.226
  15 0.3625 107.492 299.395
  16 0.3875 132.642 299.701
  17 0.4125 107.648 300.363
  18 0.4375 132.084 302.163
  19 0.4625 107.685 300.946
  20 0.4875 132.953 299.712
  21 0.5125 107.093 298.806
  22 0.5375 132.099 297.503
  23 0.5625 107.709 297.442
  24 0.5875 133.058 294.698
  25 0.6125 106.954 295.271
  26 0.6375 132.076 295.582
  27 0.6625 107.916 293.794
  28 0.6875 132.956 292.864
  29 0.7125 107.112 289.984
  30 0.7375 132.367 288.596
  31 0.7625 107.634 287.84
  32 0.7875 133.181 289.233
  33 0.8125 106.757 288.089
  34 0.8375 133.049 287.774
  35 0.8625 106.862 288.541
  36 0.8875 132.883 288.839
  37 0.9125 107.038 284.798
  38 0.9375 135.586 280.47
  39 0.9625 104.335 279.281
  40 0.9875 0 0
2400000 40 4559.999999999998
  1 0.0125 0 0
  2 0.0375 132.336 319.437
  3 0.0625 107.738 318.721
  4 0.0875 132.095 315.248
  5 0.1125 108.05 312.367
  6 0.1375 132.229 312.535
  7 0.1625 107.775 309.454
  8 0.1875 131.926 307.713
  9 0.2125 108.172 307.189
  10 0.2375 132.487 306.698
  11 0.2625 107.629 307.412
  12 0.2875 132.119 307.107
  13 0.3125 107.996 307.476
  14 0.3375 132.098 305.45
  15 0.3625 107.793 303.571
  16 0.3875 132.064 304.134
  17 0.4125 108.221 304.909
  18 0.4375 131.641 303.828
  19 0.4625 108.367 300.789
  20 0.4875 131.809 298.227
  21 0.5125 108.13 297.748
  22 0.5375 131.617 298.181
  23 0.5625 108.492 296.728
  24 0.5875 131.868 298.232
  25 0.6125 108.117 297.424
