# Chunk-averaged data for fix fp and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_tatom
400000 40 1992.0000000000002
  1 0.0125 0 0
  2 0.0375 24 320.547
  3 0.0625 48 318.78
  4 0.0875 59.714 318.908
  5 0.1125 60.286 314.859
  6 0.1375 48 306.482
  7 0.1625 48 307.014
  8 0.1875 59.763 305.77
  9 0.2125 60.2365 304.527
  10 0.2375 48.0005 304.704
  11 0.2625 48.0015 304.072
  12 0.2875 59.91 303.841
  13 0.3125 60.086 302.825
  14 0.3375 48.0025 302.59
  15 0.3625 48.001 300.662
  16 0.3875 59.9105 299.347
  17 0.4125 60.086 300.941
  18 0.4375 48.0025 301.535
  19 0.4625 48.006 301.514
  20 0.4875 59.88 300.966
  21 0.5125 60.1095 301.623
  22 0.5375 48.0045 298.442
  23 0.5625 48.003 299.968
  24 0.5875 59.955 297.52
  25 0.6125 60.041 295.685
  26 0.6375 48.001 295.985
  27 0.6625 48.0025 298.462
  28 0.6875 59.9005 298.633
  29 0.7125 60.0965 297.192
  30 0.7375 48.0005 295.498
  31 0.7625 48 296.524
  32 0.7875 60.1075 296.698
  33 0.8125 59.8925 295.657
  34 0.8375 48 294.258
  35 0.8625 48.0005 290.157
  36 0.8875 60.112 286.563
  37 0.9125 59.8875 281.209
  38 0.9375 48 279.692
  39 0.9625 24 280.986
  40 0.9875 0 0
800000 40 1992.0000000000005
  1 0.0125 0 0
  2 0.0375 24 318.898
  3 0.0625 48 319.841
  4 0.0875 60.066 317.734
  5 0.1125 59.934 314.404
  6 0.1375 48 310.532
  7 0.1625 48 308.701
  8 0.1875 59.9605 307.254
  9 0.2125 60.039 306.904
  10 0.2375 48.0005 306.57
  11 0.2625 48 307.657
  12 0.2875 59.974 308.37
  13 0.3125 60.026 307.417
  14 0.3375 48 304.481
  15 0.3625 48 303.273
  16 0.3875 59.982 304.004
  17 0.4125 60.018 301.789
  18 0.4375 48 303.602
  19 0.4625 48 302.434
  20 0.4875 59.903 304.381
  21 0.5125 60.095 303.104
  22 0.5375 48.002 303.913
  23 0.5625 48 303.166
  24 0.5875 59.8405 302.283
  25 0.6125 60.1595 300.953
  26 0.6375 48 300.179
  27 0.6625 48 302.396
  28 0.6875 59.881 299.781
  29 0.7125 60.1185 300.235
  30 0.7375 48.0005 298.617
  31 0.7625 48.0005 300.807
  32 0.7875 59.8535 301.357
  33 0.8125 60.1455 300.195
  34 0.8375 48.0005 298.255
  35 0.8625 48 295.145
  36 0.8875 59.924 287.364
  37 0.9125 60.076 280.658
  38 0.9375 48 281.241
  39 0.9625 24 278.538
  40 0.9875 0 0
1200000 40 1992.0000000000005
  1 0.0125 0 0
  2 0.0375 24 320.259
  3 0.0625 48 318.751
  4 0.0875 60.009 319.655
  5 0.1125 59.991 311.84
  6 0.1375 48 304.556
  7 0.1625 48 303.231
  8 0.1875 59.8765 302.574
  9 0.2125 60.122 304.977
  10 0.2375 48.0015 306.031
  11 0.2625 48.0015 303.451
  12 0.2875 59.91 302.622
  13 0.3125 60.0845 304.587
  14 0.3375 48.004 305.184
  15 0.3625 48.002 305.555
  16 0.3875 59.9975 305.832
  17 0.4125 60 302.328
  18 0.4375 48.0005 302.008
  19 0.4625 48.002 302.441
  20 0.4875 59.8705 299.962
  21 0.5125 60.1255 299.027
  22 0.5375 48.002 297.367
  23 0.5625 48.0025 298.859
  24 0.5875 59.796 301.116
  25 0.6125 60.2 299.641
  26 0.6375 48.0015 298.316
  27 0.6625 48.0015 302.005
  28 0.6875 59.7845 300.553
  29 0.7125 60.2125 300.262
  30 0.7375 48.0015 298.902
  31 0.7625 48.002 297.001
  32 0.7875 59.87 295.907
  33 0.8125 60.1275 296.702
  34 0.8375 48.0005 296.227
  35 0.8625 48 296.23
  36 0.8875 59.849 285.735
  37 0.9125 60.151 281.382
  38 0.9375 48 280.317
  39 0.9625 24 278.241
  40 0.9875 0 0
1600000 40 1992.0000000000005
  1 0.0125 0 0
  2 0.0375 24 319.515
  3 0.0625 48 319.427
  4 0.0875 59.822 317.858
  5 0.1125 60.178 311.629
  6 0.1375 48 307.271
  7 0.1625 48.0005 306.609
  8 0.1875 59.6605 304.213
  9 0.2125 60.338 302.533
  10 0.2375 48.001 305.514
  11 0.2625 48.0025 303.546
  12 0.2875 59.746 302.536
  13 0.3125 60.2475 305.292
  14 0.3375 48.004 306.253
  15 0.3625 48.004 305.042
  16 0.3875 59.715 304.143
  17 0.4125 60.2755 300.741
  18 0.4375 48.0055 301.869
  19 0.4625 48.0085 301.999
  20 0.4875 59.801 303.973
  21 0.5125 60.177 302.647
  22 0.5375 48.0135 302.372
  23 0.5625 48.002 299.172
  24 0.5875 59.97 297.717
  25 0.6125 60.022 298.643
  26 0.6375 48.006 296.579
  27 0.6625 48.003 295.705
  28 0.6875 59.9975 293.38
  29 0.7125 59.996 294.634
  30 0.7375 48.0035 293.58
  31 0.7625 48.0025 297.559
  32 0.7875 60.098 294.557
  33 0.8125 59.899 295.02
  34 0.8375 48.0005 291.585
  35 0.8625 48 292.897
  36 0.8875 60.0585 286.66
  37 0.9125 59.9415 282.379
  38 0.9375 48 281.697
  39 0.9625 24 280.295
  40 0.9875 0 0
2000000 40 1992.0000000000002
  1 0.0125 0 0
