# Chunk-averaged data for fix fp and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_tatom
400000 40 3096
  1 0.0125 0 0
  2 0.0375 72.0025 318.672
  3 0.0625 95.9935 317.856
  4 0.0875 72.004 311.383
  5 0.1125 83.456 307.15
  6 0.1375 84.544 308
  7 0.1625 72.0215 306.594
  8 0.1875 95.949 306.001
  9 0.2125 72.0295 307.687
  10 0.2375 83.3555 308.479
  11 0.2625 84.6445 307.055
  12 0.2875 72.047 305.38
  13 0.3125 95.8965 305.171
  14 0.3375 72.0565 304.862
  15 0.3625 83.765 304.581
  16 0.3875 84.235 303.955
  17 0.4125 72.039 302.741
  18 0.4375 95.934 304.838
  19 0.4625 72.027 304.239
  20 0.4875 83.7155 303.843
  21 0.5125 84.2845 302.601
  22 0.5375 72.0215 302.819
  23 0.5625 95.944 299.675
  24 0.5875 72.0345 298.201
  25 0.6125 83.5415 298.634
  26 0.6375 84.4585 297.126
  27 0.6625 72.04 296.915
  28 0.6875 95.904 294.855
  29 0.7125 72.056 297.826
  30 0.7375 83.8705 298.186
  31 0.7625 84.1295 296.103
  32 0.7875 72.0255 293.421
  33 0.8125 95.947 294.482
  34 0.8375 72.0275 292.468
  35 0.8625 84.2065 292.205
  36 0.8875 83.7935 294.198
  37 0.9125 72.004 289.934
  38 0.9375 95.995 281.943
  39 0.9625 72.001 279.168
  40 0.9875 0 0
800000 40 3096
  1 0.0125 0 0
  2 0.0375 72.003 319.975
  3 0.0625 95.9875 318.28
  4 0.0875 72.0095 309.079
  5 0.1125 83.642 306.631
  6 0.1375 84.358 305.093
  7 0.1625 72.0395 305.343
  8 0.1875 95.9185 304.912
  9 0.2125 72.042 303.036
  10 0.2375 84.01 303.419
  11 0.2625 83.99 300.265
  12 0.2875 72.0815 302.256
  13 0.3125 95.882 300.448
  14 0.3375 72.0365 302.655
  15 0.3625 84.3405 300.705
  16 0.3875 83.6595 303.059
  17 0.4125 72.0295 300.59
  18 0.4375 95.9425 298.43
  19 0.4625 72.028 300.353
  20 0.4875 83.8475 299.86
  21 0.5125 84.1525 296.98
  22 0.5375 72.059 299.639
  23 0.5625 95.894 297.289
  24 0.5875 72.047 297.569
  25 0.6125 83.671 297.288
  26 0.6375 84.329 295.278
  27 0.6625 72.067 295.784
  28 0.6875 95.885 294.948
  29 0.7125 72.048 295.054
  30 0.7375 84.2205 296.93
  31 0.7625 83.7795 297.149
  32 0.7875 72.0295 295.443
  33 0.8125 95.94 292.904
  34 0.8375 72.0305 292.426
  35 0.8625 84.547 293.483
  36 0.8875 83.453 291.856
  37 0.9125 72.0045 289.782
  38 0.9375 95.9955 281.883
  39 0.9625 72 281.804
  40 0.9875 0 0
1200000 40 3096.000000000001
  1 0.0125 0 0
  2 0.0375 72.002 318.713
  3 0.0625 95.9915 318.103
  4 0.0875 72.0065 308.222
  5 0.1125 83.334 304.809
  6 0.1375 84.666 304.929
  7 0.1625 72.027 305.47
  8 0.1875 95.94 303.164
  9 0.2125 72.033 304.895
  10 0.2375 83.3345 301.48
  11 0.2625 84.6655 301.691
  12 0.2875 72.0555 298.436
  13 0.3125 95.8895 298.833
  14 0.3375 72.055 299.97
  15 0.3625 83.904 298.842
  16 0.3875 84.096 301.565
  17 0.4125 72.0385 300.339
  18 0.4375 95.9155 300.987
  19 0.4625 72.046 301.134
  20 0.4875 83.736 300.804
  21 0.5125 84.264 298.562
  22 0.5375 72.0445 299.396
  23 0.5625 95.915 300.663
  24 0.5875 72.0405 299.643
  25 0.6125 83.5365 300.597
  26 0.6375 84.4635 300.531
  27 0.6625 72.044 299.938
  28 0.6875 95.891 298.115
  29 0.7125 72.065 298.582
  30 0.7375 83.741 296.705
