# Chunk-averaged data for fix fp and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_tatom
400000 40 4644
  1 0.0125 0 0
  2 0.0375 108.002 319.958
  3 0.0625 143.995 317.732
  4 0.0875 108.002 310.325
  5 0.1125 125.742 306.587
  6 0.1375 126.258 306.886
  7 0.1625 108.022 310.094
  8 0.1875 143.939 307.486
  9 0.2125 108.039 305.616
  10 0.2375 125.579 306.517
  11 0.2625 126.421 306.111
  12 0.2875 108.034 304.22
  13 0.3125 143.902 304.338
  14 0.3375 108.064 303.524
  15 0.3625 125.336 303.247
  16 0.3875 126.664 302.102
  17 0.4125 108.04 300.87
  18 0.4375 143.889 301.227
  19 0.4625 108.07 300.583
  20 0.4875 125.86 300.951
  21 0.5125 126.14 299.712
  22 0.5375 108.056 303.132
  23 0.5625 143.904 300.165
  24 0.5875 108.04 298.338
  25 0.6125 126.113 299.957
  26 0.6375 125.887 300.027
  27 0.6625 108.043 298.005
  28 0.6875 143.93 297.744
  29 0.7125 108.026 297.837
  30 0.7375 125.969 297.85
  31 0.7625 126.031 295.394
  32 0.7875 108.038 296.251
  33 0.8125 143.945 296.2
  34 0.8375 108.017 296.296
  35 0.8625 126.153 294.148
  36 0.8875 125.847 293.032
  37 0.9125 108.005 291.753
  38 0.9375 143.995 282.589
  39 0.9625 108 281.315
  40 0.9875 0 0
800000 40 4644
  1 0.0125 0 0
  2 0.0375 108.001 319.893
  3 0.0625 143.991 316.88
  4 0.0875 108.008 308.104
  5 0.1125 125.755 308.136
  6 0.1375 126.245 307.154
  7 0.1625 108.023 309.697
  8 0.1875 143.954 307.449
  9 0.2125 108.023 305.61
  10 0.2375 125.421 306.918
  11 0.2625 126.579 304.126
  12 0.2875 108.044 304.7
  13 0.3125 143.915 305.395
  14 0.3375 108.04 302.912
  15 0.3625 125.334 302.454
  16 0.3875 126.666 301.993
  17 0.4125 108.053 302.145
  18 0.4375 143.903 303.003
  19 0.4625 108.044 302.303
  20 0.4875 125.625 301.862
  21 0.5125 126.375 301.321
  22 0.5375 108.041 301.79
  23 0.5625 143.915 299.089
  24 0.5875 108.044 299.884
  25 0.6125 125.918 299.414
  26 0.6375 126.082 298.882
  27 0.6625 108.037 298.623
  28 0.6875 143.927 299.196
  29 0.7125 108.037 299.355
  30 0.7375 126.06 297.1
  31 0.7625 125.94 295.677
  32 0.7875 108.024 294.23
  33 0.8125 143.953 296.279
  34 0.8375 108.022 292.627
  35 0.8625 125.992 294.08
  36 0.8875 126.008 292.333
  37 0.9125 108.004 291.254
  38 0.9375 143.996 281.716
  39 0.9625 108 280.27
  40 0.9875 0 0
1200000 40 4644
  1 0.0125 0 0
  2 0.0375 108.002 320.134
  3 0.0625 143.991 319.129
  4 0.0875 108.007 311.289
  5 0.1125 125.457 308.85
  6 0.1375 126.543 308.695
  7 0.1625 108.028 307.562
  8 0.1875 143.927 306.935
  9 0.2125 108.045 307.471
  10 0.2375 125.233 305.098
  11 0.2625 126.767 305.056
  12 0.2875 108.058 303.595
  13 0.3125 143.875 302.351
  14 0.3375 108.067 302.456
  15 0.3625 125.751 301.971
  16 0.3875 126.249 301.366
  17 0.4125 108.081 303.094
  18 0.4375 143.853 300.647
  19 0.4625 108.067 300.089
  20 0.4875 125.773 299.978
  21 0.5125 126.227 298.943
  22 0.5375 108.055 299.675
  23 0.5625 143.868 298.139
  24 0.5875 108.077 299.547
  25 0.6125 125.731 298.633
  26 0.6375 126.269 298.342
  27 0.6625 108.061 295.408
  28 0.6875 143.873 294.89
  29 0.7125 108.067 294.401
  30 0.7375 126.236 296.134
  31 0.7625 125.764 294.509
  32 0.7875 108.028 295.536
  33 0.8125 143.939 295.564
  34 0.8375 108.033 292.74
  35 0.8625 126.266 292.94
  36 0.8875 125.734 292.622
  37 0.9125 108.004 290.635
  38 0.9375 143.994 281.279
  39 0.9625 108.001 280.417
  40 0.9875 0 0
1600000 40 4644.000000000001
  1 0.0125 0 0
  2 0.0375 108.004 319.023
  3 0.0625 143.987 317.816
  4 0.0875 108.01 309.328
  5 0.1125 125.344 309.1
  6 0.1375 126.656 308.544
  7 0.1625 108.028 307.073
  8 0.1875 143.933 304.558
  9 0.2125 108.04 302.616
  10 0.2375 125.54 304.875
  11 0.2625 126.46 305.047
  12 0.2875 108.038 307.028
  13 0.3125 143.9 302.474
  14 0.3375 108.061 300.792
  15 0.3625 125.966 302.518
  16 0.3875 126.034 303.129
  17 0.4125 108.055 304.335
  18 0.4375 143.892 303.049
  19 0.4625 108.053 300.171
  20 0.4875 125.796 301.095
  21 0.5125 126.204 300.08
  22 0.5375 108.056 301.248
  23 0.5625 143.871 299.366
  24 0.5875 108.073 297.78
  25 0.6125 125.505 296.97
  26 0.6375 126.495 297.273
  27 0.6625 108.039 297.438
  28 0.6875 143.904 297.736
  29 0.7125 108.057 297.718
  30 0.7375 125.746 297.153
  31 0.7625 126.254 294.948
  32 0.7875 108.028 295.251
  33 0.8125 143.939 294.387
  34 0.8375 108.033 293.158
  35 0.8625 126.154 294.808
  36 0.8875 125.846 293.262
  37 0.9125 108.002 290.625
  38 0.9375 143.998 282.012
  39 0.9625 108 281.856
  40 0.9875 0 0
2000000 40 4644
  1 0.0125 0 0
  2 0.0375 108.002 319.119
  3 0.0625 143.99 318.526
  4 0.0875 108.007 310.927
  5 0.1125 125.284 307.817
  6 0.1375 126.716 306.658
  7 0.1625 108.058 303.826
  8 0.1875 143.874 304.257
  9 0.2125 108.068 304.547
  10 0.2375 125.336 305.118
  11 0.2625 126.664 306.322
  12 0.2875 108.135 305.51
  13 0.3125 143.687 304.537
  14 0.3375 108.178 305.448
  15 0.3625 125.309 303.268
  16 0.3875 126.691 303.657
  17 0.4125 108.228 303.88
  18 0.4375 143.525 302.959
  19 0.4625 108.246 302.324
  20 0.4875 125.68 300.948
  21 0.5125 126.32 301.349
  22 0.5375 108.219 299.475
  23 0.5625 143.586 300.537
  24 0.5875 108.195 303.448
  25 0.6125 125.838 299.954
  26 0.6375 126.162 300.122
  27 0.6625 108.121 298.803
  28 0.6875 143.757 298.431
  29 0.7125 108.122 299.49
  30 0.7375 125.935 296.003
  31 0.7625 126.065 295.752
  32 0.7875 108.059 297.608
  33 0.8125 143.879 295.038
  34 0.8375 108.062 293.088
  35 0.8625 126.434 291.584
  36 0.8875 125.566 291.659
  37 0.9125 108.005 291.229
  38 0.9375 143.994 282.109
  39 0.9625 108.001 281.276
  40 0.9875 0 0
2400000 40 4644
  1 0.0125 0 0
  2 0.0375 108.002 318.859
  3 0.0625 143.987 318.11
  4 0.0875 108.011 309.176
  5 0.1125 125.477 306.685
  6 0.1375 126.523 306.512
  7 0.1625 108.053 306.084
  8 0.1875 143.857 305.358
  9 0.2125 108.09 306.567
  10 0.2375 125.584 306.022
  11 0.2625 126.416 303.77
  12 0.2875 108.129 305.751
  13 0.3125 143.678 303.48
  14 0.3375 108.193 303.636
  15 0.3625 125.608 304.55
  16 0.3875 126.392 303.267
  17 0.4125 108.21 301.47
  18 0.4375 143.532 303.48
  19 0.4625 108.258 303.457
  20 0.4875 125.811 301.609
  21 0.5125 126.189 299.182
  22 0.5375 108.236 301.433
  23 0.5625 143.519 299.531
  24 0.5875 108.245 300.695
  25 0.6125 125.815 300.602
  26 0.6375 126.185 299.235
  27 0.6625 108.183 297.776
  28 0.6875 143.657 297.619
  29 0.7125 108.159 295.397
  30 0.7375 125.897 296.238
  31 0.7625 126.103 297.454
  32 0.7875 108.079 297.09
  33 0.8125 143.858 295.469
  34 0.8375 108.064 296.272
  35 0.8625 126.109 294.699
  36 0.8875 125.891 292.483
  37 0.9125 108.005 291.859
  38 0.9375 143.994 282.519
  39 0.9625 108.001 280.505
  40 0.9875 0 0
2800000 40 4644
  1 0.0125 0 0
  2 0.0375 108.002 320.434
  3 0.0625 143.982 316.744
  4 0.0875 108.016 308.874
  5 0.1125 125.213 307.02
  6 0.1375 126.787 308.962
  7 0.1625 108.05 307.352
  8 0.1875 143.899 304.737
  9 0.2125 108.051 304.41
  10 0.2375 125.471 302.038
  11 0.2625 126.529 302.903
  12 0.2875 108.07 302.766
  13 0.3125 143.833 300.787
  14 0.3375 108.097 300.672
  15 0.3625 125.469 300.901
  16 0.3875 126.531 299.343
  17 0.4125 108.1 298.009
  18 0.4375 143.785 296.444
