t_ps,E_hot_eV,E_cold_eV
0.0,0.0,0.0
10.0,-3.23740516736901,4.8165149192932
20.0,-8.88319953105119,8.40253700520381
30.0,-14.0916848544446,11.008286662085
40.0,-16.397632836443,15.0358124224086
50.0,-19.6347806776302,17.4500860569149
60.0,-22.1979733854759,20.2799523726386
70.0,-24.1264390491661,22.8502724980123
80.0,-26.4138187665943,27.399075268791
90.0,-29.5826924677465,27.4663125218771
100.0,-31.2558466742239,29.0623058883311
110.0,-30.3874478246292,35.3522755174846
120.0,-33.4565288391462,37.083003795969
130.0,-35.7375578999727,39.7008552025444
140.0,-38.8544521587531,41.4293569093327
150.0,-41.1261134533491,40.5105059172192
160.0,-44.3575834665815,43.2835254696431
170.0,-46.2324780701104,47.6546421470958
180.0,-47.7064238357914,49.4005064969257
190.0,-49.0816410990197,53.0104037244579
200.0,-51.5376998162564,56.1629988597865
210.0,-56.6097934322678,57.0966444908718
220.0,-56.3926558981518,59.9834282435943
230.0,-59.9046594508889,61.5107409787221
240.0,-63.7170116245266,62.3834810461654
250.0,-66.8106517530838,65.5879166108591
260.0,-68.5324926638243,69.4851752908176
270.0,-69.2247796101019,72.6197827139817
280.0,-76.4042456085317,74.4349658818106
290.0,-76.10023720162,76.2495059768052
300.0,-78.4488265264914,77.4348981680194
310.0,-79.922781748749,79.4636702786046
320.0,-83.3059879366062,81.6755464836829
330.0,-87.7359634770092,86.9378703278017
340.0,-88.8381762505342,91.7992849768685
350.0,-92.143810643261,93.8942637761067
360.0,-94.3976515372275,99.3403821477313
370.0,-96.3456894105253,101.351327960229
380.0,-97.4233490011026,102.225584665407
390.0,-102.68018484954,103.284575750598
400.0,-105.566538649147,106.36850535526
410.0,-107.272862710992,109.44094517113
420.0,-108.926858864943,107.908970456864
430.0,-111.924439259415,111.269769047105
440.0,-114.038642390651,115.2295718994
450.0,-116.813183419205,116.195363584698
460.0,-121.806790164635,117.029663515731
470.0,-124.958448433764,121.712215657495
480.0,-126.856835063667,123.045535515417
490.0,-126.694532962354,126.846635164132
500.0,-132.045907668494,129.181907872298
510.0,-134.946361265118,130.2721108023
520.0,-136.049705299383,131.178626800982
530.0,-138.09943558135,135.960376285887
540.0,-137.357739667857,140.317241124248
550.0,-142.696692150095,142.782414147512
560.0,-144.386001735847,145.278417248601
570.0,-143.419220388496,146.822855269687
580.0,-145.521475878429,146.50307511108
590.0,-147.949619975101,149.552543495866
600.0,-153.092456985018,149.354904333335
610.0,-151.447839957948,154.304772075991
620.0,-154.247867237982,160.438965997789
630.0,-156.360820802527,160.598848671153
640.0,-161.113119964031,160.236551059193
650.0,-162.692361090897,159.718584572629
660.0,-165.214568374741,165.214212236633
670.0,-166.016902576729,168.935738332978
680.0,-170.739671490019,169.962572218535
690.0,-172.419501895161,171.149447855039
700.0,-173.510190556619,174.132757830783
710.0,-176.709962096203,175.352268950801
720.0,-180.277664499095,179.263167956786
730.0,-179.861801115859,179.494492431886
740.0,-183.84627199537,182.673420310577
750.0,-182.457738394497,184.317674911442
760.0,-188.436470896964,185.888473736043
770.0,-190.049299996719,190.064980995768
780.0,-193.646123220615,195.082691157473
790.0,-196.949258068731,197.867715735714
800.0,-200.376050178227,198.416741252487
810.0,-202.714884053883,200.927551472549
820.0,-207.004863683809,203.275555689484
830.0,-208.889811811143,203.89925241217
840.0,-210.039410594371,207.871372107601
850.0,-210.579785191094,209.315891861155
860.0,-210.3979999762,210.829363749859
870.0,-211.95670819407,210.869658150919
880.0,-213.255498728581,213.584979042638
890.0,-215.087280932552,216.38272360459
900.0,-219.565113219772,217.274888508086
910.0,-220.878877467554,218.626773409458
920.0,-224.235853905351,220.897077827349
930.0,-226.285406534056,223.87337492337
940.0,-229.276100183039,227.000884146509
950.0,-230.381610505004,226.251126310839
960.0,-233.82166290825,230.355052218795
970.0,-236.121190325393,232.340282452195
980.0,-238.231447181946,235.586645702709
990.0,-242.915725713837,239.692080208049
1000.0,-245.00843714425,243.748821148512
1010.0,-247.298085338342,244.926890847567
1020.0,-248.955846511962,249.307357542423
1030.0,-251.850281367412,250.970977788605
1040.0,-254.839147353104,255.115361900106
1050.0,-258.134959279095,258.80056107968
1060.0,-256.33045666981,260.818069820957
1070.0,-256.396013721145,261.47650684738
1080.0,-259.355497132272,263.572143532512
1090.0,-261.88311611215,264.404612962398
1100.0,-265.434856460418,267.686711179367
1110.0,-269.046513679965,270.340862176445
1120.0,-271.185036625786,272.578164655339
1130.0,-276.719664787176,276.677159179121
1140.0,-279.936863499207,280.493460250851
1150.0,-281.654066343733,283.114447933423
1160.0,-282.599340987934,286.189658164529
1170.0,-286.681195005542,290.284872634884
1180.0,-290.017324952892,290.934262604762
1190.0,-293.668411877404,293.606792599538
1200.0,-296.145727472444,295.707252788516
1210.0,-300.015809388328,299.950569562215
1220.0,-300.168634457138,304.013192247034
1230.0,-302.376540550509,304.832226487216
1240.0,-306.448599668762,305.648458688125
1250.0,-305.834826108203,307.12837954394
1260.0,-310.838723096901,308.805919322776
1270.0,-312.690056524657,309.126057835951
1280.0,-316.563798844301,312.883795904664
1290.0,-318.012458210834,315.154442745751
1300.0,-319.567672706002,317.564840960241
1310.0,-320.302218134132,319.646414695972
1320.0,-324.870559303387,321.966529197072
1330.0,-328.735352395403,323.643112381127
1340.0,-330.870768199867,327.195033985002
1350.0,-330.807830655832,328.139384461977
1360.0,-331.314483522666,330.724477863969
1370.0,-332.811379392706,331.285798247963
1380.0,-336.603349736632,333.062907833703
1390.0,-337.767387623562,336.802744575731
1400.0,-336.977735489424,336.039446021366
1410.0,-341.363457116695,339.751713826177
1420.0,-343.172376887296,340.383802059696
1430.0,-345.750210439702,342.971191113025
1440.0,-349.297393960257,344.343250695691
1450.0,-351.496936270168,345.766891256179
1460.0,-355.466686122514,350.646156397048
1470.0,-357.595483729174,352.006809843365
1480.0,-356.927361272988,355.117530159399
1490.0,-360.632730517048,358.374289710951
1500.0,-358.989570572973,360.582322754042
1510.0,-362.480833903129,363.236442142092
1520.0,-366.176439650891,366.369806345413
1530.0,-367.174316914373,367.585343949701
1540.0,-370.253997254887,368.671711062209
1550.0,-371.893828552549,373.260583325795
1560.0,-377.062035994642,374.24863627697
1570.0,-379.156934472466,377.877681173784
1580.0,-380.961710435217,380.436812861702
1590.0,-384.251938589452,382.224995323918
1600.0,-387.244754471822,385.188121917336
1610.0,-390.053709385489,386.859635840134
1620.0,-393.2960057267,389.301729825027
1630.0,-399.722682493208,391.384355169663
1640.0,-401.160818175514,396.934179565763
1650.0,-402.084149476189,400.388758853086
1660.0,-405.98595953197,402.079172522671
1670.0,-407.365383545886,402.259781726965
1680.0,-408.62936487189,405.071480029364
1690.0,-411.308440815814,409.206341348171
1700.0,-416.151089214152,412.466997092252
1710.0,-416.659812751381,415.311031364722
1720.0,-417.816159850358,418.58802115429
1730.0,-420.401909872895,421.337863112115
1740.0,-423.878424649871,424.390643242767
1750.0,-425.65695334492,425.761540798443
1760.0,-429.131066118749,427.639047294035
1770.0,-433.736831471233,429.477549823544
1780.0,-435.655547532378,433.520321329855
1790.0,-437.370986473055,436.90356163516
1800.0,-442.337958036705,439.587513801237
1810.0,-443.024353356984,443.25956515795
1820.0,-446.352401445531,445.507387831935
1830.0,-449.060607277303,444.086030136421
1840.0,-451.103440102197,447.500362592681
1850.0,-455.337776650459,450.030567133967
1860.0,-456.876333201293,454.035446650152
1870.0,-458.66350087633,457.170458772599
1880.0,-460.595713103132,458.092836688719
1890.0,-462.196786244728,460.456114140418
1900.0,-467.189571179753,460.280162159675
1910.0,-471.961173058185,464.578789082721
1920.0,-473.902984416177,468.464458063624
1930.0,-475.826016236999,470.17292401688
1940.0,-476.094660802311,473.553995943076
1950.0,-477.522505967013,474.755510733115
1960.0,-478.680347777691,479.445898642306
1970.0,-480.780779723318,479.458359256723
1980.0,-484.247576786617,480.76586134607
1990.0,-485.286323713639,484.108962186754
2000.0,-489.770760887957,487.86430629635
