# Chunk-averaged data for fix fp and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_tatom
400000 40 3040.0000000000005
  1 0.0125 0 0
  2 0.0375 89.319 319.618
  3 0.0625 70.774 319.935
  4 0.0875 88.224 312.677
  5 0.1125 71.8575 309.454
  6 0.1375 87.9825 308.644
  7 0.1625 72.1175 308.152
  8 0.1875 88.234 305.083
  9 0.2125 71.818 303.53
  10 0.2375 88.0175 304.128
  11 0.2625 72.074 303.51
  12 0.2875 88.1615 304.209
  13 0.3125 71.778 301.503
  14 0.3375 88.1785 303.725
  15 0.3625 71.917 301.327
  16 0.3875 88.034 300.023
  17 0.4125 72.095 301.24
  18 0.4375 88.1015 299.008
  19 0.4625 71.8225 298.514
  20 0.4875 87.958 295.804
  21 0.5125 72.0285 295.965
  22 0.5375 88.263 294.444
  23 0.5625 71.662 295.704
  24 0.5875 88.2635 296.288
  25 0.6125 72.0385 295.935
  26 0.6375 87.9125 296.826
  27 0.6625 71.7115 298.495
  28 0.6875 88.6235 294.528
  29 0.7125 71.55 292.306
  30 0.7375 88.2635 292.778
  31 0.7625 71.5425 294.807
  32 0.7875 89.0775 292.92
  33 0.8125 70.8375 292.13
  34 0.8375 88.907 290.712
  35 0.8625 71.032 290.186
  36 0.8875 89.038 290.251
  37 0.9125 70.8775 286.65
  38 0.9375 90.3145 281.069
  39 0.9625 69.593 278.678
  40 0.9875 0 0
800000 40 3040
  1 0.0125 0 0
  2 0.0375 90.6825 319.184
  3 0.0625 69.5315 319.395
  4 0.0875 87.964 311.355
  5 0.1125 72.1685 306.574
  6 0.1375 88.2155 305.753
  7 0.1625 71.9255 305.503
  8 0.1875 88.092 305.938
  9 0.2125 72.0295 305.887
  10 0.2375 87.17 302.948
  11 0.2625 72.9805 304.238
  12 0.2875 87.9875 303.997
  13 0.3125 72.222 301.81
  14 0.3375 87.0165 301.576
  15 0.3625 72.711 299.515
  16 0.3875 88.0115 299.151
  17 0.4125 72.1435 297.689
  18 0.4375 87.183 297.914
  19 0.4625 72.929 295.511
  20 0.4875 88.0385 297.435
  21 0.5125 71.819 298.163
  22 0.5375 87.757 298.452
  23 0.5625 72.2025 295.708
  24 0.5875 88.206 296.593
  25 0.6125 71.91 293.363
  26 0.6375 87.9555 293.375
  27 0.6625 71.788 293.87
  28 0.6875 88.167 293.284
  29 0.7125 71.739 292.118
  30 0.7375 88.442 294.963
  31 0.7625 71.409 290.705
  32 0.7875 88.617 292.268
  33 0.8125 71.2685 291.185
  34 0.8375 88.7745 291.002
  35 0.8625 71.1095 290.645
  36 0.8875 88.475 289.203
  37 0.9125 71.3905 286.881
  38 0.9375 90.462 280.634
  39 0.9625 69.506 279.278
  40 0.9875 0 0
1200000 40 3040.0000000000005
  1 0.0125 0 0
  2 0.0375 89.7085 320.637
  3 0.0625 70.4095 318.791
  4 0.0875 88.1505 309.719
  5 0.1125 71.9065 307.653
  6 0.1375 88.352 307.871
  7 0.1625 71.7385 308.248
  8 0.1875 87.998 306.666
  9 0.2125 72.1725 305.52
  10 0.2375 87.528 304.327
  11 0.2625 72.6715 303.487
  12 0.2875 87.608 300.294
  13 0.3125 72.504 302.085
  14 0.3375 87.176 303.246
  15 0.3625 72.708 301.974
  16 0.3875 87.7405 299.845
  17 0.4125 72.5805 301.424
  18 0.4375 86.9675 300.346
  19 0.4625 72.8715 300.307
  20 0.4875 87.819 297.053
  21 0.5125 72.296 296.13
  22 0.5375 87.39 296.035
  23 0.5625 72.389 300.879
  24 0.5875 88.116 301.887
  25 0.6125 71.988 300.669
  26 0.6375 87.5895 300.673
  27 0.6625 72.2835 299.122
  28 0.6875 88.223 298.193
  29 0.7125 71.5705 298.44
  30 0.7375 88.158 298.48
  31 0.7625 71.7465 298.414
  32 0.7875 88.404 294.966
  33 0.8125 71.4815 293.632
  34 0.8375 88.889 295.486
  35 0.8625 71.0215 292.769
  36 0.8875 88.195 288.533
  37 0.9125 71.683 286.073
  38 0.9375 90.561 281.145
  39 0.9625 69.4045 279.129
  40 0.9875 0 0
1600000 40 3040.0000000000005
  1 0.0125 0 0
  2 0.0375 88.858 320.362
