timestep,chunk,coord,ncount,temperature
400000,1,0.0125,0.0,
400000,2,0.0375,0.0,
400000,3,0.0625,0.0,
400000,4,0.0875,0.0,
400000,5,0.1125,70.431,320.849
400000,6,0.1375,24.7345,320.458
400000,7,0.1625,84.8285,320.027
400000,8,0.1875,44.7485,319.025
400000,9,0.2125,45.258,321.49
400000,10,0.2375,69.635,320.267
400000,11,0.2625,26.6335,318.089
400000,12,0.2875,83.714,319.589
400000,13,0.3125,44.546,316.323
400000,14,0.3375,45.4715,309.571
400000,15,0.3625,69.2815,304.426
400000,16,0.3875,27.0145,303.725
400000,17,0.4125,83.6975,303.565
400000,18,0.4375,44.571,303.49
400000,19,0.4625,45.435,302.669
400000,20,0.4875,70.393,301.888
400000,21,0.5125,26.5315,303.015
400000,22,0.5375,83.0625,301.598
400000,23,0.5625,44.525,300.735
400000,24,0.5875,45.488,300.143
400000,25,0.6125,69.641,297.988
400000,26,0.6375,26.595,296.993
400000,27,0.6625,83.756,292.624
400000,28,0.6875,44.68,285.573
400000,29,0.7125,45.328,281.16
400000,30,0.7375,70.1945,280.755
400000,31,0.7625,25.573,281.293
400000,32,0.7875,84.2325,279.677
400000,33,0.8125,44.888,279.107
400000,34,0.8375,45.112,279.331
400000,35,0.8625,78.728,280.863
400000,36,0.8875,11.272,280.014
400000,37,0.9125,0.0,
400000,38,0.9375,0.0,
400000,39,0.9625,0.0,
400000,40,0.9875,0.0,
800000,1,0.0125,0.0,
800000,2,0.0375,0.0,
800000,3,0.0625,0.0,
800000,4,0.0875,0.0,
800000,5,0.1125,70.097,320.288
800000,6,0.1375,24.609,319.009
800000,7,0.1625,85.292,319.285
800000,8,0.1875,44.7445,320.853
800000,9,0.2125,45.2575,317.953
800000,10,0.2375,69.8455,319.883
800000,11,0.2625,26.787,319.748
800000,12,0.2875,83.3485,318.042
800000,13,0.3125,44.437,315.953
800000,14,0.3375,45.5825,310.242
800000,15,0.3625,68.6765,304.489
800000,16,0.3875,27.426,304.509
800000,17,0.4125,83.8845,301.215
800000,18,0.4375,44.5815,302.652
800000,19,0.4625,45.431,300.884
800000,20,0.4875,70.214,300.295
800000,21,0.5125,26.6905,301.105
800000,22,0.5375,83.071,300.694
800000,23,0.5625,44.466,297.819
800000,24,0.5875,45.559,297.639
800000,25,0.6125,69.7325,297.282
800000,26,0.6375,26.5955,294.961
800000,27,0.6625,83.6665,291.629
800000,28,0.6875,44.636,282.682
800000,29,0.7125,45.369,282.815
800000,30,0.7375,69.5895,281.188
800000,31,0.7625,25.555,281.436
800000,32,0.7875,84.8545,281.379
800000,33,0.8125,44.886,279.583
800000,34,0.8375,45.115,281.235
800000,35,0.8625,78.707,279.309
800000,36,0.8875,11.293,281.094
800000,37,0.9125,0.0,
800000,38,0.9375,0.0,
800000,39,0.9625,0.0,
800000,40,0.9875,0.0,
1200000,1,0.0125,0.0,
1200000,2,0.0375,0.0,
1200000,3,0.0625,0.0,
1200000,4,0.0875,0.0,
1200000,5,0.1125,70.7885,318.696
1200000,6,0.1375,24.471,319.607
1200000,7,0.1625,84.737,319.593
1200000,8,0.1875,44.712,320.496
1200000,9,0.2125,45.2915,319.949
1200000,10,0.2375,69.21,320.508
1200000,11,0.2625,26.969,320.598
1200000,12,0.2875,83.8125,317.831
1200000,13,0.3125,44.579,315.785
1200000,14,0.3375,45.4295,307.161
1200000,15,0.3625,68.9755,302.902
1200000,16,0.3875,27.18,300.954
1200000,17,0.4125,83.8285,301.81
1200000,18,0.4375,44.536,300.33
1200000,19,0.4625,45.4805,299.532
1200000,20,0.4875,70.1805,299.169
1200000,21,0.5125,26.7385,299.326
1200000,22,0.5375,83.058,299.256
1200000,23,0.5625,44.447,298.088
1200000,24,0.5875,45.576,296.307
1200000,25,0.6125,69.0415,296.457
1200000,26,0.6375,27.022,294.017
1200000,27,0.6625,83.93,291.646
1200000,28,0.6875,44.6925,284.295
1200000,29,0.7125,45.3135,281.521
1200000,30,0.7375,70.5575,281.733
1200000,31,0.7625,25.077,279.824
1200000,32,0.7875,84.365,281.449
1200000,33,0.8125,44.871,279.482
1200000,34,0.8375,45.1295,279.07
1200000,35,0.8625,78.597,279.769
1200000,36,0.8875,11.403,279.425
1200000,37,0.9125,0.0,
1200000,38,0.9375,0.0,
1200000,39,0.9625,0.0,
1200000,40,0.9875,0.0,
1600000,1,0.0125,0.0,
1600000,2,0.0375,0.0,
1600000,3,0.0625,0.0,
1600000,4,0.0875,0.0,
1600000,5,0.1125,68.7755,320.06
1600000,6,0.1375,25.332,317.307
1600000,7,0.1625,85.888,319.861
1600000,8,0.1875,44.7445,318.715
1600000,9,0.2125,45.261,319.452
1600000,10,0.2375,69.7665,318.29
1600000,11,0.2625,26.551,319.398
1600000,12,0.2875,83.667,317.865
1600000,13,0.3125,44.3735,315.946
1600000,14,0.3375,45.6415,307.841
1600000,15,0.3625,67.554,304.69
1600000,16,0.3875,27.7035,301.063
1600000,17,0.4125,84.729,301.662
1600000,18,0.4375,44.4835,300.247
1600000,19,0.4625,45.5305,300.531
1600000,20,0.4875,68.9155,299.014
1600000,21,0.5125,27.1665,299.406
1600000,22,0.5375,83.8915,298.769
1600000,23,0.5625,44.3865,299.17
1600000,24,0.5875,45.639,298.07
1600000,25,0.6125,68.7735,296.843
1600000,26,0.6375,27.0955,296.284
