t_ps E_hot_eV E_cold_eV
0 0 0
10 -24.6222503747422 23.5660121556499
20 -43.8028025607835 39.6725489499861
30 -58.3993748456579 53.4559611555972
40 -77.715602434427 70.7149197198188
50 -90.6358919918717 86.711443847027
60 -108.909206689275 102.921689616134
70 -125.413231237598 121.198309062055
80 -148.977659011276 141.664760781627
90 -163.607504347008 160.803703861146
100 -180.622506049129 178.169583303287
110 -193.45201543723 192.828405039808
120 -211.387348036052 211.173696216214
130 -227.985773403985 225.626164009852
140 -247.271863580121 244.345219770952
150 -255.156019701108 253.863870050976
160 -273.65026092059 266.946998388423
170 -290.946283265832 286.112317172581
180 -301.324432771445 304.513948237485
190 -319.084754409821 316.892430801402
200 -337.73269342815 335.554597241741
210 -354.186977362436 353.359984105249
220 -374.355326958281 371.245210393541
230 -390.483532349689 387.190206680451
240 -406.521694753873 402.298167827989
250 -422.907024438421 419.596762076123
260 -440.529399816489 438.986037495494
270 -457.572360033728 452.295145285104
280 -471.805261870131 472.380279485396
290 -485.292329565462 486.404462762978
300 -503.67012877991 502.57886762982
310 -521.885801774489 517.58830825818
320 -541.81080313871 537.271234403233
330 -557.483535293453 553.906344585992
340 -578.064855067968 576.204689005175
350 -596.45634194344 591.130997671708
360 -611.056142827104 612.135247614125
370 -628.249929836137 627.271718634805
380 -651.724931489923 647.71785347378
390 -662.943917043186 661.306209746662
400 -680.558521061889 680.874965148513
410 -702.182247422208 698.190665822068
420 -718.473075099267 716.174227525193
430 -733.309020194735 728.863540105316
440 -748.785938984478 745.342806938913
450 -765.897467216725 763.687949092995
460 -783.935426681951 780.956793737844
470 -798.541169313648 798.779809703309
480 -815.271997238516 814.254014512484
490 -830.811994222098 828.949288698347
500 -848.479509575335 846.702316129326
510 -867.857895352534 864.771053634395
520 -889.902683559253 883.293826118997
530 -903.462203462132 899.819081672558
540 -922.226485520751 917.284577687056
550 -938.228093111875 936.392681394153
560 -956.054844777888 953.266381355845
570 -970.773090512125 970.836878253169
