t_ps,E_hot_eV,E_cold_eV
0.0,0.0,0.0
10.0,-24.4693353741073,23.2552011568286
20.0,-54.944055459905,46.7232192179733
30.0,-77.6760097175852,77.1236682409011
40.0,-99.2330295213706,96.3701508651233
50.0,-120.278502833945,114.610069187302
60.0,-140.959347800157,135.531941648914
70.0,-163.55045021579,159.995957626628
80.0,-186.561316246496,184.889293905129
90.0,-216.474441141299,213.654588723465
100.0,-239.930187490564,235.573726893672
110.0,-257.912809405466,258.275138781962
120.0,-285.385581998648,280.68606849049
130.0,-308.083451003771,302.150491811116
140.0,-323.973522392516,321.992864951153
150.0,-348.78998053039,347.683729807318
160.0,-371.621607580687,366.020949325181
170.0,-394.518308791019,390.098953720738
180.0,-417.187785249877,411.105715821944
190.0,-437.711088426721,431.982368903657
200.0,-461.521747281871,457.083906726856
210.0,-482.937326073123,477.00620942725
220.0,-507.113328025823,499.361926301514
230.0,-530.286452914301,526.040079520853
240.0,-551.676029704985,547.791748366961
250.0,-571.597411466507,570.884934890577
260.0,-590.855592720854,587.748579084514
270.0,-613.023731964885,604.671384919824
280.0,-633.81752949516,629.333551682179
290.0,-655.1720532228,648.868145920758
300.0,-667.92566311296,670.043479452605
310.0,-694.710136948649,687.916227525282
320.0,-715.163083615318,714.959697453802
330.0,-731.265114946948,727.808484431338
340.0,-752.902005056216,745.022326770976
350.0,-776.763424983818,771.015597499316
360.0,-795.244422277165,792.836350861145
370.0,-814.596147998881,811.60138159019
380.0,-831.997324452301,832.470664149806
390.0,-858.888822234342,853.954948945698
400.0,-882.852818118033,881.445379648154
410.0,-905.155948465164,902.372847364127
420.0,-928.118030534591,922.169166420169
430.0,-950.009409376501,947.322561623993
440.0,-980.605331053026,976.656167380317
450.0,-1005.46380898165,1000.06954335704
460.0,-1029.24355215296,1026.31902951871
470.0,-1050.62364383419,1050.42107294005
480.0,-1074.6244075968,1077.97704707171
490.0,-1099.9449580596,1094.28479646301
500.0,-1120.1018796587,1119.41190506556
510.0,-1137.52703524574,1138.99633893142
520.0,-1159.81970965419,1161.08022006432
530.0,-1183.31921736617,1177.73635849354
540.0,-1202.61049006471,1201.70253426073
550.0,-1219.94207394174,1221.36592465118
560.0,-1240.69624667845,1240.85639396357
570.0,-1270.06607477086,1270.48755143458
580.0,-1293.26862718522,1295.41921908905
590.0,-1317.282835766,1313.40984531953
600.0,-1335.30524279504,1335.93487670376
610.0,-1355.12245737108,1350.86028099717
620.0,-1379.95050683911,1373.44350839048
630.0,-1396.85446614775,1401.30817539383
640.0,-1427.08807472062,1416.21648972391
650.0,-1444.57204110407,1440.19258396949
660.0,-1464.90123735458,1463.95422217962
670.0,-1487.76620438862,1486.47532855611
680.0,-1515.83852896621,1513.84256754135
690.0,-1536.4633822261,1535.29765264757
700.0,-1559.28194311038,1558.58684518703
710.0,-1581.95314623109,1583.44712610144
720.0,-1608.31738453128,1605.60774033236
730.0,-1627.41943977977,1626.71680373194
740.0,-1654.5286355752,1649.30601920309
750.0,-1667.17819028473,1666.08637190154
760.0,-1690.12898836815,1687.4103622442
770.0,-1713.88852668365,1708.54139782023
780.0,-1736.71419090736,1735.60793290663
790.0,-1766.0051106458,1760.4393605058
800.0,-1789.68131277475,1784.22175981627
810.0,-1817.62648794851,1813.16519986468
820.0,-1839.10292553971,1836.43464084858
830.0,-1870.21395318987,1864.83478111782
840.0,-1890.75516873163,1889.26284482099
850.0,-1908.77189586606,1905.81474387402
860.0,-1931.57785919439,1926.46442025162
870.0,-1952.86829653975,1952.46246807618
880.0,-1974.27242811541,1968.18562326314
890.0,-1996.27619283412,1992.37994616556
900.0,-2025.50502043268,2019.63925860871
910.0,-2046.4155247011,2037.86936879452
920.0,-2068.38117590493,2065.23923591813
930.0,-2088.48354958901,2083.35254180842
940.0,-2108.94893555831,2108.37710759076
950.0,-2129.33416821352,2121.76068712339
