timestep,chunk,coord,ncount,temperature
400000,1,0.0125,0.0,
400000,2,0.0375,0.0,
400000,3,0.0625,0.0,
400000,4,0.0875,0.0,
400000,5,0.1125,142.16,320.008
400000,6,0.1375,49.4915,319.744
400000,7,0.1625,172.342,320.051
400000,8,0.1875,90.4445,320.219
400000,9,0.2125,91.5625,319.15
400000,10,0.2375,140.53,319.336
400000,11,0.2625,53.8775,319.768
400000,12,0.2875,169.571,318.021
400000,13,0.3125,89.974,315.228
400000,14,0.3375,92.049,308.02
400000,15,0.3625,138.468,305.076
400000,16,0.3875,55.1955,302.783
400000,17,0.4125,170.3,300.981
400000,18,0.4375,90.131,299.664
400000,19,0.4625,91.9045,300.171
400000,20,0.4875,141.904,298.934
400000,21,0.5125,53.921,299.895
400000,22,0.5375,168.136,298.997
400000,23,0.5625,89.924,299.307
400000,24,0.5875,92.1155,297.476
400000,25,0.6125,139.839,296.187
400000,26,0.6375,53.999,293.88
400000,27,0.6625,170.149,289.611
400000,28,0.6875,90.288,284.39
400000,29,0.7125,91.723,282.327
400000,30,0.7375,140.494,280.971
400000,31,0.7625,51.5115,279.917
400000,32,0.7875,171.994,279.919
400000,33,0.8125,90.788,279.758
400000,34,0.8375,91.213,280.098
400000,35,0.8625,159.875,279.773
400000,36,0.8875,22.125,281.476
400000,37,0.9125,0.0,
400000,38,0.9375,0.0,
400000,39,0.9625,0.0,
400000,40,0.9875,0.0,
800000,1,0.0125,0.0,
800000,2,0.0375,0.0,
800000,3,0.0625,0.0,
800000,4,0.0875,0.0,
800000,5,0.1125,140.04,320.441
800000,6,0.1375,50.7345,320.412
800000,7,0.1625,173.222,320.508
800000,8,0.1875,90.5105,320.82
800000,9,0.2125,91.4935,320.586
800000,10,0.2375,140.871,319.847
800000,11,0.2625,53.7745,318.503
800000,12,0.2875,169.309,317.758
800000,13,0.3125,89.817,316.11
800000,14,0.3375,92.2285,308.566
800000,15,0.3625,137.371,304.959
800000,16,0.3875,55.9225,301.915
800000,17,0.4125,170.674,303.384
800000,18,0.4375,89.953,301.86
800000,19,0.4625,92.0785,303.076
800000,20,0.4875,140.365,300.805
800000,21,0.5125,54.727,301.719
800000,22,0.5375,168.873,300.309
800000,23,0.5625,89.9055,299.733
800000,24,0.5875,92.1305,296.753
800000,25,0.6125,139.675,296.579
800000,26,0.6375,54.4365,293.887
800000,27,0.6625,169.867,291.262
800000,28,0.6875,90.1645,285.258
800000,29,0.7125,91.856,280.728
800000,30,0.7375,138.263,281.332
800000,31,0.7625,52.978,279.182
800000,32,0.7875,172.758,279.774
800000,33,0.8125,90.7885,280.093
800000,34,0.8375,91.212,279.276
800000,35,0.8625,159.816,279.581
800000,36,0.8875,22.1835,278.267
800000,37,0.9125,0.0,
800000,38,0.9375,0.0,
800000,39,0.9625,0.0,
800000,40,0.9875,0.0,
1200000,1,0.0125,0.0,
1200000,2,0.0375,0.0,
1200000,3,0.0625,0.0,
1200000,4,0.0875,0.0,
1200000,5,0.1125,141.521,320.846
1200000,6,0.1375,49.7925,321.336
1200000,7,0.1625,172.679,320.186
1200000,8,0.1875,90.4535,320.425
1200000,9,0.2125,91.5545,319.369
1200000,10,0.2375,140.847,320.186
1200000,11,0.2625,53.659,319.866
1200000,12,0.2875,169.465,318.564
1200000,13,0.3125,89.9295,315.458
1200000,14,0.3375,92.0995,307.171
1200000,15,0.3625,138.679,304.54
1200000,16,0.3875,54.8695,301.575
1200000,17,0.4125,170.428,299.885
1200000,18,0.4375,90.0575,299.628
1200000,19,0.4625,91.966,298.438
1200000,20,0.4875,140.957,298.029
1200000,21,0.5125,54.169,297.29
1200000,22,0.5375,168.842,297.872
1200000,23,0.5625,90.029,297.055
1200000,24,0.5875,92.0035,295.223
1200000,25,0.6125,140.045,293.855
1200000,26,0.6375,53.943,291.416
1200000,27,0.6625,169.999,289.478
1200000,28,0.6875,90.321,283.576
1200000,29,0.7125,91.692,281.144
1200000,30,0.7375,140.892,281.342
1200000,31,0.7625,51.04,280.136
1200000,32,0.7875,172.067,280.457
1200000,33,0.8125,90.7975,280.561
1200000,34,0.8375,91.2035,279.364
1200000,35,0.8625,159.759,280.214
1200000,36,0.8875,22.241,280.534
1200000,37,0.9125,0.0,
1200000,38,0.9375,0.0,
1200000,39,0.9625,0.0,
1200000,40,0.9875,0.0,
1600000,1,0.0125,0.0,
1600000,2,0.0375,0.0,
1600000,3,0.0625,0.0,
1600000,4,0.0875,0.0,
1600000,5,0.1125,142.313,320.882
1600000,6,0.1375,49.234,321.525
1600000,7,0.1625,172.448,319.348
1600000,8,0.1875,90.4775,319.874
1600000,9,0.2125,91.527,318.988
1600000,10,0.2375,140.395,319.268
1600000,11,0.2625,53.5855,319.214
1600000,12,0.2875,169.99,317.974
1600000,13,0.3125,89.9035,316.38
1600000,14,0.3375,92.125,308.153
1600000,15,0.3625,138.212,304.298
1600000,16,0.3875,55.2715,302.792
1600000,17,0.4125,170.489,301.477
1600000,18,0.4375,90.0975,300.735
1600000,19,0.4625,91.93,300.678
1600000,20,0.4875,141.126,299.735
1600000,21,0.5125,54.2815,300.882
1600000,22,0.5375,168.565,298.704
1600000,23,0.5625,90.04,297.551
1600000,24,0.5875,91.988,297.13
1600000,25,0.6125,139.421,296.674
1600000,26,0.6375,54.3325,295.716
1600000,27,0.6625,170.233,291.984
