# Chunk-averaged data for fix fp and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_tatom
400000 40 3458.0000000000005
  1 0.0125 0 0
  2 0.0375 0 0
  3 0.0625 0 0
  4 0.0875 0 0
  5 0.1125 142.16 320.008
  6 0.1375 49.4915 319.744
  7 0.1625 172.342 320.051
  8 0.1875 90.4445 320.219
  9 0.2125 91.5625 319.15
  10 0.2375 140.53 319.336
  11 0.2625 53.8775 319.768
  12 0.2875 169.571 318.021
  13 0.3125 89.974 315.228
  14 0.3375 92.049 308.02
  15 0.3625 138.468 305.076
  16 0.3875 55.1955 302.783
  17 0.4125 170.3 300.981
  18 0.4375 90.131 299.664
  19 0.4625 91.9045 300.171
  20 0.4875 141.904 298.934
  21 0.5125 53.921 299.895
  22 0.5375 168.136 298.997
  23 0.5625 89.924 299.307
  24 0.5875 92.1155 297.476
  25 0.6125 139.839 296.187
  26 0.6375 53.999 293.88
  27 0.6625 170.149 289.611
  28 0.6875 90.288 284.39
  29 0.7125 91.723 282.327
  30 0.7375 140.494 280.971
  31 0.7625 51.5115 279.917
  32 0.7875 171.994 279.919
  33 0.8125 90.788 279.758
  34 0.8375 91.213 280.098
  35 0.8625 159.875 279.773
  36 0.8875 22.125 281.476
  37 0.9125 0 0
  38 0.9375 0 0
  39 0.9625 0 0
  40 0.9875 0 0
800000 40 3458
  1 0.0125 0 0
  2 0.0375 0 0
  3 0.0625 0 0
  4 0.0875 0 0
  5 0.1125 140.04 320.441
  6 0.1375 50.7345 320.412
  7 0.1625 173.222 320.508
  8 0.1875 90.5105 320.82
  9 0.2125 91.4935 320.586
  10 0.2375 140.871 319.847
  11 0.2625 53.7745 318.503
  12 0.2875 169.309 317.758
  13 0.3125 89.817 316.11
  14 0.3375 92.2285 308.566
  15 0.3625 137.371 304.959
  16 0.3875 55.9225 301.915
  17 0.4125 170.674 303.384
  18 0.4375 89.953 301.86
  19 0.4625 92.0785 303.076
  20 0.4875 140.365 300.805
  21 0.5125 54.727 301.719
  22 0.5375 168.873 300.309
  23 0.5625 89.9055 299.733
  24 0.5875 92.1305 296.753
  25 0.6125 139.675 296.579
  26 0.6375 54.4365 293.887
  27 0.6625 169.867 291.262
  28 0.6875 90.1645 285.258
  29 0.7125 91.856 280.728
  30 0.7375 138.263 281.332
  31 0.7625 52.978 279.182
  32 0.7875 172.758 279.774
  33 0.8125 90.7885 280.093
  34 0.8375 91.212 279.276
  35 0.8625 159.816 279.581
  36 0.8875 22.1835 278.267
  37 0.9125 0 0
  38 0.9375 0 0
  39 0.9625 0 0
  40 0.9875 0 0
1200000 40 3458.0000000000005
  1 0.0125 0 0
  2 0.0375 0 0
  3 0.0625 0 0
  4 0.0875 0 0
  5 0.1125 141.521 320.846
  6 0.1375 49.7925 321.336
  7 0.1625 172.679 320.186
  8 0.1875 90.4535 320.425
  9 0.2125 91.5545 319.369
  10 0.2375 140.847 320.186
  11 0.2625 53.659 319.866
  12 0.2875 169.465 318.564
  13 0.3125 89.9295 315.458
  14 0.3375 92.0995 307.171
  15 0.3625 138.679 304.54
  16 0.3875 54.8695 301.575
  17 0.4125 170.428 299.885
  18 0.4375 90.0575 299.628
  19 0.4625 91.966 298.438
  20 0.4875 140.957 298.029
  21 0.5125 54.169 297.29
  22 0.5375 168.842 297.872
  23 0.5625 90.029 297.055
  24 0.5875 92.0035 295.223
  25 0.6125 140.045 293.855
  26 0.6375 53.943 291.416
  27 0.6625 169.999 289.478
  28 0.6875 90.321 283.576
  29 0.7125 91.692 281.144
  30 0.7375 140.892 281.342
  31 0.7625 51.04 280.136
  32 0.7875 172.067 280.457
  33 0.8125 90.7975 280.561
  34 0.8375 91.2035 279.364
  35 0.8625 159.759 280.214
  36 0.8875 22.241 280.534
  37 0.9125 0 0
  38 0.9375 0 0
  39 0.9625 0 0
  40 0.9875 0 0
1600000 40 3458.0000000000005
  1 0.0125 0 0
  2 0.0375 0 0
  3 0.0625 0 0
  4 0.0875 0 0
  5 0.1125 142.313 320.882
  6 0.1375 49.234 321.525
  7 0.1625 172.448 319.348
  8 0.1875 90.4775 319.874
  9 0.2125 91.527 318.988
  10 0.2375 140.395 319.268
  11 0.2625 53.5855 319.214
  12 0.2875 169.99 317.974
  13 0.3125 89.9035 316.38
  14 0.3375 92.125 308.153
  15 0.3625 138.212 304.298
  16 0.3875 55.2715 302.792
  17 0.4125 170.489 301.477
  18 0.4375 90.0975 300.735
  19 0.4625 91.93 300.678
  20 0.4875 141.126 299.735
  21 0.5125 54.2815 300.882
  22 0.5375 168.565 298.704
  23 0.5625 90.04 297.551
  24 0.5875 91.988 297.13
  25 0.6125 139.421 296.674
  26 0.6375 54.3325 295.716
  27 0.6625 170.233 291.984
  28 0.6875 90.314 284.167
  29 0.7125 91.699 281.398
  30 0.7375 140.249 280.756
  31 0.7625 51.798 281.588
  32 0.7875 171.952 279.756
  33 0.8125 90.754 278.586
  34 0.8375 91.248 280.418
  35 0.8625 159.62 279.197
  36 0.8875 22.38 279.489
  37 0.9125 0 0
  38 0.9375 0 0
  39 0.9625 0 0
  40 0.9875 0 0
