run_index,run_id,material,status,potential,structure,configuration,seed,start_time,end_time,duration_sec,exit_code,avg_gpu_usage_pct,avg_cpu_usage_pct,avg_gpu_temp_c,avg_cpu_temp_c,avg_ram_usage_pct
1,[ABORTED]-RUN-0001-20260829000053,BlackPhosphorus,ABORTED_EARLY,bp.sw,bp_ac_W16_L33.data,in.bp_armchair,1,2026-08-29T00:00:53,2026-08-29T09:17:24,33390.73,ABORTED_EARLY,,0.0,,47.6,84.1
2,RUN-0002-20260829091724,BlackPhosphorus,OK,bp.sw,bp_ac_W16_L33.data,in.bp_armchair,2,2026-08-29T09:17:24,2026-08-29T09:37:25,1201.18,0,,25.24,,54.33,84.89
3,RUN-0003-20260829093725,BlackPhosphorus,OK,bp.sw,bp_ac_W16_L50.data,in.bp_armchair,1,2026-08-29T09:37:25,2026-08-29T10:06:59,1774.27,0,,24.59,,58.07,84.27
4,[ABORTED]-RUN-0004-20260829100659,BlackPhosphorus,ABORTED_EARLY,bp.sw,bp_ac_W16_L50.data,in.bp_armchair,2,2026-08-29T10:06:59,2026-08-29T10:07:03,4.02,ABORTED_EARLY,,100.0,,56.27,84.9
5,[ABORTED]-RUN-0005-20260829100703,BlackPhosphorus,ABORTED_EARLY,bp.sw,bp_ac_W16_L66.data,in.bp_armchair,1,2026-08-29T10:07:03,2026-08-29T10:20:08,784.13,ABORTED_EARLY,,23.12,,58.05,86.61
6,[ABORTED]-RUN-0006-20260829102008,BlackPhosphorus,ABORTED_EARLY,bp.sw,bp_ac_W16_L66.data,in.bp_armchair,2,2026-08-29T10:20:08,2026-08-29T10:20:12,4.02,ABORTED_EARLY,,0.0,,57.33,90.3
7,[ABORTED]-RUN-0007-20260829102012,BlackPhosphorus,ABORTED_EARLY,bp.sw,bp_ac_W24_L50.data,in.bp_armchair,1,2026-08-29T10:20:12,2026-08-29T10:20:16,4.02,ABORTED_EARLY,,0.0,,57.73,90.9
8,[ABORTED]-RUN-0008-20260829102016,BlackPhosphorus,ABORTED_EARLY,bp.sw,bp_ac_W24_L50.data,in.bp_armchair,2,2026-08-29T10:20:16,2026-08-29T10:20:20,4.02,ABORTED_EARLY,,0.0,,57.8,90.6
9,[ABORTED]-RUN-0009-20260829102020,BlackPhosphorus,ABORTED_EARLY,bp.sw,bp_ac_W8_L50.data,in.bp_armchair,1,2026-08-29T10:20:20,2026-08-29T10:20:24,4.02,ABORTED_EARLY,,0.0,,57.73,90.1
10,[ABORTED]-RUN-0010-20260829102024,BlackPhosphorus,ABORTED_EARLY,bp.sw,bp_ac_W8_L50.data,in.bp_armchair,2,2026-08-29T10:20:24,2026-08-29T10:20:28,4.02,ABORTED_EARLY,,0.0,,57.67,90.3
11,RUN-0011-20260829102028,BlackPhosphorus,OK,bp.sw,bp_zz_W12_L45.data,in.bp_armchair,1,2026-08-29T10:20:28,2026-08-29T10:38:07,1059.14,0,,20.52,,58.01,81.96
12,RUN-0012-20260829103807,BlackPhosphorus,OK,bp.sw,bp_zz_W12_L45.data,in.bp_armchair,2,2026-08-29T10:38:07,2026-08-29T10:58:24,1217.19,0,,22.56,,58.58,82.4
13,RUN-0013-20260829105824,BlackPhosphorus,OK,bp.sw,bp_zz_W12_L68.data,in.bp_armchair,1,2026-08-29T10:58:24,2026-08-29T11:24:10,1546.23,0,,20.1,,57.75,81.55
14,[ABORTED]-RUN-0014-20260829112410,BlackPhosphorus,ABORTED_EARLY,bp.sw,bp_zz_W12_L68.data,in.bp_armchair,2,2026-08-29T11:24:10,2026-08-29T14:31:40,11249.82,ABORTED_EARLY,,21.44,,56.97,80.04
