t_ps E_hot_eV E_cold_eV
0 0 0
10 -5.73077013303622 4.52092275131118
20 -6.89176304591858 7.5990217436141
30 -6.82456695756926 8.64335304581904
40 -8.06786955341427 11.1919037998218
50 -12.1461821152656 15.0467490575662
60 -15.2364979799089 17.7974541879889
70 -17.5751537570658 18.4672287398662
80 -18.4546499510101 22.1726395434046
90 -21.533372709664 24.5137512227267
100 -24.3265965209825 25.6539977448589
110 -28.3713095060474 27.5407317417621
120 -29.6388229512086 30.3979961126301
130 -33.164094708942 32.051259857482
140 -35.1346293138733 35.3621089052653
150 -36.8614423657124 38.0627217234071
160 -37.8646740620383 40.0786852125618
170 -39.4754675386357 41.5218172477966
180 -44.0746307160404 43.4323886095895
190 -45.5259497577512 48.3513125040508
200 -48.6927769332917 51.137606430735
210 -51.4698992170968 54.0987466494652
220 -55.4934217569449 56.1329440437385
230 -58.3294273044582 58.0075848552516
240 -64.1778479674034 61.8099430257938
250 -67.372551706685 66.4273662131822
260 -68.5540227599278 66.5348778362371
270 -68.5072750300019 69.9407919568047
280 -71.5100469033114 73.2441035134429
290 -72.4019371037157 77.8757437730177
300 -77.2674041740566 80.5526866593494
310 -79.0177772696861 83.117523291944
320 -82.7306319230644 83.7847955784121
330 -85.8845684581646 90.1220724625478
340 -87.3706722720279 91.9164920363105
350 -93.4487462144892 93.5124211745837
360 -94.5694317651423 97.667490305227
370 -97.4116639572173 98.0987109700568
380 -98.7212136736756 100.390837763071
390 -100.75895618188 102.501809549523
400 -103.780841534213 103.867631053245
410 -107.74251573445 108.303472509701
420 -110.878052654349 112.149574381269
430 -112.673827274781 114.132963284445
440 -114.48933493232 116.320084541221
450 -115.377207285918 119.993725450378
460 -118.052741108002 123.233399148694
470 -119.150498992739 121.993951655496
480 -123.744220592648 124.352926870751
490 -124.229373847495 126.092676517844
500 -127.635006487689 125.602113944924
510 -130.060161812955 131.266969464101
520 -132.937242826322 135.140135351458
530 -139.362171678038 138.123718400714
540 -140.305941949779 142.359908293651
550 -144.374739034132 144.7031688742
560 -145.116245431356 148.495581068972
570 -149.13660519704 152.39264548105
580 -150.791710056883 153.982387928842
590 -151.879167831336 154.620147444872
600 -152.943589001592 154.729934282096
610 -157.394428464683 158.087459421988
620 -158.787262973576 164.029442954501
630 -163.996930148145 165.078610699278
640 -167.316437391537 170.054339447759
650 -172.007717813588 172.108532122884
660 -172.587123514051 176.276710024115
670 -177.204610349491 180.503499683703
680 -182.910227629209 184.407670953446
690 -183.405439272529 186.014848505865
700 -186.386776459819 188.19159462124
710 -189.476811179878 191.544982572579
720 -193.245478929082 193.160928972596
730 -194.360537844614 196.273272264684
740 -199.048025156386 199.591246097053
750 -199.767319452478 201.739089144757
760 -201.252555119592 204.207626494577
770 -203.231458213359 206.300797178722
780 -205.320434796144 208.603735508699
790 -209.260256806277 213.492772215407
800 -214.193695435711 215.549888368472
810 -217.886051678562 219.831694108049
820 -223.091316595036 222.063805716227
830 -226.50562318201 226.830201050853
840 -229.633355316365 229.062818332155
850 -233.36734680729 231.750159216679
860 -233.789683876908 235.443140332676
870 -234.049700780449 236.020482061144
880 -239.022343201132 240.124686717863
890 -240.957691133964 242.133008084997
900 -245.396689052613 244.737924556049
910 -246.605238145919 249.529580321379
920 -248.339390620489 250.598985930871
930 -253.812992421461 255.52502178925
940 -255.180287449535 257.613102290824
950 -258.539881269817 260.249821839983
960 -260.840559840285 265.414787073474
970 -263.493744030052 266.55069125182
980 -266.114806218915 270.862627792577
990 -272.455378963999 272.554073886535
1000 -274.554371863289 279.289511392845
1010 -277.80523667887 283.497223002635
1020 -282.040922088499 285.114230100016
1030 -287.495980515214 286.65801985657
1040 -288.558307306745 289.774739029723
1050 -295.929150998606 292.797608671189
1060 -296.901364943954 295.321315466504
1070 -298.356241632298 298.154765699162
1080 -299.524266816289 301.415479205159
1090 -301.618648179313 302.339047899952
1100 -305.804769933013 304.087647853458
1110 -306.901738443421 308.254145108549
1120 -306.83874472074 308.271013922092
1130 -311.103818857311 313.460666024299
1140 -312.591465768217 314.431726918547
1150 -315.055119882219 318.025066746008
1160 -317.047268711128 320.835918818001
1170 -319.738204992492 326.470835195282
1180 -321.862776038059 327.337683927892
1190 -326.470065920267 331.385228449243
1200 -331.011323945684 332.517852035413
1210 -335.206915907043 336.346463845092
1220 -335.051349366976 336.315423793292
1230 -338.473056027683 338.490992621487
1240 -339.773389295766 340.904749335882
1250 -342.678809197536 342.267771865025
1260 -347.794184109974 346.450536097818
1270 -350.051098703685 348.629697848326
1280 -353.568098027148 353.02733298898
1290 -357.169535839757 354.649186456824
1300 -359.499641786505 357.233924572447
1310 -360.783946828411 362.188292939379
1320 -364.02800788566 366.648238048768
1330 -366.92246440922 369.576068771059
1340 -372.763990963175 372.399275885139
1350 -375.815404340039 373.824437792007
1360 -380.107459023302 379.758966520942
1370 -381.585567551101 381.632630087355
1380 -384.927395631791 385.693991736681
1390 -386.155049908388 388.203995236189
1400 -389.337232168813 390.1717757935
1410 -393.188050455825 393.305112185879
1420 -394.731624955945 396.239757534923
1430 -396.790593704519 395.590450290388
1440 -398.344203733858 397.813404846662
1450 -401.564478852476 399.812126122321
1460 -404.934437415914 402.916052775939
1470 -404.913688717907 405.114570635324
1480 -411.37131937242 408.582213830908
1490 -414.569870347843 412.270657582256
1500 -417.358048391341 417.12266485829
1510 -419.81671602981 422.505351468816
1520 -423.670910773926 425.072237236456
1530 -424.335009817468 427.530955240154
1540 -427.048713284389 428.586028545632
1550 -427.819801771544 430.676134181882
1560 -431.081700594714 431.875221635867
1570 -435.815322998564 434.903388063997
1580 -437.46195817034 438.156841751897
1590 -440.545657650924 441.530076728093
1600 -442.574076428946 444.861487373169
1610 -445.063186367761 450.192440976113
1620 -447.684624035754 452.035523829745
1630 -450.648834875683 453.730573486185
1640 -450.940445476437 455.96063276254
1650 -453.103243840717 457.915512733517
1660 -456.151163084709 458.806785223525
1670 -456.738107501401 456.86099691627
1680 -461.429941184373 461.429586089786
1690 -465.821410051285 464.619616839827
1700 -469.144929937901 468.038207603223
1710 -471.896662388747 472.32551662469
1720 -475.270928476386 475.757705624374
1730 -476.48139289543 478.783366264377
1740 -481.06437952816 484.088537538123
1750 -485.973632313086 487.753382991007
1760 -489.639956894443 490.406864180508
1770 -490.766642873439 492.463510205478
1780 -491.643872048397 494.762517263762
1790 -497.074675469988 497.793390979699
1800 -499.915121295385 500.09218262912
1810 -503.539205979777 505.260027913789
1820 -506.7771260004 506.974336977818
1830 -508.340140803711 511.360508487601
1840 -510.278376323233 512.05134165441
1850 -515.394373240352 516.624955279682
1860 -514.194456496443 516.223292572173
1870 -516.864787601745 520.542947307141
1880 -521.820179780931 521.590287235267
1890 -522.917884051755 523.211729504324
1900 -524.981458798367 530.940574828617
1910 -527.846121074371 530.084203064015
1920 -529.951733138964 530.594431785903
1930 -530.738823631967 534.444871785816
1940 -536.361472330387 536.599363563135
1950 -538.08590987744 540.627003536267
1960 -541.622811217033 540.93782383577
1970 -544.282480415059 547.650874498298
1980 -548.027837818052 550.12484108035
1990 -550.007798145255 553.229591540705
2000 -551.469153716444 555.946934011745
