t_ps,E_hot_eV,E_cold_eV
0.0,0.0,0.0
10.0,-13.6683074640017,15.4607111115284
20.0,-34.1411412489396,30.408752115179
30.0,-47.642140577352,43.1352537235251
40.0,-57.9267452692573,57.3906559512208
50.0,-67.8352927535166,65.3195392868371
60.0,-80.6603448336318,77.9087862160082
70.0,-92.918927598703,89.7638516814959
80.0,-106.942754672973,100.791853018344
90.0,-116.309027033676,110.524173370345
100.0,-126.180241343047,120.662793805885
110.0,-131.977816701997,129.639031298377
120.0,-141.977416792762,138.775853163359
130.0,-151.728507294468,151.787805052135
140.0,-161.963499176,157.763264364733
150.0,-177.188130254746,174.467517632511
160.0,-191.653448618793,187.900707030125
170.0,-201.548648467676,200.266843153363
180.0,-212.863774912253,211.408909216744
190.0,-229.383462786695,223.257465342599
200.0,-243.553020225841,240.683222658325
210.0,-252.469931604125,247.85739287126
220.0,-264.069311649644,260.017489732717
230.0,-275.903573822726,272.561454778178
240.0,-288.612104213557,285.42781052823
250.0,-300.348914905708,296.705452390594
260.0,-314.583479881765,309.951304507132
270.0,-326.209686910903,321.976836151788
280.0,-334.460280106549,332.610142140254
290.0,-346.644121705633,342.416592661655
300.0,-360.52906213712,355.587247913084
310.0,-363.1573209604,363.244146121172
320.0,-373.986300786827,372.531506713751
330.0,-385.049305347742,381.893256403594
340.0,-392.7629395468,391.884657482027
350.0,-406.561364210471,403.160640292531
360.0,-415.726353653369,415.671445746589
370.0,-431.615913669622,428.235819452096
380.0,-441.19144357896,440.318164507758
390.0,-449.46654416679,448.523453374256
400.0,-463.646995484133,460.770361885658
410.0,-472.274257285324,469.241365882031
420.0,-481.636436839891,479.395989159657
430.0,-494.66776578021,492.706636938163
440.0,-505.561649095051,502.80736378521
450.0,-517.683906593324,515.151010792513
460.0,-527.251811604,525.418966416628
470.0,-540.548990640552,536.408559382058
480.0,-550.825411726632,550.58196407211
490.0,-561.798710473951,562.649875459131
500.0,-578.340606206402,574.320684923116
510.0,-595.424664095331,591.256352058378
520.0,-607.612418425172,604.54344068784
530.0,-618.18997817202,615.517428495596
540.0,-629.438126615249,630.527011773851
550.0,-639.397870123989,638.385500985323
560.0,-653.514272758437,652.834316790115
570.0,-660.718893911267,663.081568189829
580.0,-674.86835066444,669.948528043029
590.0,-684.551618483457,683.351784471723
600.0,-696.981300322005,694.777058644838
610.0,-704.817959467735,701.338660710479
620.0,-722.680823000412,715.889948161276
630.0,-730.174125630308,729.573459452736
640.0,-741.159439324022,741.514887461423
650.0,-754.177208233762,751.471370949452
660.0,-762.568175095345,757.652101209236
670.0,-772.739529622663,770.097567368251
680.0,-783.823694961028,780.142405823895
690.0,-794.217062501322,792.389010040936
700.0,-805.801574636729,800.956435206265
710.0,-816.779698152056,811.723011382019
720.0,-828.581244388226,826.852972488894
730.0,-835.626317690127,835.498389824062
740.0,-842.674905498964,844.127403983327
750.0,-853.066426406238,853.70316527226
760.0,-864.422012303727,860.271594736475
770.0,-871.874565336924,867.833296465147
780.0,-882.125614117722,878.002169674018
790.0,-892.883976632276,887.999966714336
800.0,-903.109490918494,900.420648311033
810.0,-910.456886715228,910.407661317516
820.0,-918.779218754731,917.737287949746
830.0,-929.751103987905,927.521881049201
840.0,-938.460127888732,940.481882789566
850.0,-952.025056412442,950.121467612154
860.0,-966.372793422397,962.850802281537
870.0,-973.289490744513,972.656758834042
880.0,-986.763563523876,982.716478248504
890.0,-998.152410348037,994.865283600814
900.0,-1006.32614625464,1004.55511083242
910.0,-1015.01861508443,1012.11262769917
920.0,-1025.17973663997,1022.40557190471
930.0,-1034.70729926087,1034.10425320861
940.0,-1050.20600074173,1043.5012717485
950.0,-1061.04348084272,1058.17656094277
960.0,-1070.33855512585,1067.27752257942
970.0,-1080.34519288051,1078.84870829179
980.0,-1092.87729787329,1091.94731757288
990.0,-1106.53825556234,1101.95340067053
1000.0,-1116.6264392416,1114.02271669318
1010.0,-1130.89542191051,1128.95165815541
1020.0,-1140.61739079784,1140.98120198873
1030.0,-1155.82299576237,1153.0872237065
1040.0,-1172.86205307375,1164.53599819689
1050.0,-1178.3580799915,1178.36173251459
1060.0,-1192.84173328568,1192.76519950621
1070.0,-1206.43624990628,1203.65882526366
1080.0,-1218.58756079886,1213.90549465174
1090.0,-1224.76975429149,1224.15370865733
1100.0,-1238.95304811921,1237.38417493248
1110.0,-1250.60389321221,1247.30942447943
1120.0,-1258.9354176757,1250.74772255397
1130.0,-1263.97690028161,1261.60089401762
1140.0,-1270.17664677375,1269.51829939298
1150.0,-1278.53076565414,1275.58418278762
1160.0,-1290.72850664196,1287.93560892522
1170.0,-1304.18256371439,1300.42625615129
1180.0,-1317.56081946099,1315.47038861002
1190.0,-1329.22387922731,1327.3406013628
1200.0,-1344.26695014742,1341.15635846807
1210.0,-1354.85519652957,1352.43538424094
1220.0,-1363.4777175098,1359.35098191792
1230.0,-1374.10726513021,1371.93216815288
1240.0,-1386.05493842029,1381.57059560757
1250.0,-1393.58571665338,1393.29520190671
1260.0,-1409.24159669655,1407.38124869375
1270.0,-1422.91083010195,1419.2898184113
1280.0,-1431.96545848057,1431.47270073219
1290.0,-1441.66861650062,1438.11140653722
1300.0,-1454.47630093423,1451.1659892922
1310.0,-1464.77451221957,1462.10489578038
1320.0,-1476.79228556923,1474.87954343149
1330.0,-1487.85475359373,1483.8696835598
1340.0,-1499.421473718,1496.93312082243
1350.0,-1509.8356077095,1508.58971501474
1360.0,-1520.96308858323,1518.62127666303
1370.0,-1534.11181641068,1529.53833718641
1380.0,-1544.73329823616,1544.06880505078
1390.0,-1555.6460646007,1553.00520927699
1400.0,-1568.94400330168,1565.39031107459
1410.0,-1574.73662887374,1573.23327247434
1420.0,-1585.59364099054,1582.09074179125
1430.0,-1598.07910235844,1594.06309196576
1440.0,-1610.92872213169,1607.16404195514
1450.0,-1618.79467943752,1616.75408462395
1460.0,-1630.499376369,1626.27505196789
1470.0,-1636.27322571412,1635.84931058089
1480.0,-1646.28498007852,1644.76011071672
1490.0,-1659.99996166767,1655.47684452609
1500.0,-1672.1250230251,1668.6600828514
1510.0,-1683.59765918689,1676.325426179
1520.0,-1688.56345278734,1688.37862707829
1530.0,-1700.70103446644,1700.26231720294
1540.0,-1716.18030937402,1714.01476762873
1550.0,-1729.34981710494,1724.91657568954
1560.0,-1739.75402033324,1737.91604596726
1570.0,-1752.69936883853,1748.00182759301
1580.0,-1762.44046345931,1758.98628450103
1590.0,-1772.89259049967,1769.66120555428
1600.0,-1780.45122645488,1777.30770365696
1610.0,-1792.45906641511,1789.72746391078
1620.0,-1801.88742522707,1797.3655315297
1630.0,-1813.3154598357,1807.54812492178
1640.0,-1823.75301991513,1821.81668277996
1650.0,-1834.2439250891,1828.55179739779
1660.0,-1842.07908969273,1843.19324787651
1670.0,-1858.0218336577,1855.46286894462
1680.0,-1865.24739249533,1863.93833067081
1690.0,-1877.27452589334,1874.97832841794
1700.0,-1889.1798621602,1889.7786575138
1710.0,-1900.49366691242,1895.8283358146
1720.0,-1912.42041441165,1908.27983113833
1730.0,-1923.81747608619,1920.667269441
1740.0,-1938.72321130663,1936.88501445379
1750.0,-1946.81400607201,1944.81682653003
1760.0,-1958.52566607899,1955.97794020959
1770.0,-1968.98394398523,1967.26985821445
1780.0,-1986.1667668387,1983.42965278471
1790.0,-2002.25532112758,1999.05753989743
1800.0,-2017.37052210108,2012.60787721076
1810.0,-2027.84280928108,2025.15381997738
1820.0,-2038.16755086593,2035.0177439896
1830.0,-2044.1601943392,2044.11021363977
1840.0,-2055.13156784004,2052.49406083666
1850.0,-2066.30875945068,2063.93386550873
1860.0,-2077.4291719314,2075.04082216562
1870.0,-2089.231789285,2083.02303609425
1880.0,-2097.11887915002,2094.8885648245
1890.0,-2109.66015051628,2107.72843228345
1900.0,-2120.88974897618,2120.30453408363
1910.0,-2136.5839237098,2129.08093172652
1920.0,-2143.23624776325,2142.43066372069
1930.0,-2151.18708340347,2147.83029283488
1940.0,-2168.3712207914,2163.11663921069
1950.0,-2176.85194643332,2175.39929291876
1960.0,-2190.38227168967,2187.40487165056
1970.0,-2205.45173915684,2203.7929034486
1980.0,-2216.3270972595,2216.07899066336
1990.0,-2227.46809752533,2224.61656050119
2000.0,-2234.52458604039,2235.62993335371
