# Chunk-averaged data for fix fp and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_tatom
400000 40 1710.0000000000007
  1 0.0125 0 0
  2 0.0375 0 0
  3 0.0625 0 0
  4 0.0875 0 0
  5 0.1125 70.431 320.849
  6 0.1375 24.7345 320.458
  7 0.1625 84.8285 320.027
  8 0.1875 44.7485 319.025
  9 0.2125 45.258 321.49
  10 0.2375 69.635 320.267
  11 0.2625 26.6335 318.089
  12 0.2875 83.714 319.589
  13 0.3125 44.546 316.323
  14 0.3375 45.4715 309.571
  15 0.3625 69.2815 304.426
  16 0.3875 27.0145 303.725
  17 0.4125 83.6975 303.565
  18 0.4375 44.571 303.49
  19 0.4625 45.435 302.669
  20 0.4875 70.393 301.888
  21 0.5125 26.5315 303.015
  22 0.5375 83.0625 301.598
  23 0.5625 44.525 300.735
  24 0.5875 45.488 300.143
  25 0.6125 69.641 297.988
  26 0.6375 26.595 296.993
  27 0.6625 83.756 292.624
  28 0.6875 44.68 285.573
  29 0.7125 45.328 281.16
  30 0.7375 70.1945 280.755
  31 0.7625 25.573 281.293
  32 0.7875 84.2325 279.677
  33 0.8125 44.888 279.107
  34 0.8375 45.112 279.331
  35 0.8625 78.728 280.863
  36 0.8875 11.272 280.014
  37 0.9125 0 0
  38 0.9375 0 0
  39 0.9625 0 0
  40 0.9875 0 0
800000 40 1709.9999999999998
  1 0.0125 0 0
  2 0.0375 0 0
  3 0.0625 0 0
  4 0.0875 0 0
  5 0.1125 70.097 320.288
  6 0.1375 24.609 319.009
  7 0.1625 85.292 319.285
  8 0.1875 44.7445 320.853
  9 0.2125 45.2575 317.953
  10 0.2375 69.8455 319.883
  11 0.2625 26.787 319.748
  12 0.2875 83.3485 318.042
  13 0.3125 44.437 315.953
  14 0.3375 45.5825 310.242
  15 0.3625 68.6765 304.489
  16 0.3875 27.426 304.509
  17 0.4125 83.8845 301.215
  18 0.4375 44.5815 302.652
  19 0.4625 45.431 300.884
  20 0.4875 70.214 300.295
  21 0.5125 26.6905 301.105
  22 0.5375 83.071 300.694
  23 0.5625 44.466 297.819
  24 0.5875 45.559 297.639
  25 0.6125 69.7325 297.282
  26 0.6375 26.5955 294.961
  27 0.6625 83.6665 291.629
  28 0.6875 44.636 282.682
  29 0.7125 45.369 282.815
  30 0.7375 69.5895 281.188
  31 0.7625 25.555 281.436
  32 0.7875 84.8545 281.379
  33 0.8125 44.886 279.583
  34 0.8375 45.115 281.235
  35 0.8625 78.707 279.309
  36 0.8875 11.293 281.094
  37 0.9125 0 0
  38 0.9375 0 0
  39 0.9625 0 0
  40 0.9875 0 0
1200000 40 1710.0000000000005
  1 0.0125 0 0
  2 0.0375 0 0
  3 0.0625 0 0
  4 0.0875 0 0
  5 0.1125 70.7885 318.696
  6 0.1375 24.471 319.607
  7 0.1625 84.737 319.593
  8 0.1875 44.712 320.496
  9 0.2125 45.2915 319.949
  10 0.2375 69.21 320.508
  11 0.2625 26.969 320.598
  12 0.2875 83.8125 317.831
  13 0.3125 44.579 315.785
  14 0.3375 45.4295 307.161
  15 0.3625 68.9755 302.902
  16 0.3875 27.18 300.954
  17 0.4125 83.8285 301.81
  18 0.4375 44.536 300.33
  19 0.4625 45.4805 299.532
  20 0.4875 70.1805 299.169
  21 0.5125 26.7385 299.326
  22 0.5375 83.058 299.256
  23 0.5625 44.447 298.088
  24 0.5875 45.576 296.307
  25 0.6125 69.0415 296.457
  26 0.6375 27.022 294.017
  27 0.6625 83.93 291.646
  28 0.6875 44.6925 284.295
  29 0.7125 45.3135 281.521
  30 0.7375 70.5575 281.733
  31 0.7625 25.077 279.824
  32 0.7875 84.365 281.449
  33 0.8125 44.871 279.482
  34 0.8375 45.1295 279.07
  35 0.8625 78.597 279.769
  36 0.8875 11.403 279.425
  37 0.9125 0 0
  38 0.9375 0 0
  39 0.9625 0 0
  40 0.9875 0 0
1600000 40 1709.9999999999998
  1 0.0125 0 0
  2 0.0375 0 0
  3 0.0625 0 0
  4 0.0875 0 0
  5 0.1125 68.7755 320.06
  6 0.1375 25.332 317.307
  7 0.1625 85.888 319.861
  8 0.1875 44.7445 318.715
  9 0.2125 45.261 319.452
  10 0.2375 69.7665 318.29
  11 0.2625 26.551 319.398
  12 0.2875 83.667 317.865
  13 0.3125 44.3735 315.946
  14 0.3375 45.6415 307.841
  15 0.3625 67.554 304.69
  16 0.3875 27.7035 301.063
  17 0.4125 84.729 301.662
  18 0.4375 44.4835 300.247
  19 0.4625 45.5305 300.531
  20 0.4875 68.9155 299.014
  21 0.5125 27.1665 299.406
  22 0.5375 83.8915 298.769
  23 0.5625 44.3865 299.17
  24 0.5875 45.639 298.07
  25 0.6125 68.7735 296.843
  26 0.6375 27.0955 296.284
  27 0.6625 84.124 291.768
  28 0.6875 44.5525 284.127
  29 0.7125 45.455 281.115
  30 0.7375 67.954 281.218
  31 0.7625 26.4635 281.197
  32 0.7875 85.5805 281.192
  33 0.8125 44.905 280.272
  34 0.8375 45.0965 280.234
  35 0.8625 78.652 278.841
  36 0.8875 11.348 279.593
  37 0.9125 0 0
  38 0.9375 0 0
  39 0.9625 0 0
  40 0.9875 0 0
2000000 40 1709.9999999999995
  1 0.0125 0 0
  2 0.0375 0 0
  3 0.0625 0 0
  4 0.0875 0 0
  5 0.1125 68.915 321.205
  6 0.1375 25.231 318.515
  7 0.1625 85.853 319.711
  8 0.1875 44.7585 321.153
  9 0.2125 45.2425 320.138
  10 0.2375 69.4965 318.836
  11 0.2625 26.722 318.438
  12 0.2875 83.762 317.57
  13 0.3125 44.3565 314.858
  14 0.3375 45.6635 308.081
  15 0.3625 67.917 304.573
  16 0.3875 27.7185 302.369
  17 0.4125 84.3485 300.098
  18 0.4375 44.505 298.041
  19 0.4625 45.5105 297.832
  20 0.4875 68.808 299.742
  21 0.5125 27.447 297.001
  22 0.5375 83.73 298.742
  23 0.5625 44.499 299.253
  24 0.5875 45.5165 297.564
  25 0.6125 69.3025 295.095
  26 0.6375 26.6595 295.32
  27 0.6625 84.0225 291.698
  28 0.6875 44.5925 283.956
  29 0.7125 45.4225 281.667
  30 0.7375 68.893 281.552
  31 0.7625 25.934 278.512
  32 0.7875 85.172 280.563
  33 0.8125 44.875 279.253
  34 0.8375 45.126 280.563
  35 0.8625 78.524 279.655
  36 0.8875 11.476 279.509
  37 0.9125 0 0
  38 0.9375 0 0
  39 0.9625 0 0
  40 0.9875 0 0
2400000 40 1710
  1 0.0125 0 0
  2 0.0375 0 0
  3 0.0625 0 0
  4 0.0875 0 0
  5 0.1125 71.087 318.588
  6 0.1375 24.3385 320.029
  7 0.1625 84.571 320.579
  8 0.1875 44.744 320.332
  9 0.2125 45.26 320.251
  10 0.2375 69.2185 319.784
  11 0.2625 26.6915 320.17
  12 0.2875 84.078 317.248
  13 0.3125 44.533 316.673
  14 0.3375 45.4785 308.634
  15 0.3625 68.855 306.718
  16 0.3875 27.149 302.519
  17 0.4125 83.9825 301.681
  18 0.4375 44.592 303.175
