t_ps,E_hot_eV,E_cold_eV
0.0,0.0,0.0
10.0,-6.04729672413216,3.83383049316709
20.0,-7.0421288392397,6.93331470474035
30.0,-10.5086260108534,8.89180016438177
40.0,-7.77353809937071,12.0217378061262
50.0,-10.3558259949172,12.8099577599027
60.0,-12.9651002669531,15.2991897511358
70.0,-15.2639701034325,17.5537955710023
80.0,-18.7985979885384,20.1936472579611
90.0,-21.7417713806824,21.9489071703358
100.0,-22.507672030706,24.2895886077633
110.0,-23.6378275036293,26.9877175521029
120.0,-26.1646076024071,29.795961440275
130.0,-27.0868730263252,32.3584884461054
140.0,-31.1307027649788,33.0529819059254
150.0,-35.0617354200115,34.9037987441342
160.0,-40.9247069934042,37.3517481244078
170.0,-41.5327239078214,43.3930896621827
180.0,-42.9824309180573,43.0354505087548
190.0,-43.4825091723506,46.5020490062966
200.0,-46.3272420222777,49.3724205470299
210.0,-47.0628009506686,50.8708722421751
220.0,-47.4321595087717,52.6694392540647
230.0,-48.7562643139736,57.6318038715416
240.0,-52.8558299573174,59.1759771518868
250.0,-55.8772234500038,62.25301929849
260.0,-59.2066295303855,63.7504288531159
270.0,-58.0080009022317,65.0239356194718
280.0,-60.8051933278879,68.2850473649716
290.0,-67.7345656977681,69.009875106064
300.0,-71.7472662471642,72.1476261506649
310.0,-68.9531038570565,74.4088126616619
320.0,-73.6475803619495,76.7523630671532
330.0,-74.3564580388221,78.2688531483696
340.0,-77.0988756540136,79.7243261031192
350.0,-78.478680806251,81.7320086828978
360.0,-79.4467858001317,83.0535979867548
370.0,-78.9471034861785,86.0776769035039
380.0,-82.0631060049893,85.9038653092538
390.0,-85.6786900972186,87.4919902196208
400.0,-89.0301153074913,90.8017763865517
410.0,-90.8117481320946,91.5993364807313
420.0,-91.5866435816675,93.6943394027785
430.0,-94.5298593933884,96.6602904342018
440.0,-100.160097123944,97.8319716065367
450.0,-103.246195644425,100.886486738476
460.0,-102.95015198736,103.963568278271
470.0,-105.84839682153,107.910439431886
480.0,-108.656989817283,110.723063794532
490.0,-111.019107922503,110.381750271893
500.0,-113.475847526572,114.936045623054
510.0,-117.120062924605,117.488205548688
520.0,-120.456272471027,120.523594161968
530.0,-120.626164854627,123.288511569793
540.0,-120.819953160959,124.444261570632
550.0,-124.87372027213,127.932379927285
560.0,-124.763817829842,130.259699303146
