# Chunk-averaged data for fix fp and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_tatom
400000 40 4063.999999999999
  1 0.0125 32 317.358
  2 0.0375 98.2235 320.09
  3 0.0625 111.554 314.706
  4 0.0875 110.154 310.738
  5 0.1125 96.576 311.434
  6 0.1375 110.743 309.151
  7 0.1625 110.589 306.7
  8 0.1875 98.1905 309.157
  9 0.2125 104.781 306.679
  10 0.2375 110.531 306.338
  11 0.2625 104.646 304.218
  12 0.2875 99.4825 303.122
  13 0.3125 111.024 303.8
  14 0.3375 109.242 303.11
  15 0.3625 96.874 300.234
  16 0.3875 109.907 297.142
  17 0.4125 110.781 297.469
  18 0.4375 98.9075 299.86
  19 0.4625 105.395 296.828
  20 0.4875 110.406 295.197
  21 0.5125 103.991 296.403
  22 0.5375 99.921 294.758
  23 0.5625 111.008 294.644
  24 0.5875 108.884 292.455
  25 0.6125 97.047 290.915
  26 0.6375 110.273 292.684
  27 0.6625 110.882 294.015
  28 0.6875 98.086 293.392
  29 0.7125 106.88 290.543
  30 0.7375 110.41 292.857
  31 0.7625 102.609 294.661
  32 0.7875 99.7015 292.117
  33 0.8125 110.686 290.319
  34 0.8375 109.508 289.887
  35 0.8625 96.4065 291.836
  36 0.8875 111.22 292.233
  37 0.9125 111.523 289.505
  38 0.9375 96.9555 285.743
  39 0.9625 107.462 280.163
  40 0.9875 20.537 281.834
800000 40 4063.9999999999995
  1 0.0125 32 318.321
  2 0.0375 97.553 320.719
  3 0.0625 111.721 311.576
  4 0.0875 110.667 304.429
  5 0.1125 96.24 303.187
  6 0.1375 110.915 303.21
  7 0.1625 111.022 303.95
  8 0.1875 97.9685 303.929
  9 0.2125 105.873 303.106
  10 0.2375 110.32 304.769
  11 0.2625 103.681 302.959
  12 0.2875 99.745 298.119
  13 0.3125 110.505 297.066
  14 0.3375 109.27 295.711
  15 0.3625 97.316 291.785
  16 0.3875 109.564 293.453
  17 0.4125 110.683 295.707
  18 0.4375 99.052 296.392
  19 0.4625 105.865 293.428
  20 0.4875 111.013 293.737
  21 0.5125 102.99 293.987
  22 0.5375 101.236 293.843
  23 0.5625 110.999 294.21
  24 0.5875 107.31 293.864
  25 0.6125 98.113 297.35
  26 0.6375 109.395 294.997
  27 0.6625 110.526 292.827
  28 0.6875 98.5125 290.135
  29 0.7125 106.456 288.178
  30 0.7375 110.689 290.334
  31 0.7625 102.797 287.739
  32 0.7875 100.484 288.034
  33 0.8125 110.632 288.662
  34 0.8375 108.838 287.082
  35 0.8625 96.439 287.999
  36 0.8875 111.16 287.226
  37 0.9125 111.442 284.795
  38 0.9375 97.0085 284.056
  39 0.9625 106.907 280.307
  40 0.9875 21.093 281.987
