timestep,chunk,coord,ncount,temperature
400000,1,0.0125,0.0,
400000,2,0.0375,0.0,
400000,3,0.0625,0.0,
400000,4,0.0875,0.0,
400000,5,0.1125,106.818,320.461
400000,6,0.1375,36.5625,319.006
400000,7,0.1625,128.612,319.925
400000,8,0.1875,67.581,319.309
400000,9,0.2125,68.427,318.915
400000,10,0.2375,104.987,319.044
400000,11,0.2625,40.188,319.635
400000,12,0.2875,126.805,318.948
400000,13,0.3125,67.215,317.151
400000,14,0.3375,68.8055,310.142
400000,15,0.3625,104.05,306.808
400000,16,0.3875,40.7655,304.37
400000,17,0.4125,127.165,302.32
400000,18,0.4375,67.312,301.69
400000,19,0.4625,68.706,301.941
400000,20,0.4875,106.252,300.23
400000,21,0.5125,39.7415,301.511
400000,22,0.5375,125.988,299.958
400000,23,0.5625,67.2585,298.652
400000,24,0.5875,68.76,300.287
400000,25,0.6125,104.515,298.726
400000,26,0.6375,40.229,297.239
400000,27,0.6625,127.245,291.832
400000,28,0.6875,67.497,285.276
400000,29,0.7125,68.514,282.472
400000,30,0.7375,106.028,280.75
400000,31,0.7625,37.838,281.359
400000,32,0.7875,128.133,280.604
400000,33,0.8125,67.8255,280.769
400000,34,0.8375,68.175,280.72
400000,35,0.8625,120.346,279.22
400000,36,0.8875,15.654,278.312
400000,37,0.9125,0.0,
400000,38,0.9375,0.0,
400000,39,0.9625,0.0,
400000,40,0.9875,0.0,
800000,1,0.0125,0.0,
800000,2,0.0375,0.0,
800000,3,0.0625,0.0,
800000,4,0.0875,0.0,
800000,5,0.1125,105.668,319.46
800000,6,0.1375,37.247,321.246
800000,7,0.1625,129.074,321.133
800000,8,0.1875,67.542,320.176
800000,9,0.2125,68.469,320.407
800000,10,0.2375,105.186,319.215
800000,11,0.2625,40.3095,317.594
800000,12,0.2875,126.475,318.997
800000,13,0.3125,67.056,314.736
800000,14,0.3375,68.976,306.941
800000,15,0.3625,103.234,304.712
800000,16,0.3875,41.4865,303.078
800000,17,0.4125,127.257,302.919
800000,18,0.4375,67.2335,301.464
800000,19,0.4625,68.7875,300.408
800000,20,0.4875,105.313,300.404
800000,21,0.5125,40.7685,299.007
800000,22,0.5375,125.895,299.328
800000,23,0.5625,67.0735,298.269
800000,24,0.5875,68.9495,297.418
800000,25,0.6125,104.18,296.954
800000,26,0.6375,40.748,294.191
800000,27,0.6625,127.052,290.414
800000,28,0.6875,67.318,286.674
800000,29,0.7125,68.7025,281.922
800000,30,0.7375,104.597,280.67
800000,31,0.7625,38.685,280.765
800000,32,0.7875,128.716,280.013
800000,33,0.8125,67.8145,280.248
800000,34,0.8375,68.187,279.667
800000,35,0.8625,120.264,280.12
800000,36,0.8875,15.736,279.351
800000,37,0.9125,0.0,
800000,38,0.9375,0.0,
800000,39,0.9625,0.0,
800000,40,0.9875,0.0,
1200000,1,0.0125,0.0,
1200000,2,0.0375,0.0,
1200000,3,0.0625,0.0,
1200000,4,0.0875,0.0,
1200000,5,0.1125,105.796,319.664
1200000,6,0.1375,37.018,319.274
1200000,7,0.1625,129.183,319.782
1200000,8,0.1875,67.6075,319.702
1200000,9,0.2125,68.3955,320.076
1200000,10,0.2375,105.415,320.355
1200000,11,0.2625,40.02,320.378
1200000,12,0.2875,126.543,318.652
1200000,13,0.3125,67.107,317.508
1200000,14,0.3375,68.915,308.669
1200000,15,0.3625,103.55,304.953
1200000,16,0.3875,41.2765,301.76
1200000,17,0.4125,127.144,300.056
1200000,18,0.4375,67.2285,299.468
1200000,19,0.4625,68.801,298.739
1200000,20,0.4875,105.762,299.254
1200000,21,0.5125,40.152,299.257
1200000,22,0.5375,126.068,299.275
1200000,23,0.5625,67.1605,299.578
1200000,24,0.5875,68.858,298.649
1200000,25,0.6125,104.882,297.239
1200000,26,0.6375,40.109,297.298
1200000,27,0.6625,126.997,291.493
1200000,28,0.6875,67.4435,284.408
1200000,29,0.7125,68.5685,281.257
1200000,30,0.7375,104.954,281.104
1200000,31,0.7625,38.586,281.023
1200000,32,0.7875,128.46,280.262
1200000,33,0.8125,67.81,279.374
1200000,34,0.8375,68.19,280.229
1200000,35,0.8625,120.503,279.664
1200000,36,0.8875,15.497,279.978
1200000,37,0.9125,0.0,
1200000,38,0.9375,0.0,
1200000,39,0.9625,0.0,
1200000,40,0.9875,0.0,
1600000,1,0.0125,0.0,
1600000,2,0.0375,0.0,
1600000,3,0.0625,0.0,
1600000,4,0.0875,0.0,
1600000,5,0.1125,105.648,320.285
1600000,6,0.1375,37.397,317.353
1600000,7,0.1625,128.951,319.439
1600000,8,0.1875,67.5965,320.402
1600000,9,0.2125,68.408,319.934
1600000,10,0.2375,105.712,319.512
1600000,11,0.2625,39.9155,316.776
1600000,12,0.2875,126.352,316.958
1600000,13,0.3125,67.11,317.145
1600000,14,0.3375,68.9115,308.738
1600000,15,0.3625,103.587,304.224
1600000,16,0.3875,41.0305,302.235
1600000,17,0.4125,127.361,302.472
1600000,18,0.4375,67.264,301.219
1600000,19,0.4625,68.7585,299.578
1600000,20,0.4875,105.525,299.796
1600000,21,0.5125,40.0875,298.092
1600000,22,0.5375,126.368,298.5
1600000,23,0.5625,67.1975,297.139
1600000,24,0.5875,68.821,298.176
1600000,25,0.6125,104.457,295.768
1600000,26,0.6375,40.2515,294.483
1600000,27,0.6625,127.285,291.512
