# Chunk-averaged data for fix fp and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_tatom
400000 40 2584
  1 0.0125 0 0
  2 0.0375 0 0
  3 0.0625 0 0
  4 0.0875 0 0
  5 0.1125 106.818 320.461
  6 0.1375 36.5625 319.006
  7 0.1625 128.612 319.925
  8 0.1875 67.581 319.309
  9 0.2125 68.427 318.915
  10 0.2375 104.987 319.044
  11 0.2625 40.188 319.635
  12 0.2875 126.805 318.948
  13 0.3125 67.215 317.151
  14 0.3375 68.8055 310.142
  15 0.3625 104.05 306.808
  16 0.3875 40.7655 304.37
  17 0.4125 127.165 302.32
  18 0.4375 67.312 301.69
  19 0.4625 68.706 301.941
  20 0.4875 106.252 300.23
  21 0.5125 39.7415 301.511
  22 0.5375 125.988 299.958
  23 0.5625 67.2585 298.652
  24 0.5875 68.76 300.287
  25 0.6125 104.515 298.726
  26 0.6375 40.229 297.239
  27 0.6625 127.245 291.832
  28 0.6875 67.497 285.276
  29 0.7125 68.514 282.472
  30 0.7375 106.028 280.75
  31 0.7625 37.838 281.359
  32 0.7875 128.133 280.604
  33 0.8125 67.8255 280.769
  34 0.8375 68.175 280.72
  35 0.8625 120.346 279.22
  36 0.8875 15.654 278.312
  37 0.9125 0 0
  38 0.9375 0 0
  39 0.9625 0 0
  40 0.9875 0 0
800000 40 2584
  1 0.0125 0 0
  2 0.0375 0 0
  3 0.0625 0 0
  4 0.0875 0 0
  5 0.1125 105.668 319.46
  6 0.1375 37.247 321.246
  7 0.1625 129.074 321.133
  8 0.1875 67.542 320.176
  9 0.2125 68.469 320.407
  10 0.2375 105.186 319.215
  11 0.2625 40.3095 317.594
  12 0.2875 126.475 318.997
  13 0.3125 67.056 314.736
  14 0.3375 68.976 306.941
  15 0.3625 103.234 304.712
  16 0.3875 41.4865 303.078
  17 0.4125 127.257 302.919
  18 0.4375 67.2335 301.464
  19 0.4625 68.7875 300.408
  20 0.4875 105.313 300.404
  21 0.5125 40.7685 299.007
  22 0.5375 125.895 299.328
  23 0.5625 67.0735 298.269
  24 0.5875 68.9495 297.418
  25 0.6125 104.18 296.954
  26 0.6375 40.748 294.191
  27 0.6625 127.052 290.414
  28 0.6875 67.318 286.674
  29 0.7125 68.7025 281.922
  30 0.7375 104.597 280.67
  31 0.7625 38.685 280.765
  32 0.7875 128.716 280.013
  33 0.8125 67.8145 280.248
  34 0.8375 68.187 279.667
  35 0.8625 120.264 280.12
  36 0.8875 15.736 279.351
  37 0.9125 0 0
  38 0.9375 0 0
  39 0.9625 0 0
  40 0.9875 0 0
1200000 40 2583.9999999999995
  1 0.0125 0 0
  2 0.0375 0 0
  3 0.0625 0 0
  4 0.0875 0 0
  5 0.1125 105.796 319.664
  6 0.1375 37.018 319.274
  7 0.1625 129.183 319.782
  8 0.1875 67.6075 319.702
  9 0.2125 68.3955 320.076
  10 0.2375 105.415 320.355
  11 0.2625 40.02 320.378
  12 0.2875 126.543 318.652
  13 0.3125 67.107 317.508
  14 0.3375 68.915 308.669
  15 0.3625 103.55 304.953
  16 0.3875 41.2765 301.76
  17 0.4125 127.144 300.056
  18 0.4375 67.2285 299.468
  19 0.4625 68.801 298.739
  20 0.4875 105.762 299.254
  21 0.5125 40.152 299.257
  22 0.5375 126.068 299.275
  23 0.5625 67.1605 299.578
  24 0.5875 68.858 298.649
  25 0.6125 104.882 297.239
  26 0.6375 40.109 297.298
  27 0.6625 126.997 291.493
  28 0.6875 67.4435 284.408
  29 0.7125 68.5685 281.257
  30 0.7375 104.954 281.104
  31 0.7625 38.586 281.023
  32 0.7875 128.46 280.262
  33 0.8125 67.81 279.374
  34 0.8375 68.19 280.229
  35 0.8625 120.503 279.664
  36 0.8875 15.497 279.978
  37 0.9125 0 0
  38 0.9375 0 0
  39 0.9625 0 0
  40 0.9875 0 0
1600000 40 2584
  1 0.0125 0 0
  2 0.0375 0 0
  3 0.0625 0 0
  4 0.0875 0 0
  5 0.1125 105.648 320.285
  6 0.1375 37.397 317.353
  7 0.1625 128.951 319.439
  8 0.1875 67.5965 320.402
  9 0.2125 68.408 319.934
  10 0.2375 105.712 319.512
  11 0.2625 39.9155 316.776
  12 0.2875 126.352 316.958
  13 0.3125 67.11 317.145
  14 0.3375 68.9115 308.738
  15 0.3625 103.587 304.224
  16 0.3875 41.0305 302.235
  17 0.4125 127.361 302.472
  18 0.4375 67.264 301.219
  19 0.4625 68.7585 299.578
  20 0.4875 105.525 299.796
  21 0.5125 40.0875 298.092
  22 0.5375 126.368 298.5
  23 0.5625 67.1975 297.139
  24 0.5875 68.821 298.176
  25 0.6125 104.457 295.768
  26 0.6375 40.2515 294.483
  27 0.6625 127.285 291.512
  28 0.6875 67.427 284.854
  29 0.7125 68.5795 281.424
  30 0.7375 104.698 280.585
  31 0.7625 38.4665 282.345
  32 0.7875 128.834 279.736
  33 0.8125 67.833 279.202
  34 0.8375 68.1675 280.811
  35 0.8625 120.258 280.548
  36 0.8875 15.742 278.87
  37 0.9125 0 0
  38 0.9375 0 0
  39 0.9625 0 0
  40 0.9875 0 0
2000000 40 2584
  1 0.0125 0 0
  2 0.0375 0 0
  3 0.0625 0 0
  4 0.0875 0 0
  5 0.1125 106.123 318.763
  6 0.1375 37.059 320.379
  7 0.1625 128.815 319.633
  8 0.1875 67.5865 318.747
  9 0.2125 68.4165 318.979
  10 0.2375 105.144 318.404
  11 0.2625 40.0915 318.433
  12 0.2875 126.748 317.447
  13 0.3125 67.1905 314.443
  14 0.3375 68.8275 307.634
  15 0.3625 103.492 304.161
  16 0.3875 41.0305 300.02
  17 0.4125 127.46 301.245
  18 0.4375 67.2975 300.682
  19 0.4625 68.7195 299.913
  20 0.4875 105.98 300.891
  21 0.5125 39.963 299.319
  22 0.5375 126.03 297.366
  23 0.5625 67.221 297.533
  24 0.5875 68.806 296.903
  25 0.6125 104.603 296.387
  26 0.6375 40.14 294.423
  27 0.6625 127.249 291.428
  28 0.6875 67.453 285.3
  29 0.7125 68.555 281.967
  30 0.7375 104.474 281.11
  31 0.7625 38.9115 281.87
  32 0.7875 128.614 280.062
  33 0.8125 67.8175 279.725
  34 0.8375 68.183 279.876
  35 0.8625 120.386 280.082
  36 0.8875 15.6135 278.496
  37 0.9125 0 0
  38 0.9375 0 0
  39 0.9625 0 0
  40 0.9875 0 0
2400000 40 2584
  1 0.0125 0 0
  2 0.0375 0 0
  3 0.0625 0 0
  4 0.0875 0 0
  5 0.1125 105.298 320.699
  6 0.1375 37.5975 320.272
  7 0.1625 129.1 319.883
  8 0.1875 67.578 320.272
  9 0.2125 68.4265 320.532
  10 0.2375 105.181 318.7
  11 0.2625 40.026 318.266
  12 0.2875 126.758 316.903
  13 0.3125 67.0045 315.946
  14 0.3375 69.0315 305.442
  15 0.3625 103.422 302.891
  16 0.3875 41.0715 302.278
  17 0.4125 127.469 303.028
  18 0.4375 67.145 301.336
  19 0.4625 68.891 300.932
  20 0.4875 104.843 300.826
  21 0.5125 40.693 298.258
  22 0.5375 126.433 299.847
