Wurtzite ZnO (type1=Zn q=+2, type2=O q=-2)

2880 atoms
2 atom types

0.0 12.998000 xlo xhi
0.0 16.884897 ylo yhi
0.0 156.207000 zlo zhi

Masses

1 65.38
2 15.9994

Atoms # charge

1 1 2.0000 0.000000 0.000000 0.000000
2 1 2.0000 1.624750 2.814150 0.000000
3 1 2.0000 1.624750 0.938050 2.603450
4 1 2.0000 0.000000 3.752199 2.603450
5 2 -2.0000 0.000000 0.000000 1.989036
6 2 -2.0000 1.624750 2.814150 1.989036
7 2 -2.0000 1.624750 0.938050 4.592486
8 2 -2.0000 0.000000 3.752199 4.592486
9 1 2.0000 0.000000 0.000000 5.206900
10 1 2.0000 1.624750 2.814150 5.206900
11 1 2.0000 1.624750 0.938050 7.810350
12 1 2.0000 0.000000 3.752199 7.810350
13 2 -2.0000 0.000000 0.000000 7.195936
14 2 -2.0000 1.624750 2.814150 7.195936
15 2 -2.0000 1.624750 0.938050 9.799386
16 2 -2.0000 0.000000 3.752199 9.799386
17 1 2.0000 0.000000 0.000000 10.413800
18 1 2.0000 1.624750 2.814150 10.413800
19 1 2.0000 1.624750 0.938050 13.017250
20 1 2.0000 0.000000 3.752199 13.017250
21 2 -2.0000 0.000000 0.000000 12.402836
22 2 -2.0000 1.624750 2.814150 12.402836
23 2 -2.0000 1.624750 0.938050 15.006286
24 2 -2.0000 0.000000 3.752199 15.006286
25 1 2.0000 0.000000 0.000000 15.620700
26 1 2.0000 1.624750 2.814150 15.620700
27 1 2.0000 1.624750 0.938050 18.224150
28 1 2.0000 0.000000 3.752199 18.224150
29 2 -2.0000 0.000000 0.000000 17.609736
30 2 -2.0000 1.624750 2.814150 17.609736
31 2 -2.0000 1.624750 0.938050 20.213186
32 2 -2.0000 0.000000 3.752199 20.213186
33 1 2.0000 0.000000 0.000000 20.827600
34 1 2.0000 1.624750 2.814150 20.827600
35 1 2.0000 1.624750 0.938050 23.431050
36 1 2.0000 0.000000 3.752199 23.431050
37 2 -2.0000 0.000000 0.000000 22.816636
38 2 -2.0000 1.624750 2.814150 22.816636
39 2 -2.0000 1.624750 0.938050 25.420086
40 2 -2.0000 0.000000 3.752199 25.420086
41 1 2.0000 0.000000 0.000000 26.034500
42 1 2.0000 1.624750 2.814150 26.034500
43 1 2.0000 1.624750 0.938050 28.637950
44 1 2.0000 0.000000 3.752199 28.637950
45 2 -2.0000 0.000000 0.000000 28.023536
46 2 -2.0000 1.624750 2.814150 28.023536
47 2 -2.0000 1.624750 0.938050 30.626986
48 2 -2.0000 0.000000 3.752199 30.626986
49 1 2.0000 0.000000 0.000000 31.241400
50 1 2.0000 1.624750 2.814150 31.241400
51 1 2.0000 1.624750 0.938050 33.844850
52 1 2.0000 0.000000 3.752199 33.844850
53 2 -2.0000 0.000000 0.000000 33.230436
54 2 -2.0000 1.624750 2.814150 33.230436
55 2 -2.0000 1.624750 0.938050 35.833886
56 2 -2.0000 0.000000 3.752199 35.833886
57 1 2.0000 0.000000 0.000000 36.448300
58 1 2.0000 1.624750 2.814150 36.448300
59 1 2.0000 1.624750 0.938050 39.051750
60 1 2.0000 0.000000 3.752199 39.051750
61 2 -2.0000 0.000000 0.000000 38.437336
62 2 -2.0000 1.624750 2.814150 38.437336
63 2 -2.0000 1.624750 0.938050 41.040786
64 2 -2.0000 0.000000 3.752199 41.040786
65 1 2.0000 0.000000 0.000000 41.655200
66 1 2.0000 1.624750 2.814150 41.655200
67 1 2.0000 1.624750 0.938050 44.258650
68 1 2.0000 0.000000 3.752199 44.258650
69 2 -2.0000 0.000000 0.000000 43.644236
70 2 -2.0000 1.624750 2.814150 43.644236
71 2 -2.0000 1.624750 0.938050 46.247686
72 2 -2.0000 0.000000 3.752199 46.247686
73 1 2.0000 0.000000 0.000000 46.862100
74 1 2.0000 1.624750 2.814150 46.862100
75 1 2.0000 1.624750 0.938050 49.465550
76 1 2.0000 0.000000 3.752199 49.465550
77 2 -2.0000 0.000000 0.000000 48.851136
78 2 -2.0000 1.624750 2.814150 48.851136
79 2 -2.0000 1.624750 0.938050 51.454586
80 2 -2.0000 0.000000 3.752199 51.454586
81 1 2.0000 0.000000 0.000000 52.069000
82 1 2.0000 1.624750 2.814150 52.069000
83 1 2.0000 1.624750 0.938050 54.672450
84 1 2.0000 0.000000 3.752199 54.672450
85 2 -2.0000 0.000000 0.000000 54.058036
86 2 -2.0000 1.624750 2.814150 54.058036
87 2 -2.0000 1.624750 0.938050 56.661486
88 2 -2.0000 0.000000 3.752199 56.661486
89 1 2.0000 0.000000 0.000000 57.275900
90 1 2.0000 1.624750 2.814150 57.275900
91 1 2.0000 1.624750 0.938050 59.879350
92 1 2.0000 0.000000 3.752199 59.879350
93 2 -2.0000 0.000000 0.000000 59.264936
94 2 -2.0000 1.624750 2.814150 59.264936
95 2 -2.0000 1.624750 0.938050 61.868386
96 2 -2.0000 0.000000 3.752199 61.868386
97 1 2.0000 0.000000 0.000000 62.482800
98 1 2.0000 1.624750 2.814150 62.482800
99 1 2.0000 1.624750 0.938050 65.086250
100 1 2.0000 0.000000 3.752199 65.086250
101 2 -2.0000 0.000000 0.000000 64.471836
