# Chunk-averaged data for fix fp and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_tatom
400000 40 1520
  1 0.0125 0 0
  2 0.0375 43.87 319.822
  3 0.0625 36.2025 318.665
  4 0.0875 44.1055 312.353
  5 0.1125 36.115 308.873
  6 0.1375 43.8365 305.997
  7 0.1625 36.218 300.248
  8 0.1875 43.6395 301.306
  9 0.2125 36.489 300.805
  10 0.2375 43.3895 302.686
  11 0.2625 36.704 301.239
  12 0.2875 43.3085 301.563
  13 0.3125 36.8345 302.519
  14 0.3375 43.0515 300.852
  15 0.3625 36.9985 300.756
  16 0.3875 43.1485 301.89
  17 0.4125 36.8925 301.945
  18 0.4375 43.1645 300.453
  19 0.4625 36.858 301.04
  20 0.4875 43.0485 301.771
  21 0.5125 36.901 300.124
  22 0.5375 43.0645 300.86
  23 0.5625 37.004 301.548
  24 0.5875 43.2015 298.628
  25 0.6125 36.696 296.627
  26 0.6375 43.392 296.053
  27 0.6625 36.483 297.479
  28 0.6875 43.523 296.774
  29 0.7125 36.436 293.23
  30 0.7375 43.4505 294.753
  31 0.7625 36.4715 296.207
  32 0.7875 43.6165 292.073
  33 0.8125 36.2175 292.387
  34 0.8375 43.855 290.475
  35 0.8625 36.0365 288.187
  36 0.8875 43.8495 287.446
  37 0.9125 35.9735 285.285
  38 0.9375 45.244 279.947
  39 0.9625 34.71 280.822
  40 0.9875 0 0
800000 40 1519.9999999999998
  1 0.0125 0 0
  2 0.0375 44.971 318.284
  3 0.0625 35.142 319.879
  4 0.0875 44.0925 311.535
  5 0.1125 35.9265 305.996
  6 0.1375 43.9025 307.06
  7 0.1625 36.388 305.642
  8 0.1875 44.1125 306.001
  9 0.2125 35.9155 302.401
  10 0.2375 43.7465 303.088
  11 0.2625 36.198 304.757
  12 0.2875 43.8595 304.744
  13 0.3125 36.2995 305.491
  14 0.3375 43.655 303.543
  15 0.3625 36.2205 301.515
  16 0.3875 43.7925 301.673
  17 0.4125 36.468 301.548
  18 0.4375 43.6035 296.935
  19 0.4625 36.3725 298.209
  20 0.4875 43.602 300.792
  21 0.5125 36.5655 301.153
  22 0.5375 43.863 297.005
  23 0.5625 36.052 293.679
  24 0.5875 43.852 293.678
  25 0.6125 36.1735 295.359
  26 0.6375 44.0445 296.688
  27 0.6625 35.9145 294.147
  28 0.6875 44.0425 298.756
  29 0.7125 35.7865 295.707
  30 0.7375 44.2275 291.642
  31 0.7625 35.762 291.727
  32 0.7875 44.163 292.307
  33 0.8125 35.712 293.904
  34 0.8375 44.29 294.868
  35 0.8625 35.492 297.177
  36 0.8875 44.9835 293.778
  37 0.9125 34.939 289.185
  38 0.9375 44.9285 280.05
  39 0.9625 34.9405 278.169
  40 0.9875 0 0
1200000 40 1519.9999999999998
  1 0.0125 0 0
  2 0.0375 45.487 320.845
  3 0.0625 34.7255 320.829
  4 0.0875 43.628 311.84
  5 0.1125 36.336 309.683
  6 0.1375 44.034 314.199
  7 0.1625 36.193 311.587
  8 0.1875 43.9445 310.722
  9 0.2125 36.2115 309.622
  10 0.2375 43.402 310.536
  11 0.2625 36.6125 309.228
  12 0.2875 43.884 303.118
  13 0.3125 36.227 301.961
  14 0.3375 43.312 303.965
  15 0.3625 36.564 304.283
  16 0.3875 43.7615 299.588
  17 0.4125 36.249 293.169
  18 0.4375 43.51 296.84
  19 0.4625 36.4685 298.208
  20 0.4875 43.863 299.69
  21 0.5125 36.1565 296.952
  22 0.5375 43.6325 296.999
  23 0.5625 36.2565 293.705
  24 0.5875 44.0325 289.732
  25 0.6125 36.11 291.767
  26 0.6375 43.6675 289.735
  27 0.6625 36.2835 294.569
  28 0.6875 43.9845 293.323
  29 0.7125 36.059 292.191
  30 0.7375 43.8675 291.016
  31 0.7625 35.965 291.121
  32 0.7875 44.257 291.727
  33 0.8125 35.744 289.646
  34 0.8375 44.2945 289.838
  35 0.8625 35.521 293.142
  36 0.8875 44.5165 289.923
  37 0.9125 35.2925 287.067
  38 0.9375 45.444 283.054
  39 0.9625 34.5025 280.106
  40 0.9875 0 0
