t_ps E_hot_eV E_cold_eV
0 0 0
10 -0.32329596260535 0.177567317566595
20 -2.82070764292549 0.810595577863218
30 -4.80004184489865 2.78133773008676
40 -5.51675898120469 3.74748640383456
50 -8.43201696940691 5.6527281948835
60 -8.78025893380416 7.43156695265725
70 -10.2060574260953 8.40079530706433
80 -11.8792346850194 9.47320657547925
90 -14.1105447980068 11.0310533524766
100 -14.3678119878757 12.0233857198633
110 -15.7968572640532 12.3959430162758
120 -16.487075495424 13.9364162236828
130 -15.6946151437536 15.4028491684397
140 -17.1906996849635 16.1932095727436
150 -19.4508666893961 17.0697363043589
160 -18.9186906492183 17.4486677674796
170 -22.656747138654 19.2357327959027
180 -21.8633649979847 20.8392196341307
190 -23.5590211992011 23.1612897025558
200 -23.8041538713635 23.0947272856949
210 -24.2377218208979 23.9083359054778
220 -24.7743575013625 24.5524961987289
230 -27.2634940107403 26.9367878852622
240 -29.435277025983 27.8853310615344
250 -31.3959014597735 28.6815443990489
260 -31.3203726563317 30.6859525819908
270 -33.3052424240344 32.8025045949451
280 -34.5484641759439 34.2584154142029
290 -34.8061358413499 35.6194783463477
300 -36.1678413326806 35.9167080986371
310 -37.8027670835981 37.461176113655
320 -40.965924598426 36.8579136937025
330 -41.3257483289703 38.4542690351911
340 -40.2814450015098 37.8182058611828
350 -42.6394834074179 40.2823160233526
360 -44.0581441872216 40.1124787632787
370 -44.7795843565716 42.018820930126
380 -47.5135414182296 42.5466682325562
390 -48.2696055846242 44.421560281495
400 -48.1461262205808 45.9588508592774
410 -49.0196331207496 47.634230855735
420 -49.5576000994808 49.4443219375861
430 -51.2193281193897 51.8342872695981
440 -52.3059216352421 53.1597141320063
450 -54.011814719801 52.579685753606
460 -56.6533529587869 54.1183977651858
470 -58.8694044156551 55.0177491680545
480 -57.9339504229539 56.2562515382655
490 -61.4136872528347 58.7890457598209
500 -58.892427128927 59.7505962001939
510 -60.4028860640542 60.1014783670307
520 -61.5939187785663 59.9641957270514
530 -63.7956345301269 60.6668973517349
540 -63.9352014500204 64.0692960619988
550 -66.2920470638526 64.8075725156488
560 -66.949488838136 65.4029661689321
570 -68.9824003732046 63.9759225663063
580 -69.7351806306933 65.4410346228472
590 -70.4263439737611 67.7960088295418
600 -71.5682763685196 67.2287093643581
610 -73.1704012895072 68.76884467744
620 -75.0675410152245 70.9771429857133
